seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
1,True,0,783.961,False,False,43,1979,65,Calxocpan,31,Acoustics,120,Copper Smelting,-674,147,Arkaleshan Tribe,681,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_1,
2,True,0,738.551,False,False,35,1506,65,Republic of Kingdom of Great caltemtan,32,Civil Service,120,Copper Smelting,-1938,34,North belarad,606,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_2,
3,True,0,693.590,False,False,38,-1509,49,Empire of New mangozu,30,Education,120,Copper Smelting,-1903,34,Kingdom of Great belbarad,607,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_3,
4,True,0,722.816,False,False,31,-175,19,Empire of New minzhozhou,38,Mechanical Clock,120,Copper Smelting,938,35,Kingdom of North barar,532,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_4,
5,True,0,784.962,False,False,48,1861,168,Old mazuchi,34,Banking,120,Copper Smelting,-773,29,Kingdom of North ashbartaman,654,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_5,
6,True,0,655.383,False,False,29,-378,0,South kanvivi Tribe,38,Mechanical Clock,120,Copper Smelting,1590,31,South belkalan,657,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_6,
7,True,0,739.833,False,False,34,1746,70,Republic of Kingdom of North mixyuc,24,Optics,120,Copper Smelting,-213,106,Kingdom of Old arninad,614,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_7,
8,True,0,695.929,False,False,29,612,6,Kingdom of Old varshaa,38,Mechanical Clock,120,Copper Smelting,-707,109,Old dordorkarland Tribe,646,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_8,
9,True,0,816.244,False,False,29,21,0,Kingdom of Great mitramitpur,38,Mechanical Clock,120,Copper Smelting,-1595,36,Old arashurar Tribe,664,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_9,
10,True,0,702.861,False,False,35,1825,48,Kingdom of North lamkaseene Kingdom,33,Paper,120,Copper Smelting,-2566,34,Great arninar Tribe,635,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_10,
11,True,0,585.802,False,False,30,1708,49,Kingdom of Great chingoa Kingdom,12,Shipbuilding,120,Copper Smelting,-513,32,Kingdom of North barurum,606,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_11,
12,True,0,819.371,False,False,30,674,49,Kingdom of Great mazua Kingdom,23,Engineering,120,Copper Smelting,-779,38,Kingdom of New arkal,771,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_12,
13,True,0,829.951,False,False,45,770,0,Republic of Kingdom of Varsharaa,21,Drama and Poetry,120,Copper Smelting,-671,114,Kingdom of South barninan,734,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_13,
14,True,0,800.842,False,False,30,1654,185,Kingdom of Great matantana Kingdom,29,Machinery,120,Copper Smelting,-2310,31,North ashtamashar Tribe,703,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_14,
15,True,0,738.521,False,False,29,-524,54,Empire of Great ofibartanara,38,Mechanical Clock,120,Copper Smelting,-528,131,Belbelalum Tribe,783,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_15,
16,True,0,723.237,False,False,45,832,66,Old yucnahnah,40,Astronomy,120,Copper Smelting,-659,30,Kingdom of North sameshar,651,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_16,
17,True,0,781.702,False,False,29,203,0,Kingdom of Great kandradesh Kingdom,12,Shipbuilding,120,Copper Smelting,-1956,143,Kingdom of North kaleshurum,668,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_17,
18,True,0,766.843,False,False,32,1408,0,Kingdom of South shasha,38,Mechanical Clock,120,Copper Smelting,-498,33,Kingdom of Old ururad,749,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_18,
19,True,0,725.015,False,False,30,1945,131,Kingdom of Great mabar Kingdom,23,Engineering,120,Copper Smelting,-1352,102,Great zhoqinzho Tribe,735,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_19,
20,True,0,683.735,False,False,31,-1966,48,Empire of North setanseu,27,Democracy,120,Copper Smelting,-2687,34,Old barbelad Tribe,641,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_20,
21,True,0,723.519,False,False,29,1578,110,Shashanagar Kingdom,38,Mechanical Clock,120,Copper Smelting,-2219,139,Great sameshum Tribe,696,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_21,
22,True,0,810.232,False,False,32,1626,48,Empire of South ngomango Kingdom,38,Mechanical Clock,120,Copper Smelting,-1090,27,Kingdom of New hanminlizhou,737,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_22,
23,True,0,745.402,False,False,29,266,48,Empire of North ngokabar,49,Scientific Method,120,Copper Smelting,-1101,32,Kingdom of Old kalarar,724,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_23,
24,True,0,753.461,False,False,30,1818,74,Republic of Kingdom of Old itzchichitan,19,Alphabet,120,Copper Smelting,563,35,Kingdom of Old belkaltamad,695,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_24,
25,True,0,697.010,False,False,46,978,49,Republic of Republic of Tansengo,34,Banking,120,Copper Smelting,-932,27,Kingdom of Old liqinzhou,756,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_25,
26,True,0,772.479,False,False,29,776,2,Kingdom of Surrasurpur,38,Mechanical Clock,120,Copper Smelting,-832,153,Old drasurtana Kingdom,709,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_26,
27,True,0,725.402,False,False,31,1933,0,Republic of Kingdom of Great surratandesh,12,Shipbuilding,120,Copper Smelting,724,61,Kingdom of Old romselselland,730,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_27,
28,True,0,740.639,False,False,31,1578,115,Kingdom of Barselamene Kingdom,49,Scientific Method,120,Copper Smelting,-916,181,Kingdom of Old tamtameshad,729,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_28,
29,True,0,675.175,False,False,43,1927,42,Republic of Kingdom of New terromstan,49,Scientific Method,120,Copper Smelting,-1056,162,Kingdom of Old ururum,774,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_29,
30,True,0,737.994,False,False,30,1287,20,Kingdom of South tairenhanzhou,23,Engineering,120,Copper Smelting,-2477,140,North bararbelan Kingdom,574,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_30,
31,True,0,661.401,False,False,38,1738,97,Garnaia,27,Democracy,120,Copper Smelting,-1778,105,Kingdom of South barbarsamum,684,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_31,
32,True,0,721.075,False,False,31,639,53,Empire of Katanbar,118,Numeracy and Measurement,120,Copper Smelting,-155,114,Kingdom of Barbaruran,604,/mnt/c/WS/WorldSimulation10028/out/seed_max_tech_post_patch_32b/seed_32,
