year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-3630,unlock,12,Great shakanpur Tribe,104,Fishing Technology,17
-3623,unlock,12,Great shakanpur Tribe,10,Irrigation,18
-3566,unlock,12,Great shakanpur Tribe,117,Proto-writing and Administrative Notation,19
-3563,unlock,73,North temyuctem Tribe,115,Counting Tokens and Tallies,14
-3555,unlock,44,Kingdom of Great terkinlinstan,103,Bone and Antler Tools,19
-3532,unlock,12,Great shakanpur Tribe,7,Wheel,20
-3505,unlock,73,North temyuctem Tribe,103,Bone and Antler Tools,15
-3484,unlock,12,Great shakanpur Tribe,103,Bone and Antler Tools,21
-3482,unlock,65,New nahtolteman Tribe,10,Irrigation,14
-3441,unlock,12,Great shakanpur Tribe,17,Roads,21
-3434,unlock,44,Kingdom of Great terkinlinstan,12,Shipbuilding,20
-3419,unlock,5,Old shavarpur Tribe,104,Fishing Technology,17
-3410,unlock,65,New nahtolteman Tribe,115,Counting Tokens and Tallies,15
-3408,unlock,65,New nahtolteman Tribe,104,Fishing Technology,16
-3395,unlock,41,Great viamarzen Tribe,103,Bone and Antler Tools,19
-3358,unlock,49,Great ofibarma Tribe,103,Bone and Antler Tools,18
-3336,unlock,73,North temyuctem Tribe,10,Irrigation,16
-3326,unlock,5,Old shavarpur Tribe,7,Wheel,18
-3319,unlock,42,North nabelmarland Tribe,115,Counting Tokens and Tallies,19
-3313,unlock,65,New nahtolteman Tribe,110,Dog Domestication,17
-3306,unlock,73,North temyuctem Tribe,104,Fishing Technology,17
-3297,unlock,73,North temyuctem Tribe,114,Enclosures and Herd Management,18
-3273,unlock,5,Old shavarpur Tribe,117,Proto-writing and Administrative Notation,19
-3269,unlock,73,Kingdom of Great toltempan,110,Dog Domestication,19
-3262,unlock,65,New nahtolteman Tribe,117,Proto-writing and Administrative Notation,18
-3261,unlock,41,Great viamarzen Tribe,109,Long-distance Exchange Networks,20
-3244,unlock,65,New nahtolteman Tribe,114,Enclosures and Herd Management,19
-3243,unlock,65,New nahtolteman Tribe,108,Watercraft,20
-3222,unlock,73,Kingdom of Great toltempan,7,Wheel,20
-3213,unlock,41,Great viamarzen Tribe,7,Wheel,21
-3206,unlock,51,Empire of Tanlamene,110,Dog Domestication,14
-3190,unlock,44,Kingdom of Great terkinlinstan,109,Long-distance Exchange Networks,21
-3188,unlock,49,Great ofibarma Tribe,7,Wheel,19
-3178,unlock,0,South kanvivi Tribe,7,Wheel,17
-3178,unlock,1,Great vitankanpur Tribe,10,Irrigation,17
-3173,unlock,41,Great viamarzen Tribe,115,Counting Tokens and Tallies,22
-3158,unlock,53,Kingdom of Kazuma,110,Dog Domestication,14
-3158,unlock,65,New nahtolteman Tribe,5,Sailing,21
-3158,unlock,65,New nahtolteman Tribe,7,Wheel,21
-3151,unlock,44,Kingdom of Great terkinlinstan,7,Wheel,22
-3139,unlock,1,Great vitankanpur Tribe,104,Fishing Technology,18
-3132,unlock,42,North nabelmarland Tribe,103,Bone and Antler Tools,20
-3129,unlock,0,South kanvivi Tribe,10,Irrigation,18
-3126,unlock,65,New nahtolteman Tribe,103,Bone and Antler Tools,22
-3122,unlock,41,Great viamarzen Tribe,10,Irrigation,23
-3107,unlock,2,Naltan Tribe,7,Wheel,17
-3107,unlock,65,New nahtolteman Tribe,109,Long-distance Exchange Networks,23
-3080,unlock,0,South kanvivi Tribe,103,Bone and Antler Tools,19
-3067,unlock,49,Great ofibarma Tribe,104,Fishing Technology,20
-3066,unlock,73,Kingdom of Great toltempan,17,Roads,21
-3063,unlock,42,North nabelmarland Tribe,109,Long-distance Exchange Networks,21
-3056,unlock,44,Kingdom of Great terkinlinstan,17,Roads,23
-3055,unlock,44,Kingdom of Great terkinlinstan,10,Irrigation,24
-3053,unlock,2,Naltan Tribe,103,Bone and Antler Tools,18
-3046,unlock,41,Great viamarzen Tribe,12,Shipbuilding,24
-3037,unlock,73,Kingdom of Great toltempan,108,Watercraft,22
-3035,unlock,12,Great shakanpur Tribe,23,Engineering,22
-3033,unlock,53,Kingdom of Kazuma,10,Irrigation,15
-3030,unlock,40,Quizenquiland Tribe,115,Counting Tokens and Tallies,19
-3022,unlock,42,North nabelmarland Tribe,7,Wheel,22
-3012,unlock,71,Kingdom of Great calyucchipan,115,Counting Tokens and Tallies,14
-2986,unlock,66,Kingdom of Old tolnahpan,103,Bone and Antler Tools,14
-2984,unlock,65,New nahtolteman Tribe,17,Roads,24
-2982,unlock,71,Kingdom of Great calyucchipan,104,Fishing Technology,15
-2968,unlock,5,Old shavarpur Tribe,103,Bone and Antler Tools,19
-2966,unlock,73,Kingdom of Great toltempan,5,Sailing,23
-2963,unlock,42,North nabelmarland Tribe,117,Proto-writing and Administrative Notation,23
