year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-3811,unlock,44,North beldusgrad Tribe,109,Long-distance Exchange Networks,19
-3627,unlock,6,South kannalpur Tribe,103,Bone and Antler Tools,17
-3575,unlock,19,South minzhorenling Tribe,103,Bone and Antler Tools,17
-3540,unlock,44,North beldusgrad Tribe,103,Bone and Antler Tools,20
-3540,unlock,66,Empire of Old chicalan,104,Fishing Technology,14
-3537,unlock,52,South katanse Tribe,103,Bone and Antler Tools,14
-3530,unlock,41,South ranteria Tribe,115,Counting Tokens and Tallies,19
-3525,unlock,6,South kannalpur Tribe,117,Proto-writing and Administrative Notation,18
-3442,unlock,4,Old mitshaa Tribe,103,Bone and Antler Tools,17
-3438,unlock,39,Beltersolia Tribe,103,Bone and Antler Tools,19
-3428,unlock,41,South ranteria Tribe,117,Proto-writing and Administrative Notation,20
-3410,unlock,107,Old marviavialand Tribe,109,Long-distance Exchange Networks,19
-3401,unlock,6,South kannalpur Tribe,104,Fishing Technology,19
-3380,unlock,19,South minzhorenling Tribe,104,Fishing Technology,18
-3373,unlock,104,Kusintiqorimarca Tribe,104,Fishing Technology,14
-3365,unlock,40,Kingdom of North duskinbel,109,Long-distance Exchange Networks,19
-3364,unlock,73,Great mixmix Tribe,104,Fishing Technology,14
-3355,unlock,6,South kannalpur Tribe,10,Irrigation,20
-3317,unlock,6,South kannalpur Tribe,7,Wheel,21
-3317,unlock,54,Great ofiofiene Tribe,115,Counting Tokens and Tallies,14
-3298,unlock,44,North beldusgrad Tribe,7,Wheel,21
-3271,unlock,74,South yucnahtan Tribe,103,Bone and Antler Tools,14
-3263,unlock,6,South kannalpur Tribe,108,Watercraft,22
-3260,unlock,8,South ravi Tribe,104,Fishing Technology,17
-3256,unlock,2,Kingdom of New vimitvar,104,Fishing Technology,17
-3241,unlock,54,Great ofiofiene Tribe,104,Fishing Technology,15
-3236,unlock,44,North beldusgrad Tribe,12,Shipbuilding,22
-3228,unlock,2,Kingdom of New vimitvar,103,Bone and Antler Tools,18
-3211,unlock,41,Kingdom of New ternasolgrad,7,Wheel,21
-3210,unlock,19,South minzhorenling Tribe,7,Wheel,19
-3207,unlock,41,Kingdom of New ternasolgrad,109,Long-distance Exchange Networks,22
