year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,17276336.000000,0.000000,1.000000,0.000000,0.008471,0.000000,0.001151,0.025802,0.280098,0.280133,0.684604,0.630913,0.090174,0.183918,0.674299,0.001335,0.375873,0.055689,0.000003,0.000003,0.026493,0.000000,0.092283,0.083352,0.025111|0.418724|0.377817|0.114204|0.046355|0.017857,0.343609,0.345898,0.092160,0.115483,1.000000,1.000000,0.884517,157977.500000,303052.500000,0.031517,320.000000,956.000000,0.028569,0.811600,0.712150,96,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0,0.245657,0.838413,0.740831,0.754343,136260.211603,178252.286204,1033412.200580,0.000000,0.000000,0.000000,293928.760106
-4800,34447162.000000,0.002364,0.988173,0.000485,0.008402,0.000000,0.000399,0.024466,0.306178,0.315800,0.895442,0.577826,0.097548,0.204825,0.912761,0.000472,0.406967,0.074518,0.000013,0.000013,0.011827,0.000000,0.120366,0.085880,0.020499|0.415062|0.384286|0.115266|0.047120|0.017857,0.257344,0.520280,0.105997,0.138371,0.948078,1.000000,0.861629,265332.000000,681032.000000,0.074894,424.000000,931.000000,0.024910,0.988500,0.795500,80,0.776699,200.000000,200.000000,0,793.423584,0.000061,0.175273,131,0,0.000815,0,15,0,30,0.296296,0.600657,0.838319,0.703704,1387.823166,47154.573859,293194.190167,0.000000,0.000000,0.000000,86137340.989911
-4600,53466175.000000,0.002050,0.982972,0.000326,0.008367,0.000000,0.000000,0.025725,0.332429,0.354483,0.890382,0.576333,0.100365,0.205870,0.901894,0.000464,0.405773,0.075782,0.000018,0.000014,0.017028,0.000000,0.125253,0.060211,0.019557|0.396759|0.401126|0.115574|0.049179|0.017857,0.274474,0.553621,0.115148,0.145610,0.941225,1.000000,0.854390,302911.000000,1056846.000000,0.074296,444.000000,934.400000,0.025148,0.989300,0.842200,76,0.710280,400.000000,400.000000,0,1917.783325,0.000105,0.173757,234,0,0.001821,0,6,0,27,0.306029,0.618129,0.838392,0.693971,3496.641981,48459.524467,288301.105408,0.000000,0.000000,0.000000,208164705.433091
-4400,79091387.000000,0.001960,0.986797,0.000409,0.008322,0.000000,0.000000,0.027862,0.361905,0.399101,0.881780,0.548306,0.100398,0.210035,0.883657,0.000344,0.405312,0.075520,0.000019,0.000015,0.013203,0.000000,0.129746,0.061054,0.018970|0.352154|0.434389|0.123304|0.053362|0.017857,0.274212,0.581338,0.125051,0.155935,0.960485,1.000000,0.844065,380322.000000,1749259.900000,0.077530,444.500000,929.200000,0.026991,0.987900,0.822210,72,0.642857,600.000000,600.000000,0,5851.362305,0.000247,0.141540,396,2,0.002089,0,6,0,84,0.316653,0.610507,0.837557,0.683347,2323.079782,35689.312319,193174.864383,0.000000,0.000000,0.000000,362244414.256053
-4200,115023221.000000,0.001874,0.976747,0.000701,0.008359,0.000700,0.000703,0.031584,0.389259,0.447511,0.872871,0.593100,0.103595,0.210673,0.870050,0.000341,0.405465,0.078077,0.000019,0.000017,0.023253,0.000000,0.139407,0.069142,0.018620|0.300339|0.481708|0.135258|0.046238|0.017857,0.270734,0.610770,0.132864,0.168147,0.892664,1.000000,0.831853,585972.000000,2707422.800000,0.095328,452.000000,1038.600000,0.027122,0.982400,0.793800,65,0.575221,800.000000,800.000000,2,15126.302734,0.000331,0.137503,544,2,0.005349,0,3,0,114,0.326642,0.600169,0.841300,0.673358,2443.814926,41816.328001,224921.615203,0.000000,0.000000,0.000000,575731508.038250
-4000,166004161.000000,0.001836,0.945561,0.001268,0.008432,0.000000,0.000953,0.037496,0.411608,0.496842,0.844610,0.596556,0.107437,0.215052,0.846779,0.000334,0.404898,0.080968,0.000019,0.000017,0.054439,0.000000,0.148337,0.072849,0.018407|0.234384|0.542843|0.147754|0.038769|0.017857,0.264613,0.643641,0.142151,0.178996,0.829515,1.000000,0.821005,650562.500000,3543358.900000,0.099769,450.500000,1088.900000,0.027615,0.973350,0.799920,56,0.491228,922.500000,1000.000000,0,25096.787109,0.000347,0.232822,608,1,0.018074,0,2,0,152,0.338023,0.596904,0.832768,0.661977,2962.725692,47008.682521,260265.382349,0.000000,0.000000,0.000000,806832010.936346
-3800,244163338.000000,0.001931,0.965011,0.000532,0.008534,0.000000,0.000420,0.049121,0.438500,0.548535,0.815640,0.597586,0.142377,0.224313,0.796088,0.000280,0.404958,0.088871,0.000021,0.000018,0.034989,0.000000,0.158953,0.082847,0.018231|0.170756|0.600747|0.158292|0.034128|0.017857,0.266864,0.663607,0.153216,0.192163,0.864117,1.000000,0.807837,727483.500000,5358876.300000,0.104280,473.500000,1070.600000,0.026435,0.972300,0.816860,46,0.383333,825.000000,1200.000000,0,24019.880859,0.000313,0.392246,679,0,0.017086,0,10,0,180,0.350905,0.592443,0.822640,0.649095,9444.463362,57882.547300,338765.849179,0.000000,0.000000,0.000000,1080266960.804471
-3600,363597659.000000,0.001993,0.986994,0.000151,0.008682,0.000700,0.000449,0.072464,0.455654,0.609748,0.764480,0.559426,0.148761,0.222629,0.715494,0.000289,0.398753,0.091777,0.000021,0.000019,0.013006,0.000000,0.169007,0.094417,0.018109|0.124953|0.644684|0.164320|0.030085|0.017857,0.272083,0.675756,0.158587,0.201067,0.957320,1.000000,0.798933,748204.000000,8826917.600000,0.109706,454.000000,1113.000000,0.024625,0.971000,0.815580,41,0.322835,780.000000,1400.000000,2,27761.658203,0.000226,0.510344,742,1,0.009458,0,10,0,209,0.360194,0.596564,0.792798,0.639806,14840.750360,83308.828219,505550.775462,0.000000,0.000000,0.000000,1575769086.719995
-3400,540698979.000000,0.001986,0.975033,0.000456,0.008812,0.000700,0.000561,0.098872,0.478365,0.666592,0.764062,0.587472,0.147578,0.229126,0.695707,0.000278,0.406026,0.104094,0.000023,0.000021,0.024967,0.000000,0.179623,0.100595,0.018026|0.096643|0.674940|0.166052|0.026487|0.017857,0.274228,0.684984,0.166181,0.212719,0.902359,1.000000,0.787281,674715.500000,13855423.600000,0.095286,453.000000,1107.700000,0.023670,0.970850,0.814030,38,0.283582,555.000000,1600.000000,2,25516.095703,0.000204,0.878787,849,2,0.026999,0,9,0,205,0.370009,0.596800,0.812174,0.629991,15811.902089,113944.330303,709315.245629,0.000000,0.000000,0.000000,2096053572.497716
-3200,757512316.000000,0.001687,0.923370,0.001761,0.008936,0.000000,0.000000,0.129312,0.499381,0.727369,0.748176,0.584137,0.149003,0.233989,0.668026,0.000264,0.401448,0.115865,0.000025,0.000022,0.076630,0.000000,0.193327,0.110986,0.017980|0.077965|0.690591|0.170526|0.025087|0.017857,0.288830,0.678846,0.166897,0.223245,0.813029,0.957349,0.776755,665521.000000,17772702.400000,0.090559,454.000000,1115.000000,0.025209,0.967400,0.831420,33,0.230769,615.000000,1800.000000,0,1292132.500000,0.003436,0.589677,972,4,0.116096,0,13,0,237,0.378173,0.574925,0.807008,0.621827,5206.019749,132554.718888,831091.351693,0.000000,0.000000,0.000000,2530903602.338400
