year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,20140997.000000,0.000000,0.993342,0.000257,0.008545,0.000000,0.001554,0.024994,0.280129,0.280144,0.678628,0.628955,0.034536,0.014524,0.104808,0.096720,0.024972|0.379333|0.410227|0.093971|0.073665|0.017857,0.353952,0.312869,0.088823,0.112527,1.000000,1.000000,0.887473,231932.000000,303581.400000,0.030207,411.000000,1089.600000,0.023296,0.803400,0.687430,0,0.000000,0.000000,0.000000,2,0,0.000000,0,0,1,0.244567,0.819651,0.739101,0.755433,146910.225457,175577.698571,1021046.844144,0.000000,0.000000,0.000000,409685.695836
-4950,26091878.000000,0.002798,0.967484,0.000633,0.008646,0.000000,0.000000,0.023454,0.287191,0.289115,0.812021,0.535749,0.032516,0.014298,0.145922,0.123455,0.021381|0.377108|0.424679|0.097412|0.070637|0.017928,0.291283,0.400231,0.094936,0.122874,0.837791,1.000000,0.877126,234025.000000,437779.400000,0.041573,369.000000,1050.100000,0.023092,0.970900,0.742660,0,581.600708,0.000042,0.737345,52,0,0.000424,16,0,26,0.276284,0.588810,0.801429,0.723716,1192.018581,33084.578842,202284.732419,0.000000,0.000000,0.000000,22443043.617385
-4900,29460960.000000,0.002108,0.985010,0.000248,0.008569,0.000000,0.000777,0.023588,0.293509,0.300030,0.723432,0.407472,0.014990,0.714004,0.170411,0.136093,0.020789|0.379879|0.428804|0.097693|0.066732|0.017878,0.266792,0.444511,0.086959,0.120972,0.931787,1.000000,0.879027,182433.000000,552116.000000,0.047945,335.000000,974.200000,0.022648,0.951200,0.667790,0,1265.066284,0.000118,0.804820,69,0,0.000221,62,0,26,0.276462,0.594120,0.768412,0.723538,1493.435045,25660.199619,147733.523145,0.000000,0.000000,0.000000,50433131.138979
-4850,33242710.000000,0.002105,0.991635,0.000117,0.008431,0.000000,0.000000,0.023784,0.298699,0.312273,0.726924,0.385246,0.008365,0.710322,0.183161,0.138171,0.020259|0.380364|0.429323|0.097922|0.063818|0.017865,0.253831,0.472760,0.088182,0.124410,0.963848,1.000000,0.875590,187203.000000,623142.800000,0.050540,333.000000,910.800000,0.022182,0.944500,0.697460,0,1473.446777,0.000112,0.884779,82,0,0.000139,19,0,23,0.277755,0.607185,0.772389,0.722244,2496.402660,31788.031550,186485.304197,0.000000,0.000000,0.000000,80454108.766452
-4800,37263662.000000,0.002072,0.992468,0.000054,0.008464,0.000000,0.000880,0.024250,0.304308,0.325530,0.707284,0.382115,0.007532,0.700579,0.189901,0.131712,0.019881|0.379565|0.430541|0.098017|0.062574|0.017861,0.251742,0.488188,0.092245,0.133555,1.000000,1.000000,0.866445,178398.000000,700823.100000,0.057846,356.000000,906.900000,0.021758,0.931150,0.681600,0,1759.885498,0.000108,0.853901,89,0,0.000140,7,0,27,0.281145,0.630500,0.759290,0.718855,3313.652472,33799.020673,193805.445117,0.000000,0.000000,0.000000,110703457.706540
-4750,41568120.000000,0.002047,0.994703,0.000068,0.008607,0.000000,0.000917,0.024929,0.309559,0.339064,0.709840,0.375938,0.005297,0.697131,0.194732,0.119468,0.019445|0.378123|0.432285|0.098321|0.061075|0.017860,0.258421,0.490956,0.094656,0.136836,1.000000,1.000000,0.863164,178613.000000,772550.000000,0.066140,369.000000,852.000000,0.021439,0.934900,0.676700,0,2261.141846,0.000130,0.696532,107,0,0.000110,3,0,28,0.283435,0.618243,0.756099,0.716565,2945.788460,29924.125163,156916.659076,0.000000,0.000000,0.000000,149266831.458561
-4700,46092244.000000,0.002017,0.994881,0.000053,0.008649,0.000000,0.001251,0.025304,0.304783,0.352111,0.678339,0.380890,0.005119,0.831252,0.199562,0.113233,0.019134|0.374946|0.434405|0.099781|0.060663|0.017860,0.261721,0.498429,0.097107,0.136789,0.999118,1.000000,0.863211,146144.000000,889457.800000,0.065726,360.000000,848.000000,0.021143,0.918700,0.687540,0,2438.390625,0.000141,0.650557,133,0,0.000118,38,0,24,0.285177,0.599267,0.744094,0.714823,2347.107860,30378.002421,158926.354725,0.000000,0.000000,0.000000,192809357.545885
-4650,51282627.000000,0.002034,0.987042,0.000345,0.008492,0.000000,0.002025,0.026053,0.308628,0.366550,0.696666,0.384139,0.012958,0.823487,0.203887,0.110481,0.018882|0.370667|0.436189|0.101417|0.060548|0.017859,0.270523,0.497495,0.101513,0.143016,0.943153,1.000000,0.856984,137730.000000,948882.800000,0.075170,331.000000,846.200000,0.020822,0.928300,0.694060,0,2560.373047,0.000133,0.590537,131,0,0.000332,18,0,25,0.289529,0.591768,0.762912,0.710471,1339.812950,30221.793635,158131.265837,0.000000,0.000000,0.000000,233587965.160901
-4600,57020852.000000,0.002031,0.975157,0.000592,0.008437,0.000000,0.001279,0.026476,0.314102,0.381356,0.696641,0.388917,0.024843,0.820843,0.207987,0.106549,0.018709|0.366819|0.437030|0.103962|0.060141|0.017859,0.269275,0.505804,0.103956,0.145157,0.913700,1.000000,0.854843,159963.000000,1060614.800000,0.074716,331.000000,851.000000,0.020503,0.934400,0.697300,0,2569.170410,0.000127,0.563113,132,0,0.000708,0,0,18,0.293273,0.588794,0.764023,0.706727,1182.939134,31309.087874,164287.545384,0.000000,0.000000,0.000000,277088597.060129
-4550,62901931.000000,0.001991,0.983009,0.000339,0.008571,0.000000,0.000897,0.027742,0.319154,0.396437,0.690005,0.383489,0.016991,0.820465,0.211469,0.104864,0.018585|0.360525|0.441309|0.107053|0.058784|0.017859,0.276684,0.508638,0.106536,0.145464,0.932145,1.000000,0.854536,166890.000000,1236736.000000,0.079305,331.000000,851.000000,0.020282,0.925100,0.700340,0,2461.923828,0.000127,0.505521,149,0,0.000534,0,0,26,0.294706,0.589697,0.760183,0.705294,1514.255500,41163.845969,235490.359694,0.000000,0.000000,0.000000,323116106.200933
