year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,Old solzengrad Tribe,100,Cordage and Knots,19
-5000,initial,0,Old solzengrad Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,0,Old solzengrad Tribe,102,Hafted Stone Tools,19
-5000,initial,0,Old solzengrad Tribe,105,Food Preservation,19
-5000,initial,0,Old solzengrad Tribe,106,Storage Pits and Containers,19
-5000,initial,0,Old solzengrad Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,0,Old solzengrad Tribe,110,Dog Domestication,19
-5000,initial,0,Old solzengrad Tribe,111,Grinding Stones,19
-5000,initial,0,Old solzengrad Tribe,112,Proto-cultivation,19
-5000,initial,0,Old solzengrad Tribe,113,Sedentism,19
-5000,initial,0,Old solzengrad Tribe,114,Enclosures and Herd Management,19
-5000,initial,0,Old solzengrad Tribe,115,Counting Tokens and Tallies,19
-5000,initial,0,Old solzengrad Tribe,116,Charcoal Firing,19
-5000,initial,0,Old solzengrad Tribe,1,Pottery,19
-5000,initial,0,Old solzengrad Tribe,2,Animal Husbandry,19
-5000,initial,0,Old solzengrad Tribe,4,Mining,19
-5000,initial,0,Old solzengrad Tribe,20,Agriculture,19
-5000,initial,0,Old solzengrad Tribe,3,Archery,19
-5000,initial,0,Old solzengrad Tribe,6,Calendar,19
-5000,initial,1,North beldusland Tribe,100,Cordage and Knots,19
-5000,initial,1,North beldusland Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,1,North beldusland Tribe,102,Hafted Stone Tools,19
-5000,initial,1,North beldusland Tribe,105,Food Preservation,19
-5000,initial,1,North beldusland Tribe,106,Storage Pits and Containers,19
-5000,initial,1,North beldusland Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,1,North beldusland Tribe,110,Dog Domestication,19
-5000,initial,1,North beldusland Tribe,111,Grinding Stones,19
-5000,initial,1,North beldusland Tribe,112,Proto-cultivation,19
-5000,initial,1,North beldusland Tribe,113,Sedentism,19
-5000,initial,1,North beldusland Tribe,114,Enclosures and Herd Management,19
-5000,initial,1,North beldusland Tribe,115,Counting Tokens and Tallies,19
-5000,initial,1,North beldusland Tribe,116,Charcoal Firing,19
-5000,initial,1,North beldusland Tribe,1,Pottery,19
-5000,initial,1,North beldusland Tribe,2,Animal Husbandry,19
-5000,initial,1,North beldusland Tribe,4,Mining,19
-5000,initial,1,North beldusland Tribe,20,Agriculture,19
-5000,initial,1,North beldusland Tribe,3,Archery,19
-5000,initial,1,North beldusland Tribe,6,Calendar,19
-5000,initial,2,South viaromland Tribe,100,Cordage and Knots,19
-5000,initial,2,South viaromland Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,2,South viaromland Tribe,102,Hafted Stone Tools,19
-5000,initial,2,South viaromland Tribe,105,Food Preservation,19
-5000,initial,2,South viaromland Tribe,106,Storage Pits and Containers,19
-5000,initial,2,South viaromland Tribe,107,Seasonal Aggregation Camps,19
