seed,ok,returncode,elapsed_sec,reused,canceled,max_total_unlocked_techs,max_total_year,max_total_country_index,max_total_country_name,max_total_tech_id,max_total_tech_name,max_tech_id,max_tech_name,max_tech_year,max_tech_country_index,max_tech_country_name,rows,run_dir,reason
136235257,True,0,402.610,False,False,43,1613,212,South belterstan Kingdom,34,Banking,120,Copper Smelting,-3522,28,North terterquiia Tribe,4127,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_136235257,
414286569,True,0,361.341,False,False,42,692,70,Garmaria Tribe,35,Markets,120,Copper Smelting,-3226,28,Great romna Tribe,3703,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_414286569,
582062092,True,0,386.047,False,False,44,620,127,Great belnagrad Kingdom,39,Universities,120,Copper Smelting,-3549,37,North ternaquiland Tribe,4208,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_582062092,
630416177,True,0,347.690,False,False,29,-2868,51,New quiteria Tribe,22,Philosophy,120,Copper Smelting,-3451,58,Lorzensolgrad Tribe,3531,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_630416177,
675977124,True,0,391.437,False,False,28,-3325,72,Great lornastan Tribe,15,Currency,120,Copper Smelting,-3346,62,Old linterlorland Tribe,3843,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_675977124,
772325186,True,0,409.658,False,False,44,336,48,Great soltergrad Tribe,35,Markets,120,Copper Smelting,-3448,79,Old romsoldusia Tribe,4866,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_772325186,
1023657916,True,0,394.485,False,False,28,-3012,53,Old belteria Tribe,15,Currency,120,Copper Smelting,-3352,60,South marlorviagrad Tribe,3804,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1023657916,
1170238392,True,0,339.813,False,False,41,357,71,Great naromia Tribe,34,Banking,120,Copper Smelting,-3358,35,Old solzengargrad Tribe,3394,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1170238392,
1219100955,True,0,314.070,False,False,38,1220,71,South lorgarzengrad Tribe,32,Civil Service,120,Copper Smelting,-3685,30,Great lorrannagrad Tribe,3507,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1219100955,
1246453509,True,0,386.837,False,False,39,2005,48,Great linlorrangrad Kingdom,35,Markets,120,Copper Smelting,-3176,30,Viamarbelia Tribe,3488,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1246453509,
1291718466,True,0,352.887,False,False,39,2013,17,New zenran Tribe,32,Civil Service,120,Copper Smelting,-3286,59,Old kinromgrad Tribe,3808,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1291718466,
1297114033,True,0,318.109,False,False,42,587,49,New garlin Tribe,39,Universities,120,Copper Smelting,-2761,81,Great linnanaland Tribe,3334,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1297114033,
1358527015,True,0,358.587,False,False,42,2007,48,Old rombelstan Tribe,35,Markets,120,Copper Smelting,-3478,28,North linromquiland Tribe,3912,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1358527015,
1651177562,True,0,417.471,False,False,45,2001,225,New quizenquistan Kingdom,40,Astronomy,120,Copper Smelting,-3246,60,South naterzenstan Tribe,4203,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1651177562,
1667244163,True,0,353.863,False,False,31,1991,109,North quibellorgrad Kingdom,14,Formal Mathematics,120,Copper Smelting,-3693,30,New zenteria Tribe,3463,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1667244163,
1831741567,True,0,389.325,False,False,44,1201,216,Old dusmarnastan Kingdom,35,Markets,120,Copper Smelting,-3140,62,Old narandusland Tribe,4254,C:\WS\WorldSimulation10028\out\seed_max_tech_search\seed_1831741567,
