year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-5000,initial,0,South lorranrom Tribe,100,Cordage and Knots,19
-5000,initial,0,South lorranrom Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,0,South lorranrom Tribe,102,Hafted Stone Tools,19
-5000,initial,0,South lorranrom Tribe,105,Food Preservation,19
-5000,initial,0,South lorranrom Tribe,106,Storage Pits and Containers,19
-5000,initial,0,South lorranrom Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,0,South lorranrom Tribe,110,Dog Domestication,19
-5000,initial,0,South lorranrom Tribe,111,Grinding Stones,19
-5000,initial,0,South lorranrom Tribe,112,Proto-cultivation,19
-5000,initial,0,South lorranrom Tribe,113,Sedentism,19
-5000,initial,0,South lorranrom Tribe,114,Enclosures and Herd Management,19
-5000,initial,0,South lorranrom Tribe,115,Counting Tokens and Tallies,19
-5000,initial,0,South lorranrom Tribe,116,Charcoal Firing,19
-5000,initial,0,South lorranrom Tribe,1,Pottery,19
-5000,initial,0,South lorranrom Tribe,2,Animal Husbandry,19
-5000,initial,0,South lorranrom Tribe,4,Mining,19
-5000,initial,0,South lorranrom Tribe,20,Agriculture,19
-5000,initial,0,South lorranrom Tribe,3,Archery,19
-5000,initial,0,South lorranrom Tribe,6,Calendar,19
-5000,initial,1,South dusbelnaia Tribe,100,Cordage and Knots,19
-5000,initial,1,South dusbelnaia Tribe,101,Hide Working and Tailored Clothing,19
-5000,initial,1,South dusbelnaia Tribe,102,Hafted Stone Tools,19
-5000,initial,1,South dusbelnaia Tribe,105,Food Preservation,19
-5000,initial,1,South dusbelnaia Tribe,106,Storage Pits and Containers,19
-5000,initial,1,South dusbelnaia Tribe,107,Seasonal Aggregation Camps,19
-5000,initial,1,South dusbelnaia Tribe,110,Dog Domestication,19
-5000,initial,1,South dusbelnaia Tribe,111,Grinding Stones,19
-5000,initial,1,South dusbelnaia Tribe,112,Proto-cultivation,19
-5000,initial,1,South dusbelnaia Tribe,113,Sedentism,19
