year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,23438487.000000,0.000000,0.998550,0.000040,0.008479,0.000000,0.000519,0.027380,0.280105,0.280152,0.674354,0.621236,0.222802,0.181473,0.664951,0.001385,0.372799,0.054809,0.000003,0.000003,0.027344,0.005645,0.103664,0.093573,0.048324|0.365143|0.388745|0.128291|0.051687|0.017857,0.210136,0.454035,0.087835,0.106266,1.000000,1.000000,0.893733,294798.500000,306835.500000,0.036268,499.500000,1094.500000,0.021542,0.784150,0.674600,96,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,0,0,0.232134,0.770998,0.737078,0.767866,164202.643558,192956.531716,1137448.591580,0.000000,0.000000,0.000000,371724.406749
-4950,30711239.000000,0.002855,0.983742,0.000450,0.008579,0.000000,0.000000,0.022765,0.286701,0.288947,0.872593,0.497973,0.138105,0.205150,0.894306,0.000728,0.417905,0.070027,0.000008,0.000007,0.016258,0.005543,0.160218,0.126275,0.036256|0.374411|0.388480|0.130594|0.052829|0.017857,0.151200,0.572512,0.089257,0.118336,0.901241,1.000000,0.881664,265762.000000,524888.000000,0.038927,550.000000,1139.200000,0.036604,0.980200,0.684620,84,0.815534,50.000000,50.000000,0,666.824768,0.000057,0.652247,65,0,0.000250,0,12,0,29,0.271359,0.603183,0.822132,0.728641,2144.879573,38420.300548,249068.485485,0.000000,0.000000,0.000000,23710894.820938
-4900,34959608.000000,0.002149,0.995459,0.000142,0.008461,0.000000,0.000405,0.023051,0.294015,0.298532,0.866860,0.477244,0.230388,0.207037,0.886284,0.000770,0.409845,0.073120,0.000008,0.000008,0.004541,0.005498,0.172953,0.124170,0.031071|0.376620|0.391802|0.130000|0.052860|0.017857,0.136157,0.612399,0.092702,0.123778,1.000000,1.000000,0.876222,310366.000000,575454.800000,0.040304,565.000000,1112.400000,0.035036,0.938300,0.616320,81,0.757009,100.000000,100.000000,0,423.211517,0.000043,0.165613,48,0,0.000079,0,4,0,24,0.272363,0.608518,0.822652,0.727637,2339.067691,27328.695219,167166.035026,0.000000,0.000000,0.000000,51231860.671441
-4850,39265428.000000,0.002081,0.992778,0.000185,0.008314,0.000000,0.000404,0.023238,0.300939,0.307814,0.873780,0.500860,0.187132,0.204925,0.891266,0.000693,0.405154,0.071977,0.000010,0.000009,0.007222,0.005465,0.180832,0.120285,0.027526|0.385116|0.386587|0.130210|0.052831|0.017857,0.130694,0.631365,0.095038,0.127764,0.998199,1.000000,0.872236,323391.000000,679476.200000,0.041463,552.000000,1102.200000,0.034596,0.941000,0.599880,79,0.724771,150.000000,150.000000,0,485.096222,0.000042,0.537248,57,0,0.000142,0,2,0,11,0.275649,0.603967,0.827141,0.724351,1993.929781,14709.456455,82935.284404,0.000000,0.000000,0.000000,80665036.032134
-4800,44060993.000000,0.002077,0.994872,0.000162,0.008328,0.000000,0.000707,0.023334,0.307797,0.317143,0.877969,0.420434,0.177872,0.199912,0.887873,0.000659,0.401111,0.071557,0.000010,0.000009,0.005128,0.005446,0.187578,0.109654,0.025173|0.388505|0.384592|0.130921|0.053056|0.017857,0.130428,0.641454,0.095549,0.130070,0.999953,1.000000,0.869930,367292.500000,767350.900000,0.040012,551.000000,1097.100000,0.035221,0.946500,0.600820,78,0.709091,200.000000,200.000000,0,849.363770,0.000056,0.401155,54,0,0.000113,0,1,0,5,0.279505,0.606479,0.830328,0.720495,1769.868688,15884.751820,88465.295388,0.000000,0.000000,0.000000,111345305.265541
-4750,49146212.000000,0.002047,0.995052,0.000201,0.008460,0.000000,0.000680,0.023534,0.314498,0.326694,0.881296,0.431852,0.177756,0.201785,0.896945,0.000659,0.401204,0.072931,0.000011,0.000010,0.004948,0.702539,0.192704,0.098538,0.023665|0.392054|0.380541|0.132455|0.053517|0.017857,0.128835,0.650030,0.101224,0.129715,0.995112,1.000000,0.870285,388984.000000,848553.400000,0.038652,526.000000,1087.800000,0.034793,0.950000,0.620700,75,0.663717,250.000000,250.000000,0,998.825867,0.000063,0.388899,69,0,0.000122,0,3,0,8,0.281756,0.617218,0.833181,0.718244,2668.941535,30393.763747,181023.485505,0.000000,0.000000,0.000000,151196560.887676
-4700,54542739.000000,0.002021,0.997491,0.000083,0.008465,0.000000,0.000000,0.023880,0.320585,0.335941,0.880506,0.473422,0.184238,0.205837,0.898342,0.000470,0.401798,0.073755,0.000012,0.000011,0.002509,0.699550,0.196158,0.091522,0.022458|0.396601|0.375440|0.134212|0.053521|0.017857,0.130547,0.656307,0.103221,0.132551,1.000000,1.000000,0.867449,406602.000000,945975.600000,0.036762,502.000000,1057.800000,0.034477,0.986700,0.670380,72,0.605042,300.000000,300.000000,0,1367.827026,0.000097,0.340186,99,1,0.000068,0,6,0,25,0.287714,0.630351,0.834045,0.712286,3766.680503,27616.469490,166633.737852,0.000000,0.000000,0.000000,190604500.461060
-4650,59831422.000000,0.001963,0.999695,0.000016,0.008332,0.000000,0.000718,0.024169,0.326823,0.345995,0.881694,0.504389,0.183659,0.207707,0.897533,0.000468,0.402753,0.075171,0.000012,0.000011,0.000305,0.696116,0.201284,0.089742,0.021629|0.395956|0.373900|0.137568|0.053207|0.017857,0.128965,0.667446,0.104753,0.135824,1.000000,1.000000,0.864176,424841.000000,1078669.000000,0.033318,518.000000,1054.000000,0.033983,0.948300,0.691000,72,0.595041,350.000000,350.000000,0,2529.296631,0.000133,0.494792,132,0,0.000009,0,2,0,22,0.288315,0.625841,0.835047,0.711685,3575.578627,16154.933627,87398.939623,0.000000,0.000000,0.000000,231253818.363169
-4600,65687829.000000,0.001967,0.995835,0.000156,0.008257,0.000000,0.000856,0.024487,0.335152,0.356628,0.881828,0.462699,0.184105,0.207289,0.900984,0.000467,0.402842,0.075202,0.000013,0.000011,0.004165,0.692415,0.205170,0.088231,0.021003|0.391451|0.374588|0.140946|0.054246|0.017857,0.126733,0.675402,0.108142,0.139368,0.995584,1.000000,0.860632,434796.000000,1250425.000000,0.035314,525.000000,1062.800000,0.033242,0.958000,0.679000,70,0.569106,400.000000,400.000000,0,2717.959473,0.000134,0.478581,123,0,0.000137,0,2,0,14,0.291359,0.619889,0.835241,0.708641,3056.426181,17274.147739,92522.159290,0.000000,0.000000,0.000000,274605551.249775
-4550,71229257.000000,0.001905,0.983494,0.000614,0.008359,0.000000,0.001313,0.024853,0.343483,0.367850,0.882850,0.430713,0.212352,0.206990,0.899508,0.000468,0.403937,0.074650,0.000013,0.000011,0.016506,0.689713,0.208731,0.087637,0.020592|0.384625|0.376548|0.146045|0.054490|0.017857,0.127159,0.682931,0.105775,0.141969,0.915573,1.000000,0.858031,438869.000000,1363915.700000,0.034549,528.500000,1109.100000,0.030069,0.957200,0.629340,70,0.564516,450.000000,450.000000,0,2696.962402,0.000141,0.446827,126,0,0.000588,0,1,0,19,0.294638,0.598226,0.838524,0.705362,1269.968740,16280.148480,86236.770517,0.000000,0.000000,0.000000,329903809.121719
