year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,competition_fragmentation_index_median,idea_market_integration_index_median,credible_commitment_index_median,relative_factor_price_index_median,media_throughput_index_median,merchant_power_index_median,skilled_migration_in_rate_t,skilled_migration_out_rate_t,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,founder_state_count,founder_state_share,median_state_age_years,p90_state_age_years,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,election_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,25178677.000000,0.000000,0.995330,0.000270,0.008475,0.000000,0.000737,0.025723,0.280114,0.280154,0.670533,0.623050,0.093450,0.180985,0.663097,0.001419,0.371243,0.053880,0.000003,0.000003,0.033656,0.027432,0.114075,0.105033,0.028937|0.404751|0.371950|0.087777|0.084059|0.022545,0.335509,0.282769,0.087428,0.106665,1.000000,1.000000,0.893335,301430.500000,307182.000000,0.023672,533.000000,1143.000000,0.019412,0.780800,0.657500,96,1.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,2,0,0.000000,0,0,0,1,0.228641,0.768099,0.734263,0.771359,173237.720652,186647.981042,1090342.825269,0.000000,0.000000,0.000000,643776.438812
-4000,179383662.000000,0.001965,0.944214,0.001613,0.008449,0.000000,0.000000,0.040687,0.389907,0.498029,0.757818,0.446431,0.182842,0.218572,0.691058,0.000465,0.397194,0.087782,0.000021,0.000020,0.055786,0.024437,0.228432,0.104471,0.017990|0.281171|0.484644|0.147263|0.050887|0.018066,0.328791,0.515951,0.135413,0.179453,0.832970,0.997624,0.820547,486707.000000,4085983.000000,0.049209,487.000000,1132.000000,0.027587,0.964100,0.748700,43,0.284768,835.000000,1000.000000,0,14371.222656,0.000255,0.998702,3194,13,0.100072,0,73,0,708,0.335996,0.585272,0.805206,0.664004,3024.435844,38165.437099,214580.110497,0.000000,0.000000,0.000000,1602884230.845518
-3000,1093869286.000000,0.001810,0.943835,0.001081,0.009040,0.000700,0.002534,0.160244,0.485235,0.785367,0.698575,0.540352,0.233482,0.232310,0.605192,0.000362,0.394363,0.121139,0.000028,0.000023,0.056165,0.022729,0.270501,0.143451,0.017878|0.070091|0.626124|0.242245|0.025775|0.017892,0.350404,0.612843,0.164218,0.226053,0.851174,0.967811,0.773947,529079.000000,23181293.000000,0.087772,506.000000,1201.000000,0.022186,0.936100,0.757200,25,0.139665,1420.000000,2000.000000,2,1630386.625000,0.007421,0.389802,6156,4,0.614376,0,33,0,1394,0.380804,0.575578,0.789370,0.619196,18949.685836,196555.468216,1280487.787023,0.000000,0.000000,0.000000,4193249825.243684
-2000,2791530922.000000,0.000937,0.982955,0.000416,0.008796,0.000000,0.001352,0.126526,0.604814,1.000000,0.691992,0.474048,0.244898,0.247255,0.601974,0.000310,0.401720,0.126239,0.000040,0.000042,0.017045,0.021454,0.345428,0.221186,0.017866|0.040934|0.600728|0.300449|0.022155|0.017871,0.217355,0.764522,0.163044,0.263439,0.949196,1.000000,0.736561,564832.000000,42844496.400000,0.110787,486.000000,1477.600000,0.053047,0.951300,0.708020,17,0.081340,775.000000,2914.000000,0,1645568.250000,0.004591,0.946459,8183,3,0.475820,0,40,0,1649,0.423732,0.592946,0.792732,0.576268,60913.544654,594044.069049,3379268.050350,0.000000,0.000000,0.000000,11294958068.900961
-1000,4952831794.000000,0.000574,0.959051,0.001848,0.009094,0.000000,0.004069,0.152196,0.733480,1.000000,0.686506,0.522553,0.253430,0.257630,0.582969,0.000220,0.408471,0.133477,0.000045,0.000043,0.040949,0.020418,0.416536,0.292631,0.017862|0.031812|0.493515|0.418709|0.020448|0.017865,0.150602,0.838146,0.174750,0.295629,0.885905,0.995543,0.704371,669735.000000,62304648.800000,0.097259,514.000000,1471.000000,0.060526,0.944100,0.755500,13,0.050980,1135.000000,3760.000000,0,1679816.000000,0.002641,2.860494,10145,9,2.028138,0,58,0,2104,0.462446,0.588620,0.802132,0.537554,20217.694806,911500.580491,5276444.781853,0.000000,0.000000,0.000000,25671337154.832653
0,5082208287.000000,0.000026,0.950182,0.001933,0.008950,0.000000,0.004917,0.167019,0.839724,1.000000,0.685080,0.525647,0.258304,0.270929,0.577116,0.000182,0.413733,0.138277,0.000052,0.000048,0.049818,0.019237,0.430016,0.305325,0.017862|0.031222|0.489597|0.424955|0.020475|0.017865,0.148080,0.842595,0.194503,0.334186,0.878151,0.979689,0.665814,629156.500000,59579255.700000,0.093379,468.500000,1411.400000,0.057868,0.952000,0.810500,12,0.042254,1485.000000,4690.000000,0,1618641.875000,0.002542,3.776816,11557,4,2.531871,0,33,0,2477,0.504703,0.592568,0.813468,0.495297,5887.861979,890808.514526,5301509.113280,0.000000,0.000000,0.000000,34615194703.404335
1000,5279924864.000000,0.000038,0.929410,0.002929,0.009206,0.000000,0.001338,0.178253,0.971159,1.000000,0.717959,0.545237,0.271768,0.284877,0.621031,0.000172,0.425701,0.141337,0.000061,0.000055,0.070590,0.018061,0.441081,0.314424,0.017862|0.031670|0.489125|0.424101|0.020761|0.017865,0.148251,0.841138,0.206629,0.374944,0.826443,0.944045,0.625056,576735.000000,57105736.400000,0.091325,432.000000,1295.000000,0.055716,0.971500,0.849440,10,0.031949,1545.000000,5430.000000,0,1655845.625000,0.002505,4.141497,12643,8,3.727083,233,34,0,2534,0.541212,0.601228,0.831574,0.458788,7844.752909,872578.503905,5371626.349313,0.000000,0.000000,0.000000,42836583987.566063
1500,5311025448.000000,0.000012,0.955050,0.001389,0.009105,0.000000,0.002126,0.185029,1.000000,1.000000,0.717469,0.524844,0.264727,0.288965,0.617563,0.000166,0.430341,0.141356,0.000067,0.000062,0.044950,0.017587,0.445799,0.317176,0.017862|0.032025|0.492675|0.419479|0.020954|0.017865,0.144942,0.843321,0.204690,0.392429,0.859456,0.999132,0.607571,560549.000000,52986961.900000,0.091799,407.000000,1290.000000,0.054889,0.972300,0.859850,9,0.027439,1630.000000,5920.000000,0,1628866.625000,0.002506,3.825208,6598,3,1.193644,266,20,0,1411,0.545550,0.608672,0.836043,0.454450,26284.800420,934108.072706,5736243.107046,0.000000,0.000000,0.000000,46288654302.241989
2000,5294874743.000000,-0.000006,0.889418,0.004157,0.009018,0.000001,0.002861,0.181344,1.000000,1.000000,0.708955,0.498026,0.268241,0.294879,0.602088,0.000170,0.430569,0.144231,0.000073,0.000067,0.110582,0.017145,0.447989,0.321388,0.017862|0.032209|0.496403|0.415620|0.021006|0.017865,0.145869,0.842341,0.210140,0.409195,0.777077,0.892875,0.590805,536220.000000,53140794.800000,0.090128,403.000000,1291.000000,0.054314,0.972800,0.870940,9,0.026706,1680.000000,6222.000000,0,1604463.000000,0.002465,4.022313,7092,3,2.927577,321,13,0,1427,0.564764,0.605239,0.842985,0.435236,1299.276154,829927.963136,5174339.193749,0.000000,0.000000,0.000000,51638106332.690933
2025,5300731846.000000,0.000044,0.972648,0.001075,0.009097,0.000000,0.002249,0.186308,1.000000,1.000000,0.711528,0.490352,0.270239,0.297789,0.611582,0.000174,0.433273,0.145057,0.000072,0.000067,0.027352,0.017102,0.448270,0.321445,0.017862|0.032126|0.494773|0.416910|0.021100|0.017865,0.144473,0.843240,0.210603,0.410872,0.914661,1.000000,0.589128,546725.000000,52302054.200000,0.089884,403.000000,1291.000000,0.054215,0.973800,0.871980,9,0.026706,1655.000000,6247.000000,0,1601418.750000,0.002508,4.186697,276,0,0.036247,20,0,0,54,0.565331,0.616322,0.839261,0.434669,35224.503226,944523.978627,5872416.081595,0.000000,0.000000,0.000000,51771207242.313255
