year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,0,New nabelia Tribe,306526,0.989400,0.632100,0.911500,0.002900,0,0,stable,0,0,0,1,1.000000,1.000000,0.999469,0.999439,0.000000,-0.000531,-0.000030,-0.000561,0.000000,0.000000,0.000000,0.004580,0.000000,-0.000531,-0.000030,0.000000,0.006338,1,control,0.000531,0.594738,0.599639,0.612176,0.612148,0.632148,0.632148,0.004901,0.012536,-0.000027,0.020000,0.000000,0.037410,-0.000000,0.000000,0.013422,-0.000000,-0.000885,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006338,demography,0.000027
-5000,1,South romterstan Tribe,114367,0.999100,0.605200,0.857600,0.004100,0,0,stable,0,0,0,1,1.000000,1.000000,0.999146,0.999115,0.000000,-0.000854,-0.000031,-0.000885,0.000000,0.000000,0.000000,0.004654,0.000000,-0.000854,-0.000031,0.000000,0.006438,1,control,0.000854,0.589198,0.593865,0.605203,0.605175,0.605175,0.605175,0.004668,0.011338,-0.000028,0.000000,0.000000,0.015977,-0.000000,0.000000,0.012761,-0.000000,-0.001424,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006438,demography,0.000028
-5000,2,South quinamarstan Tribe,74690,0.999100,0.582200,0.849200,0.004600,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999095,0.999064,0.000000,-0.000905,-0.000031,-0.000936,0.000000,0.000000,0.000000,0.004605,0.000000,-0.000905,-0.000031,0.000000,0.006476,1,control,0.000905,0.566455,0.570721,0.582183,0.582155,0.582155,0.582155,0.004266,0.011462,-0.000028,0.000000,0.000000,0.015700,-0.000000,0.000000,0.012970,-0.000000,-0.001508,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006476,demography,0.000028
-5000,3,South marlinviastan Tribe,297649,0.997900,0.623700,0.660000,0.008100,0,0,stable,0,0,0,1,1.000000,1.000000,0.997960,0.997926,0.000000,-0.002040,-0.000034,-0.002074,0.000000,0.000000,0.000000,0.004416,0.000000,-0.002040,-0.000034,0.000000,0.006742,1,control,0.002040,0.609828,0.613653,0.623702,0.623671,0.623671,0.623671,0.003824,0.010049,-0.000030,0.000000,0.000000,0.013843,-0.000000,0.000000,0.013449,-0.000000,-0.003400,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006742,demography,0.000030
-5000,4,South linquiland Tribe,302724,0.999000,0.620000,0.835600,0.004400,0,0,stable,0,0,0,1,1.000000,1.000000,0.999013,0.998982,0.000000,-0.000987,-0.000031,-0.001018,0.000000,0.000000,0.000000,0.004529,0.000000,-0.000987,-0.000031,0.000000,0.006455,1,control,0.000987,0.603639,0.608210,0.620036,0.620008,0.620008,0.620008,0.004571,0.011827,-0.000028,0.000000,0.000000,0.016369,-0.000000,0.000000,0.013471,-0.000000,-0.001644,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006455,demography,0.000028
-5000,5,Great zenmarland Tribe,303636,0.999100,0.587600,0.861200,0.004200,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999167,0.999136,0.000000,-0.000833,-0.000031,-0.000864,0.000000,0.000000,0.000000,0.004529,0.000000,-0.000833,-0.000031,0.000000,0.006446,1,control,0.000833,0.571050,0.575645,0.587676,0.587648,0.587648,0.587648,0.004595,0.012031,-0.000028,0.000000,0.000000,0.016598,-0.000000,0.000000,0.013419,-0.000000,-0.001388,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006446,demography,0.000028
-5000,6,Romdusia Tribe,178151,0.998100,0.673600,0.691600,0.006900,0,0,stable,0,0,0,1,1.000000,1.000000,0.998150,0.998117,0.000000,-0.001850,-0.000033,-0.001883,0.000000,0.000000,0.000000,0.004491,0.000000,-0.001850,-0.000033,0.000000,0.006639,1,control,0.001850,0.659023,0.663404,0.673605,0.673575,0.673575,0.673575,0.004381,0.010201,-0.000030,0.000000,0.000000,0.014552,-0.000000,0.000000,0.013285,-0.000000,-0.003084,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006639,demography,0.000030
-5000,7,Great terromvialand Tribe,302906,0.998700,0.626500,0.787300,0.005400,0,0,stable,0,0,0,1,1.000000,1.000000,0.998724,0.998692,0.000000,-0.001276,-0.000032,-0.001308,0.000000,0.000000,0.000000,0.004609,0.000000,-0.001276,-0.000032,0.000000,0.006531,1,control,0.001276,0.611831,0.615831,0.626568,0.626540,0.626540,0.626540,0.004000,0.010737,-0.000029,0.000000,0.000000,0.014708,-0.000000,0.000000,0.012864,-0.000000,-0.002127,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006531,demography,0.000029
-5000,8,South quilor Tribe,292395,0.998100,0.591400,0.693800,0.007800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998163,0.998129,0.000000,-0.001837,-0.000034,-0.001871,0.000000,0.000000,0.000000,0.004473,0.000000,-0.001837,-0.000034,0.000000,0.006724,1,control,0.001837,0.577781,0.581400,0.591454,0.591424,0.591424,0.591424,0.003619,0.010054,-0.000030,0.000000,0.000000,0.013643,-0.000000,0.000000,0.013116,-0.000000,-0.003062,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006724,demography,0.000030
-5000,9,New lorzenna Tribe,296691,0.998200,0.631200,0.712800,0.006900,0,0,stable,0,0,0,1,1.000000,1.000000,0.998277,0.998244,0.000000,-0.001723,-0.000033,-0.001756,0.000000,0.000000,0.000000,0.004501,0.000000,-0.001723,-0.000033,0.000000,0.006647,1,control,0.001723,0.616687,0.620933,0.631252,0.631223,0.631223,0.631223,0.004246,0.010319,-0.000030,0.000000,0.000000,0.014535,-0.000000,0.000000,0.013191,-0.000000,-0.002872,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006647,demography,0.000030
-5000,10,Great marsolland Tribe,308724,0.999400,0.596200,0.909600,0.002900,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999458,0.999428,0.000000,-0.000542,-0.000030,-0.000572,0.000000,0.000000,0.000000,0.004666,0.000000,-0.000542,-0.000030,0.000000,0.006359,1,control,0.000542,0.578081,0.584467,0.596246,0.596219,0.596219,0.596219,0.006385,0.011779,-0.000027,0.000000,0.000000,0.018137,-0.000000,0.000000,0.012683,-0.000000,-0.000904,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006359,demography,0.000027
-5000,11,South lorzenstan Tribe,307098,0.998900,0.594000,0.829700,0.004800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998978,0.998947,0.000000,-0.001022,-0.000031,-0.001053,0.000000,0.000000,0.000000,0.004551,0.000000,-0.001022,-0.000031,0.000000,0.006492,1,control,0.001022,0.578062,0.582558,0.594056,0.594028,0.594028,0.594028,0.004495,0.011498,-0.000028,0.000000,0.000000,0.015965,-0.000000,0.000000,0.013201,-0.000000,-0.001703,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006492,demography,0.000028
-5000,12,Old solzenia Tribe,303034,0.998400,0.576500,0.741100,0.006700,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998447,0.998414,0.000000,-0.001553,-0.000033,-0.001586,0.000000,0.000000,0.000000,0.004527,0.000000,-0.001553,-0.000033,0.000000,0.006663,1,control,0.001553,0.560268,0.566084,0.576511,0.576481,0.576481,0.576481,0.005816,0.010427,-0.000030,0.000000,0.000000,0.016213,-0.000000,0.000000,0.013016,-0.000000,-0.002589,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006663,demography,0.000030
-5000,13,Viamarstan Tribe,300827,0.998700,0.575200,0.787300,0.005400,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998724,0.998691,0.000000,-0.001276,-0.000032,-0.001309,0.000000,0.000000,0.000000,0.004458,0.000000,-0.001276,-0.000032,0.000000,0.006589,1,control,0.001276,0.555490,0.563789,0.575241,0.575212,0.575212,0.575212,0.008299,0.011452,-0.000029,0.000000,0.000000,0.019722,-0.000000,0.000000,0.013580,-0.000000,-0.002127,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006589,demography,0.000029
