year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,13893357.000000,0.000000,1.000000,0.000000,0.000009,0.000000,0.001315,0.025447,0.000003,0.000004,0.714041,0.659050,0.036556,0.000000,0.068973,0.062402,0.004999|0.413429|0.515824|0.050999|0.014763|0.000000,0.349452,0.340246,0.112684,0.125318,1.000000,1.000000,0.874682,123499.500000,301385.500000,0.043848,265.000000,687.000000,0.035682,0.832800,0.694550,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.259249,0.847215,0.492225,0.740751,102073.771092,129593.721600,760718.385443,0.000000,0.000000,0.000000,230062.308521
-4950,18612474.000000,0.005866,0.961548,0.001298,0.000005,0.000000,0.000000,0.023236,0.000179,0.000231,0.811237,0.441853,0.043392,0.543035,0.101157,0.082903,0.002838|0.429321|0.514861|0.053523|0.013025|0.000000,0.309547,0.433334,0.101707,0.128768,0.847719,1.000000,0.871232,137191.000000,431254.200000,0.053173,257.000000,649.400000,0.035191,0.976200,0.734040,0,1049.773682,0.000056,0.000000,39,0,0,15,0,15,0.290948,0.577625,0.533104,0.709052,820.432676,31044.343310,191668.539327,0.000000,0.000000,0.000000,13544110.923205
-4900,21938852.000000,0.003294,0.964136,0.000955,0.000005,0.000000,0.000830,0.023073,0.000302,0.000505,0.654430,0.372060,0.020583,0.428836,0.114019,0.089474,0.002258|0.432236|0.511701|0.052588|0.012290|0.000000,0.282185,0.475034,0.106173,0.128726,0.887243,1.000000,0.871274,145397.000000,482837.600000,0.050118,258.000000,604.800000,0.034317,0.898900,0.666800,0,1767.829346,0.000119,0.427955,43,0,0,16,0,6,0.276985,0.586015,0.478178,0.723015,994.154207,29536.135060,171013.728393,0.000000,0.000000,0.000000,30966065.394769
-4850,25276946.000000,0.002837,0.970134,0.000777,0.000006,0.000000,0.000000,0.023773,0.000393,0.000798,0.676232,0.355895,0.017935,0.203336,0.122950,0.090317,0.001770|0.431078|0.511900|0.052067|0.011908|0.000000,0.269661,0.498049,0.106787,0.132998,0.870259,1.000000,0.867002,138232.000000,552899.000000,0.064931,262.000000,604.400000,0.033771,0.910000,0.691960,0,2210.150146,0.000217,0.264459,53,0,0,12,0,8,0.282276,0.590191,0.487201,0.717724,1001.344603,31027.314965,179837.280652,0.000000,0.000000,0.000000,50791311.503664
-4800,28794648.000000,0.002609,0.981633,0.000740,0.000005,0.000000,0.000000,0.024753,0.000418,0.001107,0.593121,0.380480,0.018537,0.163598,0.130308,0.086160,0.001447|0.433319|0.509961|0.051783|0.011735|0.000000,0.269652,0.507976,0.111974,0.131718,0.914421,1.000000,0.868282,128944.000000,604130.000000,0.075538,249.500000,538.500000,0.033687,0.918150,0.752300,0,2670.625244,0.000251,0.383941,69,0,0,36,0,14,0.285524,0.594213,0.460171,0.714476,1288.879179,32458.952239,183583.526036,0.000000,0.000000,0.000000,79396385.329605
-4750,32183096.000000,0.002228,0.986412,0.000813,0.000004,0.000000,0.001425,0.025562,0.000469,0.001445,0.614629,0.393863,0.024617,0.211733,0.139295,0.082173,0.001177|0.426437|0.515903|0.052461|0.011846|0.000000,0.276655,0.519600,0.116762,0.138234,0.945539,1.000000,0.861766,121887.000000,677619.000000,0.084495,252.000000,498.000000,0.033427,0.918400,0.741240,0,4301.791016,0.000466,0.756404,97,0,0,17,0,15,0.289583,0.599769,0.465878,0.710417,1283.782229,29896.436744,165409.134772,0.000000,0.000000,0.000000,102645517.811051
-4700,35864239.000000,0.002168,0.980361,0.001252,0.000004,0.000000,0.001495,0.026433,0.000527,0.001793,0.568491,0.399289,0.035219,0.317184,0.145810,0.079027,0.000962|0.422026|0.518272|0.053482|0.012066|0.000000,0.280907,0.521957,0.119047,0.141076,0.903099,1.000000,0.858923,123548.000000,756906.100000,0.087007,254.500000,498.000000,0.032925,0.906850,0.743360,0,4624.277832,0.000462,0.736213,104,0,0,2,0,25,0.291430,0.591748,0.454012,0.708570,1245.137258,27620.346545,152101.412349,0.000000,0.000000,0.000000,126636121.860178
-4650,40202416.000000,0.002286,0.979068,0.001396,0.000003,0.000000,0.001538,0.026969,0.000567,0.002156,0.467224,0.396647,0.036840,0.298462,0.151988,0.077455,0.000801|0.419950|0.518219|0.054496|0.012377|0.000000,0.275931,0.531417,0.121551,0.144103,0.922600,1.000000,0.855897,144898.000000,927444.000000,0.082769,262.000000,498.000000,0.032339,0.907600,0.746100,0,4651.377930,0.000381,0.627778,95,0,0,5,0,18,0.294350,0.593795,0.419857,0.705650,1444.137619,27471.426534,149616.601264,0.000000,0.000000,0.000000,152023032.454464
-4600,44558145.000000,0.002059,0.986434,0.000587,0.000003,0.000000,0.000000,0.027656,0.000603,0.002526,0.464949,0.389175,0.019389,0.217224,0.157156,0.078129,0.000692|0.405395|0.529987|0.056189|0.012751|0.000000,0.279616,0.535121,0.121732,0.147245,0.942385,1.000000,0.852755,141256.000000,1001043.000000,0.085101,262.000000,496.400000,0.031891,0.917000,0.757160,0,4978.966797,0.000364,0.652784,126,0,0,2,0,19,0.302102,0.596987,0.413473,0.697898,2336.629406,32638.960110,180247.922743,0.000000,0.000000,0.000000,180066923.307739
-4550,49571654.000000,0.002135,0.997493,0.000148,0.000003,0.000000,0.000991,0.028473,0.000593,0.002890,0.510463,0.402317,0.015633,0.115105,0.161818,0.079926,0.000586|0.398054|0.535694|0.057700|0.012956|0.000000,0.282173,0.539884,0.123483,0.149100,1.000000,1.000000,0.850900,100153.000000,1082320.200000,0.086889,262.000000,487.200000,0.031503,0.916950,0.755560,0,5080.937012,0.000308,0.944740,137,0,0,25,0,29,0.299028,0.607696,0.431985,0.700972,3787.383630,35639.634576,192651.591075,0.000000,0.000000,0.000000,215053222.106843
