year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,23922156.000000,0.000000,1.000000,0.000000,0.008542,0.000000,0.001817,0.024600,0.280136,0.280144,0.678934,0.610610,0.027624,0.000000,0.104022,0.093406,0.047163|0.374769|0.371980|0.131169|0.057103|0.017857,0.339008,0.306888,0.090192,0.112946,1.000000,1.000000,0.887054,298930.000000,305167.500000,0.028868,499.000000,1143.000000,0.020598,0.799650,0.659900,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.239814,0.770956,0.739363,0.760186,156080.407377,196580.711003,1136487.673900,0.000000,0.000000,0.000000,355157.012174
-4950,30651578.000000,0.002742,0.942707,0.001949,0.008660,0.000000,0.000000,0.023342,0.287439,0.289539,0.784119,0.514245,0.057293,0.000000,0.147439,0.125253,0.031432|0.391568|0.382774|0.136105|0.052970|0.017857,0.294345,0.400933,0.089852,0.120380,0.791197,0.994648,0.879620,299083.000000,541086.000000,0.032543,490.000000,1073.500000,0.020619,0.949800,0.655100,0,469.722137,0.000041,0.340283,62,0,0.000878,29,0,29,0.276041,0.576392,0.788533,0.723959,760.795186,17146.454954,95761.247851,0.000000,0.000000,0.000000,21751306.134865
-4900,34598950.000000,0.002106,0.940729,0.001537,0.008588,0.000000,0.000000,0.023278,0.291982,0.300868,0.663873,0.372233,0.059271,0.000000,0.168558,0.136486,0.027549|0.398632|0.378590|0.136157|0.052479|0.017857,0.283210,0.437118,0.088585,0.120888,0.778414,1.000000,0.879112,252902.000000,586317.800000,0.044436,407.000000,931.200000,0.020415,0.913300,0.600080,0,960.528137,0.000118,0.914648,78,0,0.001025,60,0,26,0.268691,0.562161,0.747259,0.731309,445.980235,29733.291110,162695.780892,0.000000,0.000000,0.000000,47928859.291335
-4850,38825040.000000,0.002077,0.962516,0.000911,0.008449,0.000000,0.001015,0.023763,0.295559,0.313401,0.680972,0.341342,0.037484,0.000000,0.182543,0.139856,0.025320|0.402022|0.375080|0.136253|0.052104|0.017857,0.285127,0.451771,0.093862,0.132329,0.848954,1.000000,0.867671,188623.500000,681374.900000,0.050781,385.500000,912.900000,0.020134,0.904400,0.585620,0,1161.746582,0.000129,0.767714,82,0,0.000728,29,0,16,0.271125,0.574610,0.748884,0.728875,939.650861,20384.423508,102249.270318,0.000000,0.000000,0.000000,75689571.573435
-4800,43247325.000000,0.002040,0.973895,0.000773,0.008475,0.000000,0.000831,0.024305,0.300509,0.326267,0.693330,0.340260,0.026105,0.000000,0.192204,0.133172,0.023637|0.404400|0.373062|0.137465|0.050457|0.017857,0.289618,0.460742,0.097703,0.136008,0.864133,1.000000,0.863992,177165.000000,733717.000000,0.058667,391.000000,911.800000,0.019924,0.879300,0.589200,0,1566.664551,0.000112,0.668704,86,0,0.000564,6,0,21,0.273571,0.590389,0.755702,0.726429,1426.778637,23933.736417,118516.465370,0.000000,0.000000,0.000000,103823708.195545
-4750,47984936.000000,0.002020,0.987468,0.000574,0.008620,0.000000,0.000000,0.025017,0.303441,0.339817,0.605487,0.337969,0.012532,0.000000,0.199674,0.124073,0.022508|0.404997|0.372617|0.139616|0.048412|0.017857,0.289566,0.475203,0.094939,0.136671,0.958385,1.000000,0.863329,150297.000000,905801.200000,0.063126,390.000000,874.800000,0.019737,0.903000,0.614360,0,1791.975098,0.000122,0.451474,90,0,0.000301,8,0,23,0.276173,0.599753,0.718067,0.723827,1682.299289,29771.749745,146999.881785,0.000000,0.000000,0.000000,135922757.457659
-4700,52867538.000000,0.001985,0.980824,0.000587,0.008652,0.000000,0.001728,0.025411,0.299606,0.353683,0.553665,0.353474,0.019176,0.000000,0.205965,0.117726,0.021515|0.404392|0.372450|0.142654|0.048107|0.017857,0.290017,0.486677,0.102854,0.137213,0.925703,1.000000,0.862787,123638.000000,1017090.800000,0.064870,342.000000,787.400000,0.019648,0.877200,0.617480,0,2530.845703,0.000145,0.691859,108,0,0.000507,57,0,28,0.277278,0.595215,0.696920,0.722722,1862.826475,28949.184452,141567.082174,0.000000,0.000000,0.000000,178388725.471873
-4650,58620505.000000,0.002017,0.985880,0.000475,0.008502,0.000000,0.001911,0.026163,0.300672,0.367918,0.597406,0.358266,0.014120,0.000000,0.210121,0.113289,0.021039|0.403804|0.372490|0.145233|0.045499|0.017857,0.287436,0.496291,0.102551,0.139189,0.928888,1.000000,0.860811,113269.000000,1178760.900000,0.068901,334.000000,785.600000,0.019541,0.895000,0.629010,0,1771.899536,0.000114,0.684877,104,0,0.000414,15,0,20,0.281745,0.605474,0.707297,0.718255,1737.131268,30984.705373,151686.507882,0.000000,0.000000,0.000000,218953978.776098
-4600,64686235.000000,0.001993,0.985675,0.000601,0.008458,0.000000,0.001013,0.026918,0.303965,0.382700,0.606191,0.356645,0.014325,0.000000,0.213885,0.109414,0.020684|0.396671|0.376658|0.148678|0.044567|0.017857,0.286968,0.504679,0.103180,0.142036,0.947517,1.000000,0.857964,125488.000000,1365246.000000,0.072455,336.000000,785.000000,0.019421,0.906100,0.630500,0,1602.400879,0.000104,0.610403,110,0,0.000463,3,0,30,0.287805,0.608445,0.717447,0.712195,2909.345902,33727.043002,167242.201099,0.000000,0.000000,0.000000,260445468.182595
-4550,70797357.000000,0.001952,0.994774,0.000196,0.008598,0.000000,0.001155,0.027795,0.308480,0.396488,0.589107,0.356194,0.005226,0.000000,0.217592,0.106156,0.020325|0.388006|0.383490|0.151829|0.043109|0.017857,0.286846,0.511656,0.105240,0.145253,0.991480,1.000000,0.854747,131750.000000,1476131.000000,0.075494,342.000000,785.000000,0.019311,0.887000,0.631700,0,2631.449463,0.000126,0.692691,132,0,0.000185,0,0,30,0.288863,0.627319,0.711591,0.711137,4498.282781,37509.331234,189613.651130,0.000000,0.000000,0.000000,302333850.969769
