year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,97,50,0,0,0,0,23163231.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998099,0.997560,0.604836,0.559520,40:0.989;80:0.989;0:0.989;60:0.989;20:0.989,30:0.549;64:0.549;3:0.551;5:0.551;4:0.554
-4950,100,68,6,16,6,5,30908758.000000,382925.000000,2222700.000000,382925.000000,466259.000000,0.012389,0.071912,0.012389,0.015085,0.927525,0.785500,0.693577,0.306980,64:0.004;63:0.124;33:0.337;103:0.358;100:0.386,64:0.005;63:0.006;47:0.012;33:0.015;50:0.102
-4900,118,55,25,55,25,30,35194138.000000,2204680.000000,9006505.000000,2204680.000000,3290666.000000,0.062643,0.255909,0.062643,0.093500,0.743482,0.176470,0.559253,0.012740,64:0.004;50:0.005;93:0.006;63:0.006;33:0.008,64:0.005;50:0.007;98:0.008;63:0.009;93:0.009
-4850,123,56,36,56,36,39,39349950.000000,4490635.000000,9096025.000000,4490635.000000,5785163.000000,0.114120,0.231157,0.114120,0.147018,0.691144,0.007220,0.518433,0.011600,64:0.004;98:0.005;93:0.006;50:0.006;80:0.006,64:0.005;93:0.008;98:0.008;80:0.009;50:0.009
-4800,124,55,44,62,44,45,43924395.000000,4777535.000000,10773587.000000,4777535.000000,5511857.000000,0.108767,0.245276,0.108767,0.125485,0.653303,0.007400,0.509429,0.012200,64:0.005;93:0.006;25:0.006;50:0.007;32:0.007,64:0.007;93:0.008;32:0.011;50:0.011;33:0.012
-4750,125,56,44,62,44,53,49034800.000000,4417374.000000,11014134.000000,4417374.000000,8096052.000000,0.090087,0.224619,0.090087,0.165108,0.632266,0.007200,0.491623,0.012040,64:0.006;93:0.006;98:0.006;50:0.007;33:0.007,93:0.009;64:0.009;98:0.010;80:0.010;50:0.011
-4700,132,57,52,68,52,55,54397862.000000,4927073.000000,10553609.000000,4927073.000000,6211308.000000,0.090575,0.194008,0.090575,0.114183,0.589153,0.007510,0.481527,0.012200,98:0.005;93:0.006;24:0.007;25:0.007;50:0.007,98:0.008;64:0.009;23:0.010;93:0.010;50:0.011
-4650,138,55,55,77,55,63,60072017.000000,4939063.000000,10653803.000000,4939063.000000,6371891.000000,0.082219,0.177351,0.082219,0.106071,0.575722,0.007400,0.451652,0.012600,50:0.006;98:0.006;64:0.006;24:0.007;93:0.007,50:0.009;98:0.010;80:0.010;93:0.011;64:0.011
-4600,142,54,61,81,61,66,66293477.000000,6053444.000000,12064026.000000,6053444.000000,8165106.000000,0.091313,0.181979,0.091313,0.123166,0.568674,0.007510,0.438937,0.012720,98:0.006;64:0.006;50:0.006;24:0.007;93:0.007,98:0.009;64:0.010;50:0.010;93:0.011;107:0.011
-4550,145,56,63,83,63,69,73181274.000000,6274957.000000,11593450.000000,6274957.000000,8966669.000000,0.085745,0.158421,0.085745,0.122527,0.563010,0.007600,0.429847,0.013300,98:0.006;24:0.007;50:0.007;64:0.007;84:0.007,98:0.010;64:0.011;93:0.011;50:0.012;24:0.012
-4500,147,56,67,86,67,75,79767467.000000,7116523.000000,13181770.000000,7116523.000000,10358016.000000,0.089216,0.165252,0.089216,0.129853,0.534674,0.007600,0.428967,0.013360,98:0.006;50:0.007;64:0.007;84:0.007;93:0.007,98:0.010;50:0.011;93:0.011;64:0.011;84:0.012
-4450,156,59,72,88,72,76,87051518.000000,7223513.000000,12686746.000000,7223513.000000,8375587.000000,0.082980,0.145738,0.082980,0.096214,0.529668,0.007800,0.422581,0.013450,98:0.006;50:0.007;64:0.007;93:0.007;84:0.007,98:0.010;93:0.011;64:0.012;46:0.012;50:0.012
-4400,160,57,75,98,75,80,95080238.000000,7701065.000000,14583656.000000,7701065.000000,9176776.000000,0.080995,0.153383,0.080995,0.096516,0.532542,0.007790,0.405627,0.013290,98:0.006;50:0.007;64:0.007;93:0.007;84:0.007,98:0.010;93:0.011;26:0.011;50:0.011;64:0.011
-4350,163,56,74,99,74,81,103827577.000000,6527928.000000,15482377.000000,6527928.000000,10920533.000000,0.062873,0.149116,0.062873,0.105180,0.536699,0.007600,0.400588,0.013220,98:0.006;64:0.006;50:0.007;93:0.007;84:0.007,98:0.009;64:0.010;50:0.011;46:0.011;93:0.011
