year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18003661.000000,0.000000,0.999577,0.000012,0.008537,0.000000,0.000655,0.023793,0.280127,0.280143,0.682959,0.623315,0.026826,0.001672,0.096551,0.087958,0.032077|0.383735|0.387602|0.088298|0.090516|0.017857,0.355928,0.290796,0.093108,0.111061,1.000000,1.000000,0.888939,194110.000000,303156.800000,0.021892,324.000000,1045.000000,0.025755,0.820500,0.683160,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.239474,0.833592,0.740613,0.760526,138558.809530,165244.564082,971445.767938,0.000000,0.000000,0.000000,302132.539517
-4950,23758674.000000,0.002891,0.968788,0.000941,0.008599,0.000000,0.000931,0.023412,0.288630,0.290306,0.886981,0.823993,0.031212,0.001630,0.130532,0.111436,0.024309|0.396233|0.386988|0.092868|0.091498|0.017857,0.308627,0.362170,0.107658,0.127551,0.872507,1.000000,0.872449,212008.500000,464823.000000,0.033172,332.500000,1044.500000,0.025490,0.989150,0.928680,0,20.701929,0.000002,39.842439,24,0,0.000371,5,0,11,0.285183,0.591929,0.828553,0.714817,708.970954,35660.471768,228812.271709,0.000000,0.000000,0.000000,14980185.869021
-4900,27348488.000000,0.002205,0.965785,0.001227,0.008503,0.000000,0.000977,0.023782,0.297971,0.302037,0.887246,0.851716,0.034215,0.001617,0.142721,0.116041,0.021825|0.396957|0.384056|0.092382|0.092003|0.017857,0.275956,0.400618,0.110147,0.133058,0.875846,1.000000,0.866942,228433.500000,528149.500000,0.037754,324.000000,1043.200000,0.025295,0.990450,0.947400,0,700.451782,0.000041,0.405256,37,0,0.000468,21,0,6,0.289363,0.592523,0.831206,0.710638,744.897890,37626.074111,233361.606052,0.000000,0.000000,0.000000,33816909.149477
-4850,30858084.000000,0.002104,0.976941,0.000800,0.008343,0.000000,0.000725,0.024120,0.307863,0.314633,0.890679,0.874974,0.023059,0.001607,0.150696,0.113401,0.020593|0.398526|0.381013|0.092795|0.092720|0.017857,0.271645,0.414255,0.113625,0.137112,0.902541,1.000000,0.862888,231327.500000,652487.300000,0.039024,360.000000,1029.400000,0.024856,0.992450,0.968100,0,836.233948,0.000043,0.304229,39,0,0.000356,16,0,4,0.294675,0.596153,0.835212,0.705325,1290.722693,25468.499300,155170.036735,0.000000,0.000000,0.000000,58914621.621014
-4800,34656247.000000,0.002081,0.986820,0.000396,0.008363,0.000000,0.000564,0.024363,0.318340,0.327894,0.892460,0.882406,0.013180,0.001600,0.156257,0.101382,0.019769|0.398760|0.380074|0.092797|0.093547|0.017857,0.266926,0.427903,0.116839,0.140187,0.949576,1.000000,0.859813,251586.000000,761820.400000,0.039568,364.000000,1027.200000,0.024485,0.993300,0.975260,0,750.452881,0.000051,0.257417,53,0,0.000228,8,0,5,0.297422,0.604658,0.838255,0.702578,1383.131779,32177.951700,198385.029873,0.000000,0.000000,0.000000,81529196.143261
-4750,38887124.000000,0.002077,0.994332,0.000172,0.008468,0.000000,0.000499,0.024644,0.328927,0.342029,0.892746,0.882115,0.005668,0.001594,0.161537,0.089474,0.019310|0.399514|0.377988|0.092993|0.094740|0.017857,0.267378,0.434652,0.119724,0.142619,0.984511,1.000000,0.857381,274543.000000,875987.400000,0.040348,365.000000,1027.200000,0.024149,0.994100,0.976020,0,778.222778,0.000048,0.211762,49,0,0.000110,0,0,5,0.299673,0.611296,0.839575,0.700327,1848.135072,27511.608244,172373.027079,0.000000,0.000000,0.000000,106729896.000528
-4700,43465839.000000,0.002057,0.991716,0.000268,0.008452,0.000000,0.000531,0.024971,0.339343,0.356449,0.892910,0.883675,0.008284,0.001585,0.166648,0.082173,0.019015|0.399410|0.377114|0.093084|0.095586|0.017857,0.274139,0.436677,0.122591,0.146130,0.976219,1.000000,0.853870,284454.000000,980123.200000,0.040975,371.000000,1027.200000,0.023836,0.994200,0.977060,0,919.471558,0.000050,0.198572,67,0,0.000180,0,0,9,0.304167,0.607502,0.840616,0.695833,1817.874733,24239.297014,146702.853985,0.000000,0.000000,0.000000,135419606.866591
-4650,48810495.000000,0.002322,0.986858,0.000295,0.008269,0.000000,0.000390,0.025225,0.350756,0.371144,0.893135,0.876570,0.013142,0.001576,0.171591,0.077174,0.018820|0.400156|0.374926|0.093324|0.096663|0.017857,0.274655,0.442012,0.124926,0.149927,0.945716,1.000000,0.850073,315496.000000,1145380.200000,0.048270,383.000000,1027.200000,0.023525,0.994500,0.974700,0,704.642090,0.000046,0.215286,54,0,0.000321,0,0,3,0.307286,0.610847,0.841576,0.692714,1839.243557,26807.566199,160734.444191,0.000000,0.000000,0.000000,167878017.322097
-4600,54415674.000000,0.002177,0.988408,0.000432,0.008244,0.000000,0.000596,0.025556,0.362753,0.385607,0.892716,0.880438,0.011592,0.001572,0.175859,0.072961,0.018694|0.397208|0.375536|0.094230|0.097981|0.017857,0.277950,0.446514,0.127313,0.151965,0.960112,1.000000,0.848035,352393.000000,1248374.600000,0.053274,385.000000,1027.200000,0.023275,0.994400,0.976560,0,806.886169,0.000045,0.223401,69,0,0.000315,0,0,10,0.309787,0.618710,0.842655,0.690213,2771.048531,28977.726877,175502.279862,0.000000,0.000000,0.000000,204855636.258692
-4550,60182302.000000,0.002017,0.996124,0.000159,0.008384,0.000000,0.000712,0.025953,0.375185,0.400467,0.893899,0.885094,0.003876,0.001567,0.179623,0.070040,0.018600|0.393208|0.377480|0.095585|0.098583|0.017857,0.280516,0.450008,0.128721,0.153914,1.000000,1.000000,0.846086,388855.000000,1363235.000000,0.053236,387.000000,1027.200000,0.023058,0.994500,0.977120,0,922.785278,0.000045,0.231773,82,0,0.000117,0,0,9,0.312516,0.642091,0.843345,0.687484,4789.155246,24635.800707,145562.128071,0.000000,0.000000,0.000000,246973050.995073
