year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,97,70,0,0,0,0,28229884.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998163,0.997480,0.626041,0.581080,20:0.987;60:0.988;80:0.988;0:0.989;38:0.997,32:0.561;1:0.562;87:0.564;89:0.567;26:0.568
-4950,99,94,3,5,3,2,37523226.000000,125698.000000,372295.000000,125698.000000,132392.000000,0.003350,0.009922,0.003350,0.003528,0.966852,0.972600,0.940151,0.847820,100:0.309;64:0.315;101:0.388;38:0.429;50:0.674,64:0.011;38:0.075;100:0.201;50:0.265;101:0.321
-4900,107,95,3,2,2,2,43322026.000000,111212.000000,76203.000000,76203.000000,76203.000000,0.002567,0.001759,0.001759,0.001759,0.927708,0.634580,0.926388,0.601560,64:0.107;100:0.167;38:0.398;108:0.446;50:0.486,64:0.029;100:0.147;108:0.421;50:0.439;99:0.480
-4850,108,104,2,2,2,2,49148814.000000,75518.000000,75518.000000,75518.000000,75518.000000,0.001537,0.001537,0.001537,0.001537,0.953944,0.918190,0.968944,0.926970,64:0.118;100:0.171;50:0.436;108:0.518;99:0.614,64:0.116;100:0.201;50:0.654;99:0.742;107:0.842
-4800,109,105,3,2,2,1,55268622.000000,239823.000000,73534.000000,73534.000000,58768.000000,0.004339,0.001330,0.001330,0.001063,0.964846,0.957440,0.976569,0.998800,64:0.098;100:0.256;50:0.400;111:0.554;108:0.735,64:0.103;100:0.362;111:0.571;50:0.841;25:0.890
-4750,110,106,3,2,2,1,61917094.000000,71912.000000,56854.000000,56854.000000,1106.000000,0.001161,0.000918,0.000918,0.000018,0.968182,0.947740,0.976307,0.999030,64:0.220;100:0.277;112:0.327;50:0.420;99:0.840,64:0.180;112:0.247;100:0.406;6:0.904;34:0.914
-4700,110,106,1,0,0,0,68973246.000000,14796.000000,0.000000,0.000000,0.000000,0.000215,0.000000,0.000000,0.000000,0.978668,0.971700,0.985715,0.997130,100:0.312;64:0.512;50:0.588;112:0.709;99:0.929,112:0.508;100:0.542;64:0.852;37:0.896;89:0.908
-4650,111,110,1,0,0,0,76681418.000000,14440.000000,0.000000,0.000000,0.000000,0.000188,0.000000,0.000000,0.000000,0.982479,0.997200,0.991266,0.998100,100:0.331;64:0.658;50:0.684;113:0.741;34:0.930,112:0.706;100:0.771;91:0.900;32:0.914;34:0.928
-4600,111,110,0,0,0,0,84894578.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.987458,0.995200,0.994882,0.999400,100:0.424;50:0.753;64:0.837;102:0.922;66:0.939,100:0.900;26:0.902;66:0.903;18:0.916;102:0.929
-4550,111,111,0,0,0,0,93480019.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.990637,0.982400,0.996159,0.999400,50:0.693;100:0.700;98:0.939;38:0.947;102:0.948,83:0.935;29:0.940;113:0.944;12:0.946;98:0.953
-4500,111,111,0,0,0,0,101761712.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991866,0.977400,0.990582,0.954000,50:0.756;102:0.873;15:0.933;34:0.940;33:0.941,15:0.896;33:0.907;21:0.911;61:0.912;30:0.916
-4450,111,111,0,0,0,0,110059780.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995895,0.999400,0.995845,0.998200,102:0.863;50:0.898;38:0.937;82:0.954;63:0.955,82:0.917;29:0.936;60:0.941;50:0.947;44:0.953
-4400,111,111,0,0,0,0,120585007.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.996650,0.998000,0.994561,0.999300,63:0.922;38:0.928;99:0.945;50:0.951;53:0.971,63:0.896;103:0.924;110:0.928;53:0.936;38:0.937
-4350,111,111,0,0,0,0,131334416.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993809,0.975500,0.991378,0.972000,94:0.917;56:0.919;34:0.923;46:0.926;86:0.937,56:0.875;46:0.885;94:0.892;34:0.914;6:0.920
-4300,111,111,0,0,0,0,141750839.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995954,0.999000,0.994033,0.999100,101:0.912;98:0.920;93:0.927;92:0.950;88:0.952,101:0.867;93:0.887;88:0.911;98:0.919;58:0.952
-4250,111,111,0,0,0,0,152956392.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995947,0.998500,0.993296,0.998900,81:0.924;37:0.932;71:0.948;59:0.952;4:0.954,37:0.892;59:0.908;107:0.908;66:0.928;51:0.933
-4200,111,111,0,0,0,0,165790154.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995035,0.995700,0.993335,0.998600,64:0.927;34:0.932;79:0.934;83:0.942;106:0.945,106:0.885;83:0.896;79:0.897;90:0.911;57:0.918
-4150,111,111,0,0,0,0,180302536.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991676,0.960900,0.989359,0.965200,102:0.827;99:0.920;81:0.923;23:0.928;63:0.932,102:0.869;23:0.886;84:0.891;16:0.893;25:0.901
-4100,111,111,0,0,0,0,195702907.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991726,0.965700,0.986320,0.925500,50:0.910;64:0.910;99:0.914;63:0.918;62:0.925,50:0.878;110:0.881;62:0.882;32:0.882;9:0.891
-4050,111,111,0,0,0,0,213564293.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994617,0.985300,0.989765,0.972500,82:0.920;9:0.926;14:0.938;89:0.943;63:0.948,82:0.875;89:0.881;9:0.884;14:0.887;15:0.897
-4000,111,111,0,0,0,0,233323263.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992359,0.955900,0.990954,0.972400,99:0.945;64:0.946;55:0.949;68:0.951;65:0.954,101:0.869;106:0.899;89:0.923;0:0.924;77:0.925
-3950,111,111,0,0,0,0,255866400.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994165,0.998700,0.991174,0.974000,63:0.912;108:0.914;98:0.918;96:0.929;66:0.942,108:0.887;63:0.887;96:0.888;91:0.895;98:0.896
-3900,111,111,0,0,0,0,281830489.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995059,0.998700,0.993853,0.993100,64:0.875;50:0.924;102:0.927;83:0.929;1:0.936,83:0.891;43:0.899;50:0.918;1:0.926;101:0.941
-3850,111,111,0,0,0,0,310461062.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.995202,0.992800,0.994232,0.980700,102:0.917;98:0.936;74:0.937;81:0.948;64:0.958,74:0.901;62:0.916;32:0.927;40:0.938;102:0.939
