year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,0,Great terkin Tribe,286429,0.988600,0.581200,0.765200,0.006600,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998591,0.998558,0.000000,-0.001409,-0.000033,-0.001442,0.000000,0.000000,0.000000,0.004574,0.000000,-0.001409,-0.000033,0.000000,0.006624,1,control,0.001409,0.558790,0.562604,0.561256,0.561227,0.581227,0.581227,0.003814,-0.001348,-0.000029,0.020000,0.000000,0.022437,-0.000000,0.000000,0.001000,-0.000000,-0.002348,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006624,budget,0.001348
-5000,1,Great lorkinstan Tribe,294782,0.998300,0.631300,0.721700,0.006800,0,0,stable,0,0,0,1,1.000000,1.000000,0.998330,0.998298,0.000000,-0.001670,-0.000033,-0.001702,0.000000,0.000000,0.000000,0.004554,0.000000,-0.001670,-0.000033,0.000000,0.006624,1,control,0.001670,0.629300,0.633082,0.631299,0.631270,0.631270,0.631270,0.003782,-0.001783,-0.000029,0.000000,0.000000,0.001970,-0.000000,0.000000,0.001000,-0.000000,-0.002783,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006624,budget,0.001783
-5000,2,South zengar Tribe,302657,0.998600,0.557800,0.766100,0.006600,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998597,0.998564,0.000000,-0.001403,-0.000033,-0.001436,0.000000,0.000000,0.000000,0.004530,0.000000,-0.001403,-0.000033,0.000000,0.006626,1,control,0.001403,0.555221,0.559152,0.557813,0.557784,0.557784,0.557784,0.003931,-0.001339,-0.000029,0.000000,0.000000,0.002563,-0.000000,0.000000,0.001000,-0.000000,-0.002339,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006626,budget,0.001339
-5000,3,Dusnagaria Tribe,303020,0.999500,0.669200,0.926200,0.002000,0,0,stable,0,0,0,1,1.000000,1.000000,0.999557,0.999528,0.000000,-0.000443,-0.000029,-0.000472,0.000000,0.000000,0.000000,0.004667,0.000000,-0.000443,-0.000029,0.000000,0.006242,1,control,0.000443,0.663814,0.668945,0.669207,0.669180,0.669180,0.669180,0.005131,0.000262,-0.000026,0.000000,0.000000,0.005366,-0.000000,0.000000,0.001000,-0.000000,-0.000738,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006242,demography,0.000026
-5000,4,Romnaland Tribe,66437,0.998900,0.614900,0.829100,0.004700,0,0,stable,0,0,0,1,1.000000,1.000000,0.998975,0.998943,0.000000,-0.001025,-0.000031,-0.001057,0.000000,0.000000,0.000000,0.004510,0.000000,-0.001025,-0.000031,0.000000,0.006462,1,control,0.001025,0.611540,0.615654,0.614945,0.614917,0.614917,0.614917,0.004114,-0.000709,-0.000028,0.000000,0.000000,0.003377,-0.000000,0.000000,0.001000,-0.000000,-0.001709,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006462,budget,0.000709
-5000,5,Naranvialand Tribe,301575,0.996600,0.641300,0.442100,0.010300,0,0,stable,0,0,0,1,1.000000,1.000000,0.996652,0.996615,0.000000,-0.003348,-0.000038,-0.003385,0.000000,0.000000,0.000000,0.004398,0.000000,-0.003348,-0.000038,0.000000,0.007128,1,control,0.003348,0.642958,0.645889,0.641310,0.641276,0.641276,0.641276,0.002931,-0.004579,-0.000033,0.000000,0.000000,-0.001682,-0.000000,0.000000,0.001000,-0.000000,-0.005579,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.007128,budget,0.004579
-5000,6,Great nalinia Tribe,310139,0.997900,0.651900,0.659900,0.007800,0,0,stable,0,0,0,1,1.000000,1.000000,0.997959,0.997926,0.000000,-0.002041,-0.000034,-0.002074,0.000000,0.000000,0.000000,0.004441,0.000000,-0.002041,-0.000034,0.000000,0.006703,1,control,0.002041,0.650493,0.654376,0.651974,0.651944,0.651944,0.651944,0.003883,-0.002401,-0.000030,0.000000,0.000000,0.001452,-0.000000,0.000000,0.001000,-0.000000,-0.003401,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006703,budget,0.002401
-5000,7,New solna Tribe,303157,0.997400,0.658600,0.580000,0.008500,0,0,stable,0,0,0,1,1.000000,1.000000,0.997480,0.997445,0.000000,-0.002520,-0.000035,-0.002555,0.000000,0.000000,0.000000,0.004551,0.000000,-0.002520,-0.000035,0.000000,0.006851,1,control,0.002520,0.657919,0.661866,0.658666,0.658635,0.658635,0.658635,0.003948,-0.003200,-0.000031,0.000000,0.000000,0.000716,-0.000000,0.000000,0.001000,-0.000000,-0.004200,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006851,budget,0.003200
-5000,8,South dusmarlingrad Tribe,301725,0.998700,0.547600,0.788200,0.006200,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998729,0.998697,0.000000,-0.001271,-0.000032,-0.001303,0.000000,0.000000,0.000000,0.004466,0.000000,-0.001271,-0.000032,0.000000,0.006596,1,control,0.001271,0.544536,0.548754,0.547636,0.547607,0.547607,0.547607,0.004218,-0.001118,-0.000029,0.000000,0.000000,0.003071,-0.000000,0.000000,0.001000,-0.000000,-0.002118,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006596,budget,0.001118
-5000,9,Garloria Tribe,297255,0.997100,0.589900,0.529000,0.009800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.997174,0.997137,0.000000,-0.002826,-0.000037,-0.002863,0.000000,0.000000,0.000000,0.004391,0.000000,-0.002826,-0.000037,0.000000,0.007015,1,control,0.002826,0.590099,0.593632,0.589922,0.589889,0.589889,0.589889,0.003533,-0.003710,-0.000033,0.000000,0.000000,-0.000210,-0.000000,0.000000,0.001000,-0.000000,-0.004710,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.007015,budget,0.003710
