year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,99,55,0,0,0,0,17456825.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998249,0.997960,0.611325,0.569640,60:0.988;80:0.988;0:0.989;40:0.989;20:0.989,62:0.556;65:0.557;46:0.560;6:0.560;44:0.562
-4950,100,93,0,5,0,0,23157958.000000,0.000000,499551.000000,0.000000,0.000000,0.000000,0.021571,0.000000,0.000000,0.980770,0.979010,0.942371,0.873390,100:0.421;64:0.701;49:0.756;78:0.810;45:0.812,64:0.292;100:0.344;55:0.369;46:0.394;78:0.397
-4900,106,93,0,5,0,0,26740733.000000,0.000000,188397.000000,0.000000,0.000000,0.000000,0.007045,0.000000,0.000000,0.947721,0.762150,0.920608,0.545650,64:0.406;106:0.459;101:0.480;78:0.482;46:0.488,101:0.250;64:0.280;46:0.293;78:0.333;106:0.348
-4850,106,100,2,3,2,1,30256687.000000,85062.000000,94731.000000,85062.000000,43615.000000,0.002811,0.003131,0.002811,0.001441,0.960979,0.931850,0.950575,0.898600,64:0.159;46:0.384;78:0.404;101:0.495;45:0.562,64:0.104;102:0.378;46:0.397;45:0.429;101:0.453
-4800,106,101,4,2,2,1,34160267.000000,258335.000000,196609.000000,196609.000000,41464.000000,0.007562,0.005755,0.005755,0.001214,0.964870,0.952550,0.960442,0.903950,64:0.079;45:0.301;78:0.341;46:0.395;101:0.663,64:0.063;45:0.286;101:0.458;78:0.461;46:0.566
-4750,106,102,3,2,2,1,38522862.000000,209512.000000,189317.000000,189317.000000,39340.000000,0.005439,0.004914,0.004914,0.001021,0.966843,0.970450,0.967534,0.941850,64:0.086;45:0.248;78:0.361;46:0.421;101:0.759,64:0.093;45:0.278;78:0.508;46:0.762;102:0.777
-4700,106,102,4,3,3,1,43326146.000000,243268.000000,206546.000000,206546.000000,39838.000000,0.005615,0.004767,0.004767,0.000919,0.966225,0.960400,0.964971,0.908100,64:0.073;45:0.254;78:0.280;46:0.358;77:0.932,64:0.053;45:0.317;78:0.381;46:0.692;31:0.890
-4650,106,102,4,3,3,1,48629205.000000,247323.000000,207787.000000,207787.000000,40178.000000,0.005086,0.004273,0.004273,0.000826,0.969234,0.990050,0.967402,0.932000,64:0.197;45:0.216;78:0.280;46:0.387;18:0.923,64:0.227;45:0.258;78:0.360;102:0.849;46:0.857
-4600,106,102,3,1,1,1,54180258.000000,210172.000000,148547.000000,148547.000000,148547.000000,0.003879,0.002742,0.002742,0.002742,0.974221,0.999250,0.979687,0.985650,45:0.152;64:0.343;78:0.361;46:0.455;8:0.978,45:0.174;64:0.480;78:0.565;18:0.912;42:0.947
-4550,106,104,2,1,1,1,59943364.000000,187518.000000,144254.000000,144254.000000,144254.000000,0.003128,0.002407,0.002407,0.002407,0.976033,0.999000,0.980638,0.977350,45:0.133;64:0.348;78:0.619;46:0.657;49:0.929,45:0.132;64:0.511;37:0.903;49:0.904;4:0.910
