year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,26229208.000000,0.000000,0.994586,0.000207,0.008556,0.000000,0.001352,0.027723,0.280136,0.280145,0.669030,0.616445,0.033261,0.013188,0.118681,0.105313,0.038423|0.346186|0.410817|0.113386|0.073338|0.017872,0.318594,0.336646,0.091088,0.108785,1.000000,1.000000,0.891215,301377.000000,307040.000000,0.023964,639.000000,1136.000000,0.018017,0.792100,0.657500,0,0.000000,0.000000,0.000000,1,0,0.000000,0,0,1,0.231261,0.789330,0.733974,0.768740,181615.927207,243175.484758,1407283.649487,0.000000,0.000000,0.000000,521058.160964
-4950,34117603.000000,0.002818,0.945941,0.001431,0.008621,0.000000,0.001528,0.023548,0.289354,0.290428,0.881190,0.727825,0.054059,0.012779,0.148337,0.131768,0.025812|0.351196|0.424750|0.118178|0.067283|0.017945,0.246693,0.451200,0.102316,0.129464,0.804891,1.000000,0.870537,333949.500000,581267.200000,0.027448,614.000000,1131.500000,0.017956,0.981800,0.779390,0,165.318787,0.000014,0.927475,48,0,0.000922,14,0,18,0.279718,0.588752,0.827183,0.720282,703.891740,40336.913352,260362.196060,0.000000,0.000000,0.000000,29112345.671409
-4900,38626692.000000,0.002121,0.949797,0.001636,0.008527,0.000000,0.001598,0.024273,0.299608,0.302658,0.882923,0.658060,0.050203,0.012714,0.160357,0.137610,0.023733|0.353438|0.425197|0.118797|0.065711|0.017977,0.232370,0.492928,0.105485,0.132840,0.832061,1.000000,0.867160,356948.000000,714099.200000,0.031703,501.000000,1098.800000,0.018002,0.982500,0.870100,0,2045.457031,0.000131,0.300114,66,0,0.000970,48,0,17,0.285389,0.589056,0.829869,0.714611,736.300597,39392.082365,245621.879323,0.000000,0.000000,0.000000,64892911.210550
-4850,43447725.000000,0.002089,0.961181,0.001094,0.008365,0.000000,0.000978,0.024355,0.310061,0.315617,0.884188,0.669791,0.038819,0.012634,0.168108,0.137722,0.022650|0.354293|0.425685|0.118288|0.064829|0.017962,0.238295,0.506341,0.105718,0.137028,0.853383,1.000000,0.862972,367569.000000,803430.600000,0.034979,500.000000,1083.600000,0.017908,0.984600,0.871610,0,2756.151367,0.000159,0.375716,68,1,0.000843,16,0,17,0.289398,0.591817,0.832943,0.710602,1281.210632,28177.309005,177887.652477,0.000000,0.000000,0.000000,103003530.725000
-4800,48667871.000000,0.002068,0.980966,0.000480,0.008390,0.000000,0.000681,0.024893,0.320619,0.329107,0.888100,0.763442,0.019034,0.012575,0.173950,0.128567,0.021799|0.355217|0.425064|0.118515|0.064163|0.017938,0.245089,0.513555,0.110543,0.140140,0.914163,1.000000,0.859860,364581.000000,913176.000000,0.037139,500.000000,1083.000000,0.017802,0.988600,0.931700,0,3524.466064,0.000174,0.346015,87,0,0.000463,6,0,16,0.293909,0.602247,0.835330,0.706091,1894.502569,31339.924011,191525.508886,0.000000,0.000000,0.000000,145438331.796439
-4750,54478710.000000,0.002065,0.984178,0.000423,0.008500,0.000000,0.000000,0.025270,0.332452,0.343403,0.891015,0.831412,0.015822,0.012527,0.178949,0.116322,0.021115|0.357965|0.422709|0.118689|0.063677|0.017913,0.241997,0.527010,0.113928,0.142675,0.948897,1.000000,0.857325,373496.000000,1011529.200000,0.039499,500.000000,1081.100000,0.017686,0.990800,0.958640,0,4497.473145,0.000191,0.238409,95,0,0.000431,1,0,4,0.297778,0.605903,0.837735,0.702222,1946.196114,29984.675230,183396.354391,0.000000,0.000000,0.000000,192384046.366470
-4700,60868851.000000,0.002055,0.981441,0.000531,0.008465,0.000000,0.000822,0.025442,0.344068,0.358188,0.890437,0.857668,0.018559,0.012480,0.184341,0.106718,0.020330|0.359562|0.421013|0.119307|0.063932|0.017897,0.246899,0.531209,0.116441,0.145186,0.911307,1.000000,0.854814,373172.000000,1142669.400000,0.041588,500.000000,1079.200000,0.017589,0.989300,0.959340,0,2658.303223,0.000143,0.235489,97,0,0.000565,13,0,9,0.300265,0.604765,0.839113,0.699735,2263.448911,29317.221769,175106.180695,0.000000,0.000000,0.000000,243146563.315300
-4650,68247176.000000,0.002291,0.980061,0.000479,0.008307,0.000000,0.000910,0.025762,0.355882,0.373352,0.891013,0.867290,0.019939,0.012424,0.188441,0.100427,0.020037|0.361126|0.419579|0.119969|0.063113|0.017879,0.249433,0.536529,0.118075,0.148199,0.926000,1.000000,0.851801,393605.000000,1303933.400000,0.043311,501.000000,1079.200000,0.017516,0.989500,0.962720,0,2985.845703,0.000091,0.206860,95,0,0.000680,0,0,5,0.305837,0.604932,0.839497,0.694163,2312.212537,25981.452536,149023.281956,0.000000,0.000000,0.000000,296239787.403940
-4600,75964856.000000,0.002145,0.985304,0.000303,0.008284,0.000000,0.001134,0.026061,0.368302,0.389165,0.889927,0.861752,0.014696,0.012383,0.192316,0.095765,0.019862|0.360153|0.421946|0.121222|0.060447|0.017868,0.248188,0.547697,0.121273,0.150415,0.941107,1.000000,0.849585,418247.000000,1510292.400000,0.046991,501.000000,1079.200000,0.017454,0.989900,0.961860,0,3141.792236,0.000073,0.186022,112,0,0.000558,0,0,13,0.306349,0.612388,0.840084,0.693650,3655.180645,29560.523080,171043.141909,0.000000,0.000000,0.000000,352541171.911086
-4550,83893481.000000,0.001988,0.993315,0.000096,0.008423,0.000000,0.001121,0.026645,0.381771,0.405419,0.890368,0.872058,0.006685,0.012347,0.196304,0.093462,0.019633|0.357941|0.426565|0.123395|0.056014|0.017865,0.250334,0.556897,0.123655,0.152335,0.997687,1.000000,0.847665,448236.000000,1668371.200000,0.048918,501.000000,1079.200000,0.017400,0.990000,0.964140,0,3647.822754,0.000071,0.159914,125,0,0.000280,0,0,14,0.309070,0.634232,0.841146,0.690930,6212.647802,30227.759578,176696.984366,0.000000,0.000000,0.000000,411433078.083869
