year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,95,54,0,0,0,0,18497894.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998339,0.998000,0.613494,0.568940,60:0.989;80:0.989;40:0.989;0:0.989;30:0.997,43:0.558;84:0.559;88:0.560;63:0.562;66:0.564
-4950,95,91,0,3,0,1,24577803.000000,0.000000,232672.000000,0.000000,69575.000000,0.000000,0.009467,0.000000,0.002831,0.985532,0.997940,0.958864,0.935600,45:0.405;64:0.703;50:0.746;4:0.875;26:0.971,45:0.010;64:0.319;50:0.338;4:0.558;97:0.670
-4900,98,92,1,4,1,1,28225469.000000,75610.000000,149329.000000,75610.000000,75610.000000,0.002679,0.005291,0.002679,0.002679,0.959402,0.960810,0.948858,0.920670,45:0.167;64:0.409;102:0.417;101:0.466;100:0.620,45:0.035;64:0.264;101:0.305;102:0.381;50:0.432
-4850,101,96,2,2,2,1,31935507.000000,115997.000000,115997.000000,115997.000000,76326.000000,0.003632,0.003632,0.003632,0.002390,0.957394,0.958900,0.953503,0.914800,45:0.138;64:0.232;105:0.566;102:0.590;50:0.607,45:0.119;64:0.230;101:0.501;105:0.530;50:0.601
-4800,101,98,2,2,2,1,35725753.000000,109104.000000,109104.000000,109104.000000,72876.000000,0.003054,0.003054,0.003054,0.002040,0.968053,0.978700,0.974376,0.999000,45:0.005;64:0.290;50:0.501;105:0.619;97:0.780,45:0.008;64:0.361;50:0.666;101:0.804;105:0.851
-4750,101,99,2,1,1,1,39996895.000000,107785.000000,70991.000000,70991.000000,70991.000000,0.002695,0.001775,0.001775,0.001775,0.973612,0.984800,0.977217,0.949800,45:0.029;64:0.301;50:0.640;97:0.765;105:0.879,45:0.017;64:0.464;21:0.890;35:0.901;2:0.902
-4700,101,99,2,1,1,1,44811132.000000,99966.000000,64013.000000,64013.000000,64013.000000,0.002231,0.001429,0.001429,0.001429,0.975343,0.981200,0.975954,0.927200,45:0.006;64:0.357;97:0.746;50:0.778;28:0.894,45:0.009;64:0.615;50:0.883;23:0.894;28:0.897
-4650,102,99,1,1,1,1,50148453.000000,70686.000000,70686.000000,70686.000000,70686.000000,0.001410,0.001410,0.001410,0.001410,0.976233,0.971660,0.977721,0.951220,45:0.014;64:0.477;50:0.723;106:0.743;63:0.932,45:0.016;106:0.591;64:0.842;63:0.892;40:0.919
-4600,102,100,1,1,1,1,56099290.000000,71144.000000,71144.000000,71144.000000,71144.000000,0.001268,0.001268,0.001268,0.001268,0.982790,0.998390,0.985409,0.996140,45:0.123;64:0.513;30:0.916;20:0.938;77:0.942,45:0.172;30:0.888;77:0.890;37:0.928;65:0.929
-4550,102,101,1,1,1,1,61733104.000000,71009.000000,71009.000000,71009.000000,71009.000000,0.001150,0.001150,0.001150,0.001150,0.983003,0.980690,0.984629,0.989960,45:0.059;64:0.675;50:0.919;3:0.930;4:0.938,45:0.086;3:0.888;50:0.904;35:0.904;63:0.926
-4500,102,101,1,1,1,1,67654039.000000,70019.000000,70019.000000,70019.000000,70019.000000,0.001035,0.001035,0.001035,0.001035,0.985523,0.997420,0.981769,0.959900,45:0.014;99:0.921;64:0.929;84:0.930;16:0.932,45:0.024;84:0.888;16:0.891;99:0.895;33:0.923
-4450,102,101,1,1,1,1,73358396.000000,67850.000000,67850.000000,67850.000000,67850.000000,0.000925,0.000925,0.000925,0.000925,0.985595,0.981650,0.981748,0.955150,45:0.011;9:0.931;50:0.944;74:0.945;97:0.945,45:0.016;27:0.901;9:0.908;74:0.908;12:0.911
-4400,102,101,1,1,1,1,79393480.000000,63596.000000,63596.000000,63596.000000,63596.000000,0.000801,0.000801,0.000801,0.000801,0.984852,0.977280,0.979033,0.948360,45:0.028;50:0.897;97:0.925;99:0.934;4:0.934,45:0.033;99:0.894;97:0.903;29:0.904;27:0.906
