year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,18497894.000000,0.000000,0.999741,0.000011,0.008559,0.000000,0.002799,0.029273,0.280124,0.280144,0.681361,0.639547,0.026573,0.001567,0.089980,0.081499,0.036378|0.383981|0.370464|0.115458|0.075914|0.017857,0.374738,0.303780,0.089486,0.114577,1.000000,1.000000,0.885423,174972.000000,304198.200000,0.032775,373.000000,1021.400000,0.026852,0.813500,0.701280,0,0.000000,0.000000,0.000000,0,0,0.000000,0,0,0,0.243240,0.816751,0.740911,0.756760,129578.165197,155332.350569,908547.973585,0.000000,0.000000,0.000000,282988.197541
-4950,24577803.000000,0.002925,0.965223,0.001163,0.008609,0.000000,0.000525,0.024079,0.288575,0.290272,0.885304,0.835452,0.034777,0.001520,0.121770,0.106268,0.027153|0.396273|0.371015|0.119326|0.078321|0.017857,0.285720,0.397712,0.105859,0.134477,0.863564,1.000000,0.865523,206950.000000,441292.000000,0.045718,376.000000,1021.400000,0.026472,0.987900,0.923960,0,0.000000,0.000000,0.000000,32,0,0.000427,0,0,12,0.287479,0.589248,0.829730,0.712522,505.020942,15862.609982,91767.464484,0.000000,0.000000,0.000000,16297526.173599
-4900,28225469.000000,0.002193,0.957387,0.001252,0.008511,0.000000,0.002664,0.024259,0.298044,0.302001,0.887694,0.852986,0.042613,0.001515,0.133565,0.110649,0.025137|0.395289|0.371330|0.118656|0.079098|0.017857,0.251291,0.440722,0.108244,0.136821,0.822822,1.000000,0.863179,248360.000000,532929.600000,0.044627,354.500000,1009.700000,0.026075,0.987950,0.926740,0,277.403625,0.000022,0.765243,44,0,0.000601,18,0,14,0.289712,0.590876,0.832895,0.710287,705.032840,17344.938134,100846.101015,0.000000,0.000000,0.000000,37925530.065163
-4850,31935507.000000,0.002118,0.972813,0.000499,0.008342,0.000000,0.000949,0.024418,0.308647,0.314245,0.889618,0.821514,0.027187,0.001506,0.141429,0.110425,0.023888|0.395614|0.370489|0.118947|0.079266|0.017857,0.238428,0.463673,0.110765,0.140845,0.887844,1.000000,0.859155,271012.000000,601511.000000,0.040471,376.000000,960.000000,0.025551,0.990600,0.958900,0,3132.126221,0.000188,0.382770,38,0,0.000434,19,0,12,0.297359,0.593952,0.834622,0.702641,901.912825,16571.396206,94328.795229,0.000000,0.000000,0.000000,70597048.921787
-4800,35725753.000000,0.002061,0.979682,0.000653,0.008377,0.000000,0.000699,0.024702,0.319013,0.327000,0.891852,0.875801,0.020318,0.001501,0.148000,0.101943,0.022775|0.394352|0.372945|0.118724|0.078525|0.017857,0.236377,0.481312,0.113672,0.142876,0.890251,1.000000,0.857124,290305.000000,719713.000000,0.041385,394.000000,960.000000,0.025164,0.992000,0.977200,0,3820.256348,0.000187,0.357749,69,0,0.000363,0,0,8,0.300521,0.606706,0.838581,0.699479,1276.457982,17761.892903,104369.994125,0.000000,0.000000,0.000000,94055115.571030
-4750,39996895.000000,0.002065,0.985954,0.000382,0.008478,0.000000,0.000789,0.024978,0.329876,0.340617,0.892832,0.878552,0.014046,0.001498,0.152831,0.090822,0.022053|0.392042|0.374249|0.119584|0.078805|0.017857,0.240939,0.489389,0.116063,0.144566,0.923945,1.000000,0.855434,320401.000000,830023.000000,0.041729,408.000000,960.000000,0.024874,0.992900,0.974500,0,4223.473633,0.000174,0.330675,62,0,0.000281,0,0,15,0.303412,0.612083,0.839498,0.696589,1680.762745,27326.046153,166139.779736,0.000000,0.000000,0.000000,119801645.553886
-4700,44811132.000000,0.002069,0.983661,0.000362,0.008445,0.000000,0.000902,0.025295,0.342096,0.354744,0.892322,0.877538,0.016339,0.001491,0.157549,0.082847,0.021362|0.390487|0.375135|0.120893|0.078316|0.017857,0.246259,0.495200,0.117521,0.147387,0.929280,1.000000,0.852613,359381.000000,949833.000000,0.048804,412.000000,960.000000,0.024604,0.993200,0.977100,0,4641.896973,0.000166,0.262112,68,0,0.000366,0,0,10,0.310350,0.602867,0.840103,0.689650,1468.029236,30333.071836,177960.927206,0.000000,0.000000,0.000000,148067572.964718
-4650,50148453.000000,0.002253,0.983834,0.000418,0.008288,0.000000,0.000925,0.025602,0.353214,0.369025,0.891571,0.877254,0.016166,0.001485,0.165749,0.080881,0.020799|0.387500|0.378618|0.122454|0.076467|0.017857,0.250894,0.503100,0.118750,0.150131,0.931315,1.000000,0.849869,379055.000000,1096744.900000,0.058295,398.500000,955.600000,0.024368,0.993050,0.977740,0,5028.034180,0.000156,0.153448,74,0,0.000405,4,0,14,0.313522,0.610412,0.841254,0.686478,1793.349165,33532.623108,198258.736996,0.000000,0.000000,0.000000,179068721.342350
-4600,56099290.000000,0.002245,0.985710,0.000478,0.008257,0.000000,0.001098,0.026092,0.364437,0.383543,0.893612,0.880785,0.014290,0.001479,0.171141,0.079140,0.020418|0.385068|0.379352|0.124489|0.076004|0.017857,0.252423,0.510415,0.120492,0.152890,0.938254,1.000000,0.847110,388630.500000,1211697.800000,0.072811,422.500000,955.600000,0.024151,0.993650,0.979660,0,5038.833984,0.000139,0.145901,82,0,0.000401,0,0,7,0.316056,0.617521,0.842344,0.683944,2913.562545,39641.357755,233981.294065,0.000000,0.000000,0.000000,212965024.621719
-4550,61733104.000000,0.001916,0.995992,0.000106,0.008407,0.000000,0.001242,0.026489,0.376724,0.398284,0.893363,0.878843,0.004008,0.001477,0.176365,0.079027,0.020072|0.377221|0.384105|0.128087|0.075510|0.017857,0.254842,0.520748,0.121864,0.153961,1.000000,1.000000,0.846039,438116.500000,1303607.100000,0.073759,422.500000,955.600000,0.023969,0.993700,0.981310,0,5209.555176,0.000132,0.145962,107,0,0.000124,0,0,11,0.318756,0.639711,0.842649,0.681244,4704.325249,29790.048667,177435.985690,0.000000,0.000000,0.000000,249113858.622401
