year,live_countries,stable_countries,low_stability_countries,low_legitimacy_countries,low_both_countries,critical_countries,pop_total,pop_low_stability,pop_low_legitimacy,pop_low_both,pop_critical,pop_low_stability_share,pop_low_legitimacy_share,pop_low_both_share,pop_critical_share,stability_mean,stability_p10,legitimacy_mean,legitimacy_p10,worst_stability_ids,worst_legitimacy_ids
-5000,95,67,0,0,0,0,29669005.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998124,0.997700,0.621542,0.580980,0:0.988;60:0.988;20:0.989;40:0.989;13:0.997,47:0.562;73:0.563;3:0.564;12:0.564;69:0.567
-4950,98,91,2,6,2,2,38617833.000000,19477.000000,347049.000000,19477.000000,104239.000000,0.000504,0.008987,0.000504,0.002699,0.957458,0.936820,0.927781,0.765900,102:0.367;101:0.387;64:0.405;62:0.461;100:0.463,64:0.156;13:0.177;62:0.203;100:0.275;102:0.287
-4900,104,93,4,6,3,1,44405022.000000,192842.000000,621404.000000,162382.000000,64475.000000,0.004343,0.013994,0.003657,0.001452,0.924667,0.689690,0.915004,0.550660,64:0.087;62:0.260;13:0.323;101:0.331;107:0.405,64:0.010;101:0.210;62:0.232;107:0.325;108:0.334
-4850,109,100,3,3,3,3,50017648.000000,125654.000000,125654.000000,125654.000000,125654.000000,0.002512,0.002512,0.002512,0.002512,0.946379,0.895940,0.957500,0.952500,64:0.119;101:0.232;113:0.383;62:0.451;107:0.469,113:0.055;64:0.099;101:0.157;107:0.565;111:0.667
-4800,109,105,4,2,2,2,56291219.000000,140268.000000,79625.000000,79625.000000,79625.000000,0.002492,0.001415,0.001415,0.001415,0.953623,0.929160,0.968748,0.931940,64:0.130;101:0.176;113:0.340;107:0.370;111:0.622,64:0.138;101:0.207;113:0.411;107:0.743;47:0.883
-4750,109,106,2,2,2,1,63127320.000000,77488.000000,77488.000000,77488.000000,11948.000000,0.001227,0.001227,0.001227,0.000189,0.970764,0.961900,0.975918,0.955280,101:0.178;64:0.229;113:0.502;62:0.795;107:0.817,101:0.251;64:0.301;113:0.560;62:0.900;21:0.905
-4700,110,108,2,2,2,0,69928668.000000,65775.000000,65775.000000,65775.000000,0.000000,0.000941,0.000941,0.000941,0.000000,0.979054,0.986830,0.978502,0.968870,101:0.209;64:0.267;114:0.730;48:0.888;113:0.913,64:0.312;101:0.359;114:0.602;113:0.867;39:0.905
-4650,110,108,2,0,0,0,78270077.000000,62545.000000,0.000000,0.000000,0.000000,0.000799,0.000000,0.000000,0.000000,0.981075,0.971240,0.982802,0.973130,101:0.256;64:0.264;49:0.922;12:0.930;23:0.932,101:0.448;64:0.453;12:0.889;23:0.893;98:0.895
-4600,110,108,1,0,0,0,86445636.000000,7128.000000,0.000000,0.000000,0.000000,0.000082,0.000000,0.000000,0.000000,0.985414,0.998440,0.992311,0.997110,101:0.344;64:0.408;33:0.916;48:0.941;32:0.947,101:0.832;64:0.836;33:0.889;32:0.900;108:0.919
-4550,110,108,1,0,0,0,94594313.000000,5185.000000,0.000000,0.000000,0.000000,0.000055,0.000000,0.000000,0.000000,0.986305,0.999180,0.995948,0.999400,101:0.395;64:0.463;80:0.926;36:0.935;45:0.937,80:0.884;36:0.923;114:0.927;109:0.927;45:0.943
-4500,110,108,0,0,0,0,103371313.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.988254,0.999290,0.995345,0.999290,64:0.501;101:0.529;47:0.929;4:0.930;62:0.936,68:0.907;4:0.909;47:0.923;0:0.932;57:0.950
-4450,110,109,0,0,0,0,112054576.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985996,0.966120,0.990762,0.948830,101:0.551;64:0.675;89:0.913;111:0.918;78:0.928,89:0.885;91:0.893;29:0.893;72:0.902;87:0.909
-4400,110,110,0,0,0,0,121459715.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993052,0.994060,0.994446,0.988250,101:0.733;64:0.872;62:0.938;97:0.947;78:0.951,97:0.914;44:0.920;18:0.932;107:0.935;108:0.943
-4350,110,110,0,0,0,0,129904203.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.992649,0.979620,0.989957,0.959930,64:0.879;48:0.912;107:0.916;101:0.921;89:0.922,107:0.873;81:0.884;80:0.892;34:0.909;29:0.911
-4300,110,110,0,0,0,0,138725584.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994844,0.990900,0.992223,0.991390,47:0.926;20:0.930;104:0.934;89:0.935;31:0.946,104:0.882;31:0.884;20:0.889;15:0.909;91:0.909
-4250,110,110,0,0,0,0,149741582.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.994210,0.989500,0.992687,0.978640,78:0.887;89:0.931;91:0.932;47:0.940;64:0.947,91:0.892;106:0.896;82:0.899;15:0.919;29:0.920
-4200,110,110,0,0,0,0,161783455.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993513,0.966110,0.990220,0.942470,89:0.912;48:0.925;96:0.929;32:0.938;66:0.940,96:0.888;32:0.889;89:0.896;0:0.902;66:0.904
