year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,0,South dusbelgrad Tribe,302864,0.988700,0.612700,0.787700,0.005700,0,0,stable,0,0,0,1,1.000000,1.000000,0.998726,0.998694,0.000000,-0.001274,-0.000032,-0.001306,0.000000,0.000000,0.000000,0.004585,0.000000,-0.001274,-0.000032,0.000000,0.006550,1,control,0.001274,0.589473,0.593817,0.592694,0.592665,0.612665,0.612665,0.004344,-0.001123,-0.000029,0.020000,0.000000,0.023192,-0.000000,0.000000,0.001000,-0.000000,-0.002123,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006550,budget,0.001123
-5000,1,New romquiland Tribe,305874,0.998700,0.651500,0.792500,0.005000,0,0,stable,0,0,0,1,1.000000,1.000000,0.998755,0.998724,0.000000,-0.001245,-0.000031,-0.001276,0.000000,0.000000,0.000000,0.004667,0.000000,-0.001245,-0.000031,0.000000,0.006485,1,control,0.001245,0.648400,0.652629,0.651554,0.651526,0.651526,0.651526,0.004229,-0.001075,-0.000028,0.000000,0.000000,0.003126,-0.000000,0.000000,0.001000,-0.000000,-0.002075,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006485,budget,0.001075
-5000,2,New zenlingrad Tribe,200488,0.999100,0.562300,0.860900,0.004600,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999165,0.999134,0.000000,-0.000835,-0.000031,-0.000866,0.000000,0.000000,0.000000,0.004548,0.000000,-0.000835,-0.000031,0.000000,0.006464,1,control,0.000835,0.558546,0.562750,0.562359,0.562331,0.562331,0.562331,0.004204,-0.000391,-0.000028,0.000000,0.000000,0.003784,-0.000000,0.000000,0.001000,-0.000000,-0.001391,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006464,budget,0.000391
-5000,3,Great quiviamaria Tribe,21290,0.999200,0.656500,0.865600,0.003500,0,0,stable,0,0,0,1,1.000000,1.000000,0.999194,0.999163,0.000000,-0.000806,-0.000031,-0.000837,0.000000,0.000000,0.000000,0.004636,0.000000,-0.000806,-0.000031,0.000000,0.006506,1,control,0.000806,0.652513,0.656877,0.656533,0.656505,0.656505,0.656505,0.004365,-0.000344,-0.000028,0.000000,0.000000,0.003993,-0.000000,0.000000,0.001000,-0.000000,-0.001344,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006506,budget,0.000344
-5000,4,New beldusia Tribe,74820,0.997900,0.592700,0.663100,0.008400,0,0,mixed,0,0,0,0,1.000000,1.000000,0.997979,0.997944,0.000000,-0.002021,-0.000034,-0.002056,0.000000,0.000000,0.000000,0.004509,0.000000,-0.002021,-0.000034,0.000000,0.006761,1,control,0.002021,0.591659,0.595054,0.592685,0.592655,0.592655,0.592655,0.003395,-0.002369,-0.000031,0.000000,0.000000,0.000995,-0.000000,0.000000,0.001000,-0.000000,-0.003369,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006761,budget,0.002369
-5000,5,Old zenviaranstan Tribe,66407,0.998800,0.603800,0.808400,0.005200,0,0,stable,0,0,0,1,1.000000,1.000000,0.998851,0.998819,0.000000,-0.001149,-0.000032,-0.001181,0.000000,0.000000,0.000000,0.004611,0.000000,-0.001149,-0.000032,0.000000,0.006506,1,control,0.001149,0.600195,0.604725,0.603809,0.603781,0.603781,0.603781,0.004529,-0.000916,-0.000028,0.000000,0.000000,0.003585,-0.000000,0.000000,0.001000,-0.000000,-0.001916,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006506,budget,0.000916
-5000,6,New solmarkin Tribe,261745,0.998300,0.591800,0.716300,0.007300,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998298,0.998265,0.000000,-0.001702,-0.000033,-0.001735,0.000000,0.000000,0.000000,0.004516,0.000000,-0.001702,-0.000033,0.000000,0.006673,1,control,0.001702,0.590010,0.593688,0.591851,0.591821,0.591821,0.591821,0.003677,-0.001837,-0.000030,0.000000,0.000000,0.001811,-0.000000,0.000000,0.001000,-0.000000,-0.002837,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006673,budget,0.001837
-5000,7,Great bellorbelia Tribe,118516,0.998900,0.564300,0.825000,0.005200,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998950,0.998919,0.000000,-0.001050,-0.000032,-0.001081,0.000000,0.000000,0.000000,0.004624,0.000000,-0.001050,-0.000032,0.000000,0.006523,1,control,0.001050,0.559992,0.565109,0.564360,0.564331,0.564331,0.564331,0.005117,-0.000750,-0.000029,0.000000,0.000000,0.004339,-0.000000,0.000000,0.001000,-0.000000,-0.001750,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006523,budget,0.000750
-5000,8,Nasoldusia Tribe,219620,0.997000,0.657400,0.504400,0.009100,0,0,stable,0,0,0,1,1.000000,1.000000,0.997026,0.996990,0.000000,-0.002974,-0.000036,-0.003010,0.000000,0.000000,0.000000,0.004440,0.000000,-0.002974,-0.000036,0.000000,0.007000,1,control,0.002974,0.656124,0.661345,0.657389,0.657357,0.657357,0.657357,0.005221,-0.003956,-0.000032,0.000000,0.000000,0.001233,-0.000000,0.000000,0.001000,-0.000000,-0.004956,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.007000,budget,0.003956
-5000,9,North sollorterstan Tribe,114968,0.999100,0.555400,0.855000,0.004800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999130,0.999099,0.000000,-0.000870,-0.000031,-0.000901,0.000000,0.000000,0.000000,0.004640,0.000000,-0.000870,-0.000031,0.000000,0.006481,1,control,0.000870,0.551822,0.555913,0.555464,0.555436,0.555436,0.555436,0.004092,-0.000450,-0.000028,0.000000,0.000000,0.003614,-0.000000,0.000000,0.001000,-0.000000,-0.001450,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006481,budget,0.000450
