year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,15697965.000000,0.000000,0.997343,0.000122,0.000010,0.000000,0.001371,0.024892,0.000003,0.000004,0.700931,0.637734,0.040401,0.048470,0.096158,0.088576,0.079569|0.251567|0.509352|0.095769|0.063765|0.000000,0.202811,0.232497,0.107768,0.122306,1.000000,1.000000,0.877694,127094.000000,303078.400000,0.036391,360.000000,1096.800000,0.023959,0.799800,0.640740,0,0.000000,0.000000,0.000000,2,0,0,0,0,0,0.251143,0.746786,0.487636,0.748857,3546.762782,129756.200631,156312.573062,0.000000,0.000000,0.000000,256957.645892
-4950,19024941.000000,0.003852,0.958746,0.001054,0.000006,0.000000,0.000000,0.027770,0.000173,0.000241,0.811049,0.442654,0.051960,0.264547,0.155527,0.127050,0.037387|0.253356|0.561587|0.105228|0.071319|0.000000,0.198627,0.366755,0.097355,0.127897,0.835438,1.000000,0.872103,122410.000000,431276.900000,0.044892,358.500000,1032.900000,0.023834,0.969950,0.628660,0,282.376495,0.000036,0.629773,50,0,0,24,0,32,0.289809,0.362254,0.534304,0.710191,1275.178059,1537.362238,26353.349147,0.000000,0.000000,0.000000,15300510.680539
-4900,21548868.000000,0.002495,0.963571,0.000892,0.000006,0.000000,0.000000,0.027621,0.000294,0.000510,0.691915,0.336224,0.026064,0.230204,0.175747,0.137722,0.028400|0.242726|0.575711|0.100222|0.073049|0.000000,0.191470,0.429796,0.097943,0.129290,0.851888,1.000000,0.870710,119919.000000,507742.400000,0.041146,328.000000,921.400000,0.023777,0.906200,0.598840,0,1392.310913,0.000146,0.434416,32,0,0,14,0,11,0.286137,0.358698,0.491157,0.713863,1517.652439,9011.504718,37047.988693,0.000000,0.000000,0.000000,29878168.298783
-4850,24090482.000000,0.002232,0.967693,0.000746,0.000006,0.000002,0.000000,0.028748,0.000384,0.000830,0.675160,0.322900,0.020370,0.252546,0.190350,0.141260,0.021631|0.243154|0.585185|0.089852|0.075413|0.000000,0.190742,0.473282,0.100669,0.131215,0.878842,1.000000,0.868785,109423.000000,598642.200000,0.041673,316.000000,920.400000,0.023771,0.884900,0.628330,0,1747.998291,0.000178,0.385211,39,0,1,11,0,9,0.275806,0.340510,0.489735,0.724194,1657.169907,22885.460882,54324.087117,0.000000,0.000000,0.000000,45356353.383178
-4800,26675783.000000,0.002041,0.965491,0.001032,0.000006,0.000002,0.000000,0.029351,0.000351,0.001112,0.515088,0.345539,0.026500,0.298941,0.206414,0.139351,0.017717|0.246172|0.588441|0.083864|0.078940|0.000000,0.196780,0.497068,0.101220,0.127000,0.890209,1.000000,0.873000,88717.000000,687529.200000,0.045564,283.500000,878.200000,0.023376,0.867100,0.605350,0,1224.130249,0.000187,0.519406,77,0,1,56,0,13,0.271038,0.342952,0.439357,0.728962,1608.827915,15749.539702,49448.797186,0.000000,0.000000,0.000000,69887573.094404
-4750,29108970.000000,0.001747,0.969766,0.001086,0.000005,0.000000,0.000000,0.030211,0.000412,0.001453,0.460585,0.342318,0.025688,0.363179,0.222815,0.134689,0.015185|0.247467|0.588717|0.080678|0.084010|0.000000,0.204366,0.509638,0.103159,0.127848,0.887328,1.000000,0.872152,81222.000000,797803.800000,0.046896,273.000000,830.200000,0.023376,0.856700,0.616960,0,2072.791748,0.000182,0.540738,73,0,0,16,0,15,0.275591,0.317967,0.417346,0.724409,1627.722787,17608.011583,54805.410326,0.000000,0.000000,0.000000,91341895.850843
-4700,31800298.000000,0.001770,0.964299,0.001593,0.000005,0.000000,0.005064,0.030894,0.000469,0.001803,0.460341,0.355004,0.028052,0.384838,0.233880,0.129072,0.013371|0.244341|0.586941|0.079878|0.088800|0.000000,0.209874,0.521416,0.107315,0.131237,0.869606,1.000000,0.868764,73923.500000,900268.000000,0.048592,271.000000,763.200000,0.023368,0.857750,0.622230,0,4291.837891,0.000383,0.519018,129,0,0,22,0,8,0.275358,0.318693,0.415806,0.724642,1802.344467,19246.417893,58777.235468,0.000000,0.000000,0.000000,111044948.975652
-4650,34294901.000000,0.001512,0.966614,0.001204,0.000005,0.000000,0.004686,0.032385,0.000546,0.002129,0.449327,0.355248,0.026653,0.388288,0.243035,0.123905,0.011827|0.244670|0.585135|0.078699|0.091608|0.000000,0.211610,0.532517,0.110066,0.132783,0.869309,1.000000,0.867217,66763.000000,926365.400000,0.053821,261.000000,758.400000,0.023326,0.851500,0.623440,0,5561.908203,0.000477,0.454972,116,0,0,16,0,17,0.278242,0.320125,0.412369,0.721758,2016.993860,19687.214362,63044.445850,0.000000,0.000000,0.000000,127393258.243355
-4600,37327536.000000,0.001696,0.964229,0.001333,0.000005,0.000002,0.004056,0.033514,0.000592,0.002472,0.446275,0.355956,0.025798,0.379885,0.250786,0.119355,0.010344|0.244818|0.586711|0.077789|0.091211|0.000000,0.216854,0.541788,0.110316,0.135832,0.872440,1.000000,0.864168,70068.000000,920782.800000,0.058817,261.000000,755.200000,0.023308,0.860300,0.628200,0,6503.286133,0.000524,0.393238,97,0,1,12,0,16,0.281943,0.326087,0.413044,0.718057,2088.012273,23301.616998,70455.901380,0.000000,0.000000,0.000000,145575366.084619
-4550,40277057.000000,0.001522,0.962749,0.001400,0.000005,0.000000,0.000000,0.034825,0.000633,0.002851,0.449565,0.356202,0.027365,0.389691,0.259324,0.117165,0.009184|0.244491|0.588379|0.077769|0.090862|0.000000,0.223020,0.550777,0.111705,0.136494,0.882110,1.000000,0.863506,51472.500000,901589.000000,0.061753,259.000000,706.800000,0.023262,0.867900,0.644250,0,6720.593262,0.000470,0.343348,138,0,0,16,0,5,0.286822,0.325594,0.413493,0.713178,2264.966539,24375.109864,75644.016688,0.000000,0.000000,0.000000,173427656.153218
