year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-4725,unlock,46,Great gargargrad Tribe,2,Animal Husbandry,1
-4702,unlock,34,Old viazen Tribe,2,Animal Husbandry,1
-4651,unlock,75,South duszenia Tribe,1,Pottery,1
-4645,unlock,34,Old viazen Tribe,1,Pottery,2
-4641,unlock,10,North marmargrad Tribe,1,Pottery,1
-4639,unlock,88,Great quidusran Tribe,1,Pottery,1
-4638,unlock,48,New zenlorland Tribe,1,Pottery,1
-4635,unlock,30,Great garquisolstan Tribe,2,Animal Husbandry,1
-4632,unlock,93,Lingarnagrad Tribe,1,Pottery,1
-4606,unlock,104,Old kinviadusia Tribe,2,Animal Husbandry,1
-4605,unlock,30,Great garquisolstan Tribe,1,Pottery,2
-4600,unlock,50,Great kinsolrom Tribe,1,Pottery,1
-4597,unlock,10,North marmargrad Tribe,5,Sailing,2
