🏪 Trade & Economic Exchange Framework initialized!
🚀 INITIALIZING RESOURCES (Optimized)...
✅ RESOURCES INITIALIZED in 330 ms
   Resource ingestion: coal=18834, copper=30078, tin=14335, clay=18632, riverland-cells=18632
World start population target: 6756520 (seed 69)
worldsim_cli seed=69 config=C:\WS\WorldSimulation10028\data\sim_config.toml hash=a21f9f98ca482cc3 start=-5000 end=-4000 gpu=1
🏛️ Ransolgrad Tribe changed from Tribal to Chiefdom
🏛️ Quilingrad Tribe changed from Tribal to Chiefdom
🏛️ South terzenvialand Tribe changed from Tribal to Chiefdom
🏛️ Great zenzenkinland Tribe changed from Tribal to Chiefdom
🏛️ New quigaria Tribe changed from Tribal to Chiefdom
🏛️ North lorgargrad Tribe changed from Tribal to Chiefdom
🏛️ South linsolzenland Tribe changed from Tribal to Chiefdom
🏛️ Old lindusbel Tribe changed from Tribal to Chiefdom
🏛️ Old marsol Tribe changed from Tribal to Chiefdom
🏛️ New tergarnagrad Tribe changed from Tribal to Chiefdom
🏛️ South zenkinnastan Tribe changed from Tribal to Chiefdom
🏛️ New solquiland Tribe changed from Tribal to Chiefdom
🏛️ New zenviagrad Tribe changed from Tribal to Chiefdom
🏛️ South terlinmaria Tribe changed from Tribal to Chiefdom
🏛️ Lorsolmarland Tribe changed from Tribal to Chiefdom
🏛️ Old kinzengrad Tribe changed from Tribal to Chiefdom
🏛️ Zenran Tribe changed from Tribal to Chiefdom
🏛️ Lorlin Tribe changed from Tribal to Chiefdom
🏛️ North dusromstan Tribe changed from Tribal to Chiefdom
🏛️ North dusgar Tribe changed from Tribal to Chiefdom
🏛️ Old terviadus Tribe changed from Tribal to Chiefdom
🏛️ North kinquilorland Tribe changed from Tribal to Chiefdom
🏛️ Old lorsolviaia Tribe changed from Tribal to Chiefdom
🏛️ New rombelstan Tribe changed from Tribal to Chiefdom
🏛️ New kinsolstan Tribe changed from Tribal to Chiefdom
🏛️ South garbelia Tribe changed from Tribal to Chiefdom
🏛️ Old quidusmaria Tribe changed from Tribal to Chiefdom
🏛️ New dusnastan Tribe changed from Tribal to Chiefdom
🏛️ South linranlorland Tribe changed from Tribal to Chiefdom
🏛️ New zenquibel Tribe changed from Tribal to Chiefdom
🏛️ Old zenlinbelia Tribe changed from Tribal to Chiefdom
🏛️ New viaterquiland Tribe changed from Tribal to Chiefdom
🏛️ South ranmarsolland Tribe changed from Tribal to Chiefdom
🏛️ Great zenquistan Tribe changed from Tribal to Chiefdom
🏛️ New lorviastan Tribe changed from Tribal to Chiefdom
🏛️ Old zenbel Tribe changed from Tribal to Chiefdom
🏛️ North lormarnaia Tribe changed from Tribal to Chiefdom
🏛️ South margargaria Tribe changed from Tribal to Chiefdom
🏛️ Old mardusgrad Tribe changed from Tribal to Chiefdom
🏛️ North garranlorland Tribe changed from Tribal to Chiefdom
🏛️ Ransolgrad Tribe changed from Chiefdom to Kingdom
🏛️ New terlingrad Tribe changed from Tribal to Chiefdom
🏛️ North belvia Tribe changed from Tribal to Chiefdom
🏛️ Quilingrad Tribe changed from Chiefdom to Kingdom
🏛️ Rombelsolgrad Tribe changed from Tribal to Chiefdom
🏛️ South kinlingar Tribe changed from Tribal to Chiefdom
🏛️ South linsolzenland Tribe changed from Chiefdom to Kingdom
🏛️ Old kinzengrad Tribe changed from Chiefdom to Kingdom
🏛️ Lorlin Tribe changed from Chiefdom to Kingdom
🏛️ Great belkinland Tribe changed from Tribal to Chiefdom
🏛️ New duslorland Tribe changed from Tribal to Chiefdom
🏛️ North naranstan Tribe changed from Tribal to Chiefdom
