year,world_pop_total,world_pop_growth_rate_annual,world_food_adequacy_index,world_famine_death_rate,world_disease_death_rate,world_war_death_rate,world_trade_intensity,world_urban_share_proxy,world_tech_capability_index_median,world_tech_capability_index_p90,world_state_capacity_index_median,world_state_capacity_index_p10,migration_rate_t,famine_exposure_share_t,habitable_cell_share_pop_gt_0,habitable_cell_share_pop_gt_small,pop_share_by_lat_band,pop_share_coastal_vs_inland,pop_share_river_proximal,market_access_p10,market_access_median,food_adequacy_p10,food_adequacy_median,travel_cost_index_median,country_pop_median,country_pop_p90,country_pop_top1_share,country_area_median,country_area_p90,country_area_top1_share,control_median,control_p10,wars_active_count,city_pop_top1,city_pop_top10_sum_share,city_tail_index,famine_wave_count,epidemic_wave_count,major_war_count,civil_conflict_count,fragmentation_count,mass_migration_count,logistics_capability_index,storage_capability_index,health_capability_index,transport_cost_index,spoilage_kcal,storage_loss_kcal,available_kcal_before_losses,trade_volume_total,trade_volume_long,long_distance_trade_proxy,extraction_index
-5000,6798115.000000,0.000000,0.998030,0.000136,0.000010,0.000000,0.001214,0.025262,0.000002,0.000003,0.719092,0.661108,0.038797,0.076764,0.054988,0.050719,0.098636|0.326426|0.497835|0.071591|0.005530|0.000000,0.192434,0.251845,0.113157,0.126479,1.000000,1.000000,0.873521,45084.500000,136661.800000,0.045249,137.000000,492.400000,0.052142,0.845500,0.699680,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0.262370,0.751030,0.493993,0.737630,1713.257592,36278.489000,48436.296719,0.000000,0.000000,0.000000,90794.538847
-4950,8183416.000000,0.003716,0.949326,0.001188,0.000005,0.000000,0.000000,0.027778,0.000134,0.000198,0.828114,0.489426,0.056709,0.224373,0.107785,0.078353,0.047385|0.368380|0.553495|0.066415|0.002187|0.000000,0.206771,0.360884,0.100315,0.129483,0.822894,1.000000,0.870517,54444.000000,190418.000000,0.058787,150.000000,492.000000,0.050620,0.986700,0.751900,0,0.000000,0.000000,0.000000,42,0,0,0,0,32,0.293636,0.458657,0.537881,0.706364,696.903643,27423.375767,38576.188067,0.000000,0.000000,0.000000,5427414.048297
-4900,9277096.000000,0.002512,0.955612,0.001013,0.000006,0.000000,0.008864,0.028125,0.000244,0.000429,0.743436,0.362452,0.041202,0.233846,0.124354,0.085823,0.036824|0.376617|0.552779|0.059937|0.000918|0.000000,0.190520,0.427603,0.102430,0.131325,0.837668,1.000000,0.868675,55635.500000,220490.300000,0.062089,151.500000,446.200000,0.049711,0.957750,0.648150,0,1545.735596,0.000273,0.258551,21,0,0,13,0,10,0.295283,0.446388,0.511812,0.704717,769.037544,19704.371702,32198.292184,0.000000,0.000000,0.000000,11283232.610669
-4850,10293995.000000,0.002082,0.960470,0.001087,0.000005,0.000000,0.005952,0.029606,0.000359,0.000686,0.739932,0.361582,0.031008,0.244337,0.136037,0.083240,0.029515|0.388162|0.547666|0.054781|0.000368|0.000000,0.183531,0.473729,0.104620,0.133704,0.847928,1.000000,0.866296,52305.000000,269958.600000,0.070070,154.000000,445.600000,0.049459,0.953400,0.652040,0,2412.512207,0.000306,0.279234,44,0,0,5,0,14,0.297127,0.452719,0.512423,0.702873,826.234285,15866.676740,29579.675365,0.000000,0.000000,0.000000,16787929.999996
-4800,11344438.000000,0.001945,0.963587,0.001162,0.000004,0.000000,0.005717,0.030350,0.000440,0.000944,0.590089,0.374044,0.029635,0.275336,0.147551,0.076724,0.024952|0.399624|0.544204|0.050942|0.000149|0.000000,0.187898,0.492704,0.106575,0.129999,0.874040,1.000000,0.870001,50368.000000,314212.100000,0.075614,157.000000,443.800000,0.049214,0.913500,0.686560,0,3148.694824,0.000342,0.270512,41,0,0,15,0,7,0.284030,0.452791,0.461905,0.715970,910.919046,22029.856868,37130.541715,0.000000,0.000000,0.000000,28490044.803276
-4750,12527083.000000,0.001985,0.967444,0.001017,0.000004,0.000000,0.004887,0.031007,0.000476,0.001251,0.463890,0.378100,0.019832,0.270231,0.156594,0.069928,0.021491|0.408973|0.537767|0.048161|0.000061|0.000000,0.195833,0.504551,0.111494,0.131954,0.883992,1.000000,0.868046,47864.000000,333526.800000,0.081232,157.000000,443.800000,0.048924,0.888600,0.697080,0,1600.883667,0.000180,0.247038,64,0,0,0,0,12,0.283654,0.453884,0.421854,0.716346,956.705733,12465.705872,28995.009816,0.000000,0.000000,0.000000,33631414.932080
-4700,13841110.000000,0.001997,0.971372,0.000949,0.000004,0.000000,0.003957,0.031689,0.000513,0.001563,0.459348,0.377951,0.018724,0.360212,0.164682,0.064031,0.018449|0.421047|0.528703|0.045879|0.000025|0.000000,0.200570,0.511280,0.111174,0.134621,0.905756,1.000000,0.865379,51023.000000,379638.700000,0.086595,169.500000,443.800000,0.048678,0.895850,0.676090,0,1274.739990,0.000197,0.198129,45,0,0,0,0,5,0.289531,0.457464,0.414798,0.710469,902.386241,13848.560901,31653.649232,0.000000,0.000000,0.000000,38935693.486218
-4650,15162132.000000,0.001825,0.967829,0.001413,0.000004,0.000002,0.000000,0.032361,0.000554,0.001836,0.458391,0.356927,0.024527,0.413948,0.173837,0.060267,0.015906|0.426682|0.526620|0.043946|0.000012|0.000000,0.208095,0.519018,0.111098,0.138101,0.897910,1.000000,0.861899,48272.000000,439550.800000,0.084026,171.000000,443.200000,0.048377,0.911600,0.715380,0,853.536560,0.000135,0.197009,45,0,1,4,0,7,0.293768,0.450254,0.415404,0.706232,863.134708,13415.927358,32329.989894,0.000000,0.000000,0.000000,53799569.280914
-4600,16557535.000000,0.001762,0.967313,0.001147,0.000004,0.000000,0.003266,0.033288,0.000630,0.002134,0.465633,0.382641,0.021605,0.487593,0.181476,0.056055,0.013795|0.430494|0.524041|0.042865|0.000005|0.000000,0.207623,0.526564,0.118978,0.140103,0.907186,1.000000,0.859897,47394.000000,506585.800000,0.076728,172.000000,442.600000,0.047820,0.914150,0.707110,0,436.547485,0.000086,0.205161,50,0,0,11,0,10,0.295988,0.436929,0.418663,0.704012,796.137012,12533.884560,32934.691929,0.000000,0.000000,0.000000,59376165.060084
-4550,17841700.000000,0.001495,0.968188,0.001585,0.000005,0.000000,0.004118,0.033119,0.000732,0.002448,0.466141,0.384774,0.024762,0.477383,0.188665,0.055381,0.012229|0.431102|0.524271|0.042893|0.000003|0.000000,0.209358,0.535096,0.121279,0.142883,0.899377,1.000000,0.857117,46952.500000,517149.200000,0.070120,174.500000,442.600000,0.047128,0.916800,0.710810,0,309.866241,0.000045,0.221834,57,0,0,0,0,3,0.299808,0.426950,0.418481,0.700192,879.938336,14298.516057,36160.919861,0.000000,0.000000,0.000000,65026126.587340
