year,event_type,country_index,country_name,tech_id,tech_name,total_unlocked_techs
-4607,unlock,30,Terrania Tribe,1,Pottery,1
-4607,unlock,45,North viakinmarstan Tribe,1,Pottery,1
-4603,unlock,10,South garmar Tribe,1,Pottery,1
-4585,unlock,78,New rannagrad Tribe,1,Pottery,1
-4556,unlock,10,South garmar Tribe,2,Animal Husbandry,2
-4554,unlock,79,South kinquiran Tribe,1,Pottery,1
-4546,unlock,45,North viakinmarstan Tribe,2,Animal Husbandry,2
-4539,unlock,30,Terrania Tribe,2,Animal Husbandry,2
-4534,unlock,95,New rombelzenstan Tribe,1,Pottery,1
-4504,unlock,79,South kinquiran Tribe,5,Sailing,2
-4503,unlock,77,Old solsol Tribe,2,Animal Husbandry,1
-4488,unlock,45,North viakinmarstan Tribe,3,Archery,3
-4484,unlock,79,South kinquiran Tribe,2,Animal Husbandry,3
-4472,unlock,30,Terrania Tribe,3,Archery,3
-4464,unlock,95,New rombelzenstan Tribe,2,Animal Husbandry,2
-4458,unlock,10,South garmar Tribe,3,Archery,3
-4441,unlock,77,Old solsol Tribe,1,Pottery,2
-4433,unlock,45,North viakinmarstan Tribe,4,Mining,4
-4416,unlock,79,South kinquiran Tribe,3,Archery,4
-4407,unlock,30,Terrania Tribe,4,Mining,4
-4398,unlock,95,New rombelzenstan Tribe,3,Archery,3
-4385,unlock,10,South garmar Tribe,4,Mining,4
-4377,unlock,104,North solkindusland Tribe,2,Animal Husbandry,1
-4375,unlock,45,North viakinmarstan Tribe,5,Sailing,5
-4354,unlock,45,North viakinmarstan Tribe,6,Calendar,6
-4352,unlock,79,South kinquiran Tribe,4,Mining,5
-4342,unlock,30,Terrania Tribe,5,Sailing,5
-4333,unlock,95,New rombelzenstan Tribe,4,Mining,4
-4317,unlock,77,Old solsol Tribe,6,Calendar,3
-4312,unlock,10,South garmar Tribe,5,Sailing,5
-4300,initial,116,Naviana Tribe,1,Pottery,4
-4300,initial,116,Naviana Tribe,2,Animal Husbandry,4
