year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,6763594.000000,0.025673,41893.500000,108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000,1.000000,0.003011,0.003042
-4950,9093774.000000,0.028812,51626.000000,133.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.979633,0.931141,0.000000,0.000000
-4900,10465640.000000,0.028010,53909.000000,152.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14,0.977882,0.897005,0.000000,0.000000
-4850,12024175.000000,0.027548,58046.000000,160.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44,0.984240,0.924139,0.000000,0.000000
-4800,13533684.000000,0.028551,47034.000000,156.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74,0.976903,0.910233,0.000000,0.000000
-4750,15226591.000000,0.030270,53374.000000,157.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109,0.978762,0.913813,0.000000,0.000000
-4700,17256431.000000,0.031340,52685.500000,156.500000,0.000000,0.000000,0.000000,0.000000,0.000000,118,0.978520,0.919452,0.000000,0.000000
-4650,19703450.000000,0.032247,51774.000000,156.500000,0.000000,0.000000,0.000000,0.000000,0.000000,118,0.982682,0.931441,0.000000,0.000000
-4600,22447853.000000,0.032669,47323.500000,156.500000,0.000000,0.000000,0.000000,0.000000,0.000000,127,0.981624,0.933347,0.000000,0.000000
-4550,25316990.000000,0.033539,44763.000000,159.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132,0.982079,0.933862,0.000000,0.000000
-4500,28281411.000000,0.034253,42399.500000,160.500000,0.000000,0.000000,0.000000,0.000000,0.000000,136,0.977048,0.929345,0.000000,0.000000
-4450,31736472.000000,0.034771,43017.000000,164.500000,0.000000,0.000000,0.000000,0.000000,0.000000,136,0.979488,0.929192,0.000000,0.000000
-4400,35473839.000000,0.035370,41485.000000,165.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149,0.976603,0.916795,0.000000,0.000000
-4350,39495826.000000,0.036442,44861.000000,170.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149,0.976736,0.927692,0.000000,0.000000
-4300,44384958.000000,0.037151,42481.000000,176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.973979,0.917664,0.000000,0.000000
-4250,49598118.000000,0.038870,46191.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.976296,0.911577,0.000000,0.000000
-4200,55802399.000000,0.039945,47060.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.971336,0.899989,0.000000,0.000000
-4150,62034658.000000,0.040639,45083.500000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.975489,0.925191,0.000000,0.000000
-4100,69922457.000000,0.041065,45368.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.975345,0.915983,0.000000,0.000000
-4050,77678295.000000,0.041534,43831.500000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.977412,0.920868,0.000000,0.000000
-4000,86708495.000000,0.042767,41353.000000,183.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.977524,0.922014,0.000000,0.000000
-3950,97136681.000000,0.043618,41807.000000,186.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.968176,0.903928,0.000000,0.000000
-3900,107577221.000000,0.044867,46898.000000,186.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.975468,0.926639,0.000000,0.000000
-3850,120416990.000000,0.048239,46373.000000,186.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.977282,0.930485,0.000000,0.000000
-3800,135769358.000000,0.050084,47490.000000,186.000000,0.000000,0.000000,0.000000,0.000000,0.000000,157,0.975466,0.924406,0.000000,0.000000
-3750,151490385.000000,0.052251,47119.500000,184.500000,0.000000,0.000000,0.000000,0.000000,0.000000,164,0.971441,0.921310,0.000000,0.000000
-3700,170682833.000000,0.055285,63267.500000,184.500000,0.000000,0.000000,0.000000,0.000000,0.000000,164,0.975244,0.920856,0.000000,0.000000
-3650,192141631.000000,0.059036,66798.500000,184.500000,0.000000,0.000000,0.000000,0.000000,0.000000,164,0.971482,0.915173,0.000000,0.000000
-3600,216343850.000000,0.064067,67820.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.976706,0.929043,0.000000,0.000000
-3550,243803509.000000,0.067362,77222.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.975871,0.926473,0.000000,0.000000
-3500,269226702.000000,0.068142,84134.000000,183.000000,0.000000,0.000000,0.000000,0.000000,0.000000,168,0.972046,0.914384,0.000000,0.000000
-3450,292310779.000000,0.071332,70059.500000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,174,0.968244,0.902948,0.000000,0.000000
-3400,317581295.000000,0.073993,59533.500000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,174,0.967597,0.914244,0.000000,0.000000
-3350,341664469.000000,0.075344,55524.000000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,174,0.968498,0.909224,0.000000,0.000000
-3300,357078963.000000,0.075172,67329.000000,183.000000,0.000000,0.000000,0.000000,0.000000,0.000000,181,0.971117,0.909589,0.000000,0.000000
-3250,370817610.000000,0.076662,62719.500000,182.000000,0.000000,0.000000,0.000000,0.000000,0.000000,186,0.970689,0.913222,0.000000,0.000000
-3200,394009201.000000,0.077463,67089.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,189,0.976576,0.922710,0.000000,0.000000
-3150,418071155.000000,0.076624,60575.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,189,0.970705,0.914801,0.000000,0.000000
-3100,432715964.000000,0.075978,59136.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,194,0.969215,0.910947,0.000000,0.000000
-3050,452292866.000000,0.076464,60862.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,194,0.969961,0.901898,0.000000,0.000000
-3000,479331217.000000,0.077434,57936.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,194,0.969550,0.912652,0.000000,0.000000
-2950,507808119.000000,0.077624,71722.000000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,199,0.968698,0.896145,0.000000,0.000000
-2900,535660502.000000,0.080413,51930.500000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,206,0.966439,0.895498,0.000000,0.000000
-2850,577583409.000000,0.084368,48793.500000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,206,0.974465,0.918262,0.000000,0.000000
-2800,620275987.000000,0.086469,47608.500000,181.000000,0.000000,0.000000,0.000000,0.000000,0.000000,206,0.971851,0.921958,0.000000,0.000000
-2750,656886703.000000,0.088038,48303.500000,181.000000,0.000000,0.000000,0.007576,0.000000,0.000000,206,0.970451,0.911655,0.000000,0.000000
-2700,690924846.000000,0.089887,48041.000000,181.000000,0.000000,0.000000,0.007519,0.000000,0.000000,209,0.973210,0.920952,0.000000,0.000000
-2650,719362726.000000,0.091794,47713.000000,181.000000,0.000000,0.000000,0.030075,0.000000,0.000000,209,0.969113,0.911334,0.000000,0.000000
-2600,730173618.000000,0.085322,80188.500000,181.000000,0.000000,0.000000,0.029851,0.000000,0.000000,215,0.962341,0.889253,0.000000,0.000000
-2550,746461450.000000,0.083622,85085.000000,181.000000,0.000000,0.000000,0.029851,0.000000,0.000000,215,0.968201,0.916398,0.000000,0.000000
-2500,765609358.000000,0.081803,113291.000000,181.000000,0.000000,0.000000,0.044444,0.000000,0.000000,220,0.972537,0.921435,0.000000,0.000000
-2450,779954723.000000,0.083681,145855.500000,181.000000,0.000000,0.000000,0.058824,0.000000,0.000000,226,0.963360,0.889626,0.000000,0.000000
-2400,816012795.000000,0.088999,122182.000000,181.000000,0.000000,0.000000,0.058394,0.000000,0.000000,233,0.965469,0.904055,0.000000,0.000000
-2350,823703248.000000,0.085732,128198.000000,181.000000,0.000000,0.000000,0.071942,0.000000,0.000000,247,0.962101,0.894380,0.000000,0.000000
-2300,826420582.000000,0.088656,111484.000000,181.000000,0.000000,0.000000,0.071942,0.000000,0.000000,247,0.963933,0.888930,0.000000,0.000000
-2250,842627791.000000,0.088811,124382.000000,181.000000,0.000000,0.000000,0.086331,0.000000,0.000000,247,0.967810,0.901658,0.000000,0.000000
-2200,864052798.000000,0.089711,135091.000000,181.000000,0.000000,0.000000,0.086331,0.000000,0.000000,247,0.964317,0.904532,0.000000,0.000000
-2150,876962189.000000,0.091104,143932.000000,181.000000,0.000000,0.000000,0.107143,0.000000,0.000000,253,0.970364,0.926085,0.000000,0.000000
-2100,896113118.000000,0.093610,133749.000000,181.000000,0.000000,0.000000,0.113475,0.000000,0.000000,258,0.967830,0.904071,0.000000,0.000000
-2050,905875823.000000,0.093323,136059.000000,181.000000,0.000000,0.000000,0.113475,0.000000,0.000000,258,0.971701,0.918067,0.000000,0.000000
-2000,908853812.000000,0.092905,149485.500000,181.000000,0.000000,0.000000,0.126761,0.000000,0.000000,262,0.968065,0.900878,0.000000,0.000000
-1950,928136015.000000,0.094047,165497.000000,181.000000,0.000000,0.000000,0.133803,0.000000,0.000000,262,0.964302,0.893141,0.000000,0.000000
-1900,941627564.000000,0.093906,165860.500000,181.000000,0.000000,0.000000,0.147887,0.000000,0.000000,262,0.962876,0.891587,0.000000,0.000000
-1850,955989999.000000,0.093579,185069.000000,181.000000,0.000000,0.000000,0.147887,0.000000,0.000000,262,0.954156,0.839354,0.000000,0.000000
-1800,959700748.000000,0.093768,167040.500000,181.000000,0.000000,0.000000,0.154930,0.000000,0.000000,262,0.959232,0.857041,0.000000,0.000000
-1750,970669417.000000,0.096415,181240.000000,181.000000,0.000000,0.000000,0.167832,0.000000,0.000000,268,0.965479,0.882068,0.000000,0.000000
-1700,997226110.000000,0.096385,181759.000000,181.000000,0.000000,0.000000,0.173611,0.000000,0.000000,279,0.966364,0.877059,0.000000,0.000000
-1650,1011331579.000000,0.098121,172336.000000,181.000000,0.000000,0.000000,0.187500,0.000000,0.000000,279,0.969339,0.909341,0.000000,0.000000
-1600,1004317209.000000,0.091587,157945.000000,181.000000,0.000000,0.000000,0.187500,0.000000,0.000000,279,0.958304,0.870437,0.000000,0.000000
-1550,1004826276.000000,0.092994,171109.500000,181.000000,0.000000,0.000000,0.180556,0.000000,0.000000,279,0.961850,0.864268,0.000000,0.000000
