year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90,stabilityMean,stabilityP10,legitimacyMean,legitimacyP10,lowStabilityPopShare,lowLegitimacyPopShare
-5000,8012418.000000,0.025406,49555.500000,157.500000,0.000000,0.000819,0.000909,0.000000,0.000000,0.000000,0,1.000000,1.000000,0.000151,0.000154,0.985643,0.951935,0.704532,0.702476,0.000000,0.000000
-4900,11266555.000000,0.027767,64292.000000,166.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15,0.973661,0.851533,0.000109,0.000187,0.588319,0.000000,0.515341,0.005841,0.158906,0.205621
-4800,13854340.000000,0.030214,45065.000000,161.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88,0.973584,0.895909,0.000123,0.000187,0.497716,0.000000,0.437134,0.005985,0.123217,0.124481
-4700,16677474.000000,0.031654,36839.000000,160.000000,0.332226,0.000000,0.000000,0.000000,0.000000,0.000000,106,0.967469,0.870740,0.000114,0.000175,0.461741,0.000000,0.415474,0.005824,0.092247,0.103433
-4600,19518248.000000,0.032753,37707.000000,163.000000,0.249377,0.000000,0.000000,0.000000,0.000000,0.000000,115,0.973677,0.916261,0.000139,0.000213,0.443505,0.000000,0.415385,0.006152,0.084189,0.087608
-4500,22562932.000000,0.034007,40517.000000,171.000000,0.199601,0.003459,0.002774,0.000000,0.000000,0.000000,127,0.971274,0.903593,0.000131,0.000204,0.429372,0.000000,0.407156,0.006085,0.071746,0.076176
-4400,25979071.000000,0.035128,40411.000000,176.000000,0.166389,0.003042,0.002774,0.000000,0.000000,0.000000,127,0.973141,0.907588,0.000130,0.000210,0.421334,0.000000,0.406785,0.006171,0.059459,0.063385
-4300,30622803.000000,0.036060,36705.000000,185.500000,0.142653,0.002651,0.003111,0.000000,0.000000,0.000000,130,0.969455,0.910735,0.000125,0.000197,0.402138,0.000000,0.386523,0.006219,0.050877,0.053104
-4200,35695339.000000,0.036800,32953.500000,199.500000,0.124844,0.002230,0.003302,0.000000,0.000000,0.000000,130,0.974953,0.927163,0.000128,0.000198,0.368522,0.000000,0.356253,0.006170,0.070711,0.072577
-4100,41141689.000000,0.037056,32955.000000,197.000000,0.110988,0.002501,0.003312,0.000000,0.000000,0.000000,137,0.973025,0.912237,0.000127,0.000209,0.364821,0.000000,0.351998,0.006280,0.054452,0.060222
-4000,48277759.000000,0.039953,28904.000000,202.000000,0.099900,0.002110,0.003625,0.000000,0.000000,0.000000,137,0.975985,0.920878,0.000140,0.000257,0.366241,0.000000,0.359510,0.006372,0.044677,0.044677
-3900,58070667.000000,0.040359,27545.000000,202.000000,0.090827,0.002648,0.003750,0.000000,0.000000,0.000000,137,0.974194,0.925323,0.000135,0.000192,0.368412,0.000000,0.367136,0.006319,0.036468,0.036468
-3800,71335073.000000,0.043775,22859.000000,202.000000,0.083264,0.002936,0.003375,0.000000,0.000000,0.000000,137,0.975715,0.929802,0.000140,0.000253,0.366164,0.000000,0.362725,0.006610,0.034784,0.034784
-3700,85835966.000000,0.046167,20699.000000,213.000000,0.076864,0.002657,0.003250,0.000000,0.000000,0.000000,137,0.979764,0.932751,0.000139,0.000248,0.366105,0.000000,0.364871,0.006544,0.030399,0.030399
-3600,105638822.000000,0.048185,20403.000000,213.000000,0.071378,0.002719,0.003437,0.000000,0.000000,0.000000,137,0.980078,0.929052,0.000127,0.000193,0.351595,0.000000,0.350629,0.006592,0.025671,0.031686
-3500,131394168.000000,0.054244,19126.000000,209.000000,0.066622,0.002314,0.003199,0.000000,0.000000,0.000000,141,0.976984,0.932025,0.000130,0.000215,0.351711,0.000000,0.352158,0.006644,0.024803,0.024803
-3400,157055037.000000,0.058998,21951.000000,209.000000,0.062461,0.002566,0.003815,0.000000,0.000000,0.000000,150,0.976728,0.931715,0.000129,0.000189,0.347470,0.000000,0.349555,0.006611,0.022359,0.022359
-3300,179926377.000000,0.060254,19010.500000,209.000000,0.058789,0.002457,0.003573,0.000000,0.000000,0.000000,150,0.975559,0.930657,0.000128,0.000211,0.345639,0.000000,0.342987,0.006616,0.020090,0.020090
-3200,199594242.000000,0.060951,21309.000000,205.000000,0.055525,0.002924,0.003280,0.000000,0.000000,0.000000,154,0.976493,0.930103,0.000122,0.000188,0.345510,0.000000,0.341077,0.006789,0.018992,0.018992
-3100,231120621.000000,0.065632,22861.000000,203.500000,0.052604,0.002828,0.003582,0.000000,0.000000,0.000000,158,0.974020,0.926757,0.000132,0.000219,0.345510,0.000000,0.338412,0.006796,0.016092,0.016092
-3000,259965074.000000,0.065680,23570.000000,199.500000,0.049975,0.002543,0.003759,0.000000,0.000000,0.000000,166,0.975896,0.924370,0.000121,0.000194,0.350508,0.000000,0.333429,0.006860,0.016016,0.016060
-2900,293997351.000000,0.071368,23042.000000,199.500000,0.047596,0.002784,0.003704,0.000000,0.000000,0.000000,173,0.977867,0.927696,0.000133,0.000210,0.345090,0.000000,0.337230,0.006742,0.012718,0.012718
