year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,5748902.000000,0.025101,37446.000000,102.000000,0.000000,0.000761,0.000303,0.000000,0.000000,0.000000,4,0.999798,1.000000,0.000154,0.000153
-4950,7571401.000000,0.027848,48717.000000,114.000000,0.000000,0.007719,0.001068,0.000000,0.000000,0.000000,65,0.952802,0.824935,0.000096,0.000165
-4900,8624744.000000,0.028303,49512.500000,125.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70,0.972733,0.852079,0.000106,0.000176
-4850,9753218.000000,0.028646,56486.000000,138.500000,0.662252,0.004851,0.000952,0.000000,0.000000,0.000000,93,0.973335,0.866258,0.000122,0.000197
-4800,10872205.000000,0.029064,59927.000000,138.000000,0.497512,0.005593,0.001850,0.000000,0.000000,0.000000,111,0.975848,0.897939,0.000130,0.000185
-4750,11978799.000000,0.029801,57234.000000,142.000000,0.398406,0.005332,0.001738,0.000000,0.000000,0.000000,118,0.971753,0.913048,0.000115,0.000186
-4700,13178708.000000,0.031062,50122.500000,144.000000,0.664452,0.003640,0.002484,0.000000,0.000000,0.000000,123,0.977328,0.917312,0.000115,0.000193
-4650,14595001.000000,0.031618,48335.000000,145.000000,0.854701,0.006020,0.002174,0.000000,0.000000,0.000000,123,0.975858,0.898958,0.000126,0.000211
-4600,16070261.000000,0.032681,53773.000000,145.000000,0.748130,0.006162,0.001724,0.000000,0.000000,0.000000,134,0.978218,0.928345,0.000131,0.000211
-4550,17898388.000000,0.034051,54556.500000,146.000000,0.665188,0.005029,0.002024,0.000000,0.000000,0.000000,134,0.979921,0.927214,0.000121,0.000203
-4500,19882636.000000,0.034964,55748.000000,146.000000,0.598802,0.004115,0.002099,0.000000,0.000000,0.000000,134,0.977482,0.926716,0.000125,0.000214
-4450,21986258.000000,0.036178,53482.500000,146.500000,0.544465,0.003952,0.002249,0.000000,0.000000,0.000000,134,0.976043,0.926439,0.000117,0.000186
-4400,24192136.000000,0.037261,56978.000000,152.500000,0.499168,0.004243,0.002324,0.000000,0.000000,0.000000,134,0.971877,0.918313,0.000118,0.000186
-4350,26525775.000000,0.038411,53131.000000,155.000000,0.460829,0.003468,0.002653,0.000000,0.000000,0.000000,138,0.974238,0.924901,0.000119,0.000179
-4300,29103059.000000,0.039173,53858.500000,164.500000,0.427960,0.003367,0.002318,0.000000,0.000000,0.000000,142,0.976954,0.926462,0.000123,0.000185
-4250,31625608.000000,0.038867,59717.000000,171.000000,0.399467,0.003464,0.002680,0.000000,0.000000,0.000000,148,0.970751,0.911302,0.000116,0.000180
-4200,34330203.000000,0.040341,58984.000000,171.000000,0.374532,0.003253,0.002535,0.000000,0.000000,0.000000,148,0.972159,0.922237,0.000116,0.000179
