year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,5748902.000000,0.025101,37446.000000,102.000000,0.000000,0.000761,0.000303,0.000000,0.000000,0.000000,4,0.999798,1.000000,0.000154,0.000153
-4950,7571401.000000,0.027848,48717.000000,114.000000,0.000000,0.007719,0.001068,0.000000,0.000000,0.000000,65,0.952802,0.824935,0.000096,0.000165
-4900,8624744.000000,0.028303,49512.500000,125.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70,0.972733,0.852079,0.000106,0.000176
-4850,9753187.000000,0.028641,56486.000000,138.500000,0.662252,0.004854,0.000952,0.000000,0.000000,0.000000,93,0.973325,0.866258,0.000122,0.000197
-4800,10845364.000000,0.028812,59927.000000,138.000000,0.497512,0.005502,0.001931,0.000000,0.000000,0.000000,111,0.976170,0.907917,0.000130,0.000186
-4750,11980967.000000,0.029792,57234.000000,142.000000,0.398406,0.005668,0.001659,0.000000,0.000000,0.000000,118,0.972010,0.912940,0.000115,0.000185
-4700,13174503.000000,0.030946,49439.000000,144.000000,0.664452,0.003539,0.002562,0.000000,0.000000,0.000000,123,0.977382,0.908356,0.000115,0.000193
-4650,14585901.000000,0.031608,48200.500000,144.000000,0.854701,0.005525,0.002251,0.000000,0.000000,0.000000,123,0.974314,0.897865,0.000126,0.000211
-4600,16050331.000000,0.032664,51178.500000,145.000000,0.748130,0.006426,0.001649,0.000000,0.000000,0.000000,134,0.978106,0.927668,0.000131,0.000211
-4550,17872142.000000,0.033954,52705.500000,146.000000,0.665188,0.005017,0.002024,0.000000,0.000000,0.000000,134,0.981601,0.932374,0.000121,0.000202
-4500,19853023.000000,0.034887,56609.500000,146.000000,0.598802,0.004326,0.002024,0.000000,0.000000,0.000000,134,0.978472,0.926167,0.000125,0.000214
-4450,21932362.000000,0.036073,49547.500000,146.500000,0.544465,0.003949,0.002099,0.000000,0.000000,0.000000,134,0.975490,0.926092,0.000118,0.000184
-4400,24122612.000000,0.037208,52130.000000,152.500000,0.499168,0.004162,0.002174,0.000000,0.000000,0.000000,134,0.971722,0.918118,0.000119,0.000187
-4350,26473392.000000,0.038302,55981.000000,155.000000,0.460829,0.003480,0.002505,0.000000,0.000000,0.000000,138,0.973053,0.921562,0.000120,0.000179
-4300,29104167.000000,0.039111,54830.500000,164.500000,0.427960,0.002777,0.002608,0.000000,0.000000,0.000000,142,0.977754,0.928259,0.000123,0.000188
-4250,31659203.000000,0.038769,57696.000000,171.000000,0.399467,0.003724,0.002535,0.000000,0.000000,0.000000,148,0.971199,0.908874,0.000117,0.000176
-4200,34482440.000000,0.040248,66647.000000,171.000000,0.374532,0.003740,0.002535,0.000000,0.000000,0.000000,148,0.974161,0.924861,0.000115,0.000179
