year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,16093979.000000,0.025409,131174.000000,355.000000,0.000000,0.000596,0.001313,0.000000,0.000000,0.000000,2,0.997674,1.000000,0.003066,0.003126
-4950,20452078.000000,0.028002,134277.000000,344.000000,0.000000,0.002591,0.002656,0.000000,0.000000,0.000000,34,0.963446,0.825801,0.000093,0.000191
-4900,23225044.000000,0.027623,124217.000000,294.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62,0.965290,0.834038,0.000115,0.000226
-4850,25690011.000000,0.027584,125301.000000,296.000000,0.000000,0.001252,0.002506,0.000000,0.000000,0.000000,89,0.963482,0.856864,0.000142,0.000230
-4800,27645353.000000,0.028014,98612.000000,296.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130,0.962962,0.867503,0.000139,0.000234
-4750,29657956.000000,0.028412,93304.000000,294.000000,0.000000,0.001257,0.003076,0.000000,0.000000,0.000000,139,0.966218,0.879460,0.000132,0.000224
-4700,31394898.000000,0.029663,86076.000000,278.000000,0.000000,0.001425,0.002867,0.000000,0.000000,0.000000,160,0.972071,0.902668,0.000141,0.000239
-4650,33268804.000000,0.029829,89015.000000,266.000000,0.000000,0.001360,0.002826,0.000000,0.000000,0.000000,164,0.965064,0.888814,0.000139,0.000230
-4600,35779871.000000,0.031175,81768.000000,254.000000,0.000000,0.001247,0.002709,0.000000,0.000000,0.000000,176,0.972336,0.917374,0.000123,0.000212
-4550,38344975.000000,0.031835,76871.000000,245.000000,0.221729,0.000000,0.000000,0.000000,0.000000,0.000000,194,0.970807,0.909052,0.000128,0.000220
-4500,41019500.000000,0.032414,83237.500000,244.500000,0.199601,0.001055,0.002998,0.000000,0.000000,0.000000,209,0.965531,0.896410,0.000131,0.000222
-4450,43518841.000000,0.033741,82653.000000,251.000000,0.181488,0.001112,0.003043,0.000000,0.000000,0.000000,209,0.973506,0.915370,0.000142,0.000226
-4400,45977656.000000,0.033318,82881.000000,245.000000,0.166389,0.000000,0.000000,0.000000,0.000000,0.000000,212,0.967769,0.894273,0.000131,0.000216
-4350,48778422.000000,0.034659,71615.000000,237.500000,0.153610,0.000829,0.002801,0.000000,0.000000,0.000000,223,0.972632,0.919679,0.000131,0.000217
-4300,51554473.000000,0.034497,70950.000000,241.000000,0.142653,0.000000,0.000000,0.000000,0.000000,0.000000,224,0.971075,0.899852,0.000138,0.000211
-4250,54936435.000000,0.035200,83462.500000,243.000000,0.133156,0.000859,0.003102,0.000000,0.000000,0.000000,227,0.964651,0.901064,0.000128,0.000220
-4200,57690873.000000,0.035288,91805.000000,230.000000,0.124844,0.000896,0.002869,0.000000,0.000000,0.000000,239,0.964450,0.900123,0.000138,0.000232
-4150,61229838.000000,0.037162,96857.000000,229.000000,0.117509,0.001121,0.002717,0.000000,0.000000,0.000000,242,0.970245,0.915268,0.000133,0.000221
-4100,65786703.000000,0.037682,90886.000000,229.000000,0.110988,0.000924,0.003183,0.000000,0.000000,0.000000,242,0.952243,0.866565,0.000128,0.000201
