year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,16097569.000000,0.025410,131203.500000,355.000000,0.000000,0.001164,0.001313,0.000000,0.000000,0.000000,2,0.997674,1.000000,0.000454,0.000465
-4950,20460832.000000,0.028004,134253.000000,344.000000,0.000000,0.007492,0.002747,0.000000,0.000000,0.000000,34,0.963318,0.825708,0.000093,0.000191
-4900,23237470.000000,0.027582,125569.000000,294.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67,0.965977,0.837127,0.000115,0.000224
-4850,25703891.000000,0.027606,125215.000000,296.000000,0.000000,0.003946,0.002439,0.000000,0.000000,0.000000,96,0.963249,0.854287,0.000141,0.000227
-4800,27681272.000000,0.028107,98675.000000,296.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,137,0.963504,0.878090,0.000139,0.000234
-4750,29687992.000000,0.028583,92243.000000,278.000000,0.000000,0.003820,0.003311,0.000000,0.000000,0.000000,152,0.966131,0.882621,0.000132,0.000229
-4700,31596571.000000,0.029849,86273.000000,266.000000,0.000000,0.004186,0.003128,0.000000,0.000000,0.000000,170,0.973129,0.903035,0.000142,0.000240
-4650,33566511.000000,0.029858,85986.000000,254.000000,0.000000,0.003562,0.003186,0.000000,0.000000,0.000000,175,0.965567,0.890271,0.000139,0.000229
-4600,36111057.000000,0.031199,80000.500000,245.500000,0.000000,0.003507,0.002807,0.000000,0.000000,0.000000,187,0.973744,0.917650,0.000122,0.000207
-4550,38743136.000000,0.031779,71127.000000,245.000000,0.221729,0.003006,0.003029,0.000000,0.000000,0.000000,207,0.970745,0.906969,0.000128,0.000220
-4500,41478285.000000,0.032353,82807.000000,245.000000,0.199601,0.003004,0.003266,0.000000,0.000000,0.000000,221,0.965566,0.894047,0.000131,0.000221
-4450,43912311.000000,0.033599,81510.500000,243.000000,0.181488,0.003081,0.003267,0.000000,0.000000,0.000000,226,0.973581,0.915366,0.000142,0.000227
-4400,46422498.000000,0.033155,83083.000000,245.000000,0.166389,0.000000,0.000000,0.000000,0.000000,0.000000,227,0.967155,0.891408,0.000129,0.000213
-4350,49255277.000000,0.034770,71941.000000,229.000000,0.153610,0.002480,0.002886,0.000000,0.000000,0.000000,238,0.973568,0.921648,0.000131,0.000217
-4300,52268390.000000,0.034251,70674.000000,228.000000,0.142653,0.000000,0.000000,0.000000,0.000000,0.000000,242,0.971014,0.898971,0.000138,0.000213
-4250,55648397.000000,0.034771,82145.000000,228.000000,0.133156,0.000000,0.000000,0.000000,0.000000,0.000000,246,0.963191,0.895440,0.000129,0.000219
-4200,58410734.000000,0.034537,84180.000000,228.000000,0.124844,0.002583,0.002869,0.000000,0.000000,0.000000,253,0.962944,0.887892,0.000140,0.000228
-4150,61834027.000000,0.036873,89745.000000,227.000000,0.117509,0.002664,0.003681,0.000000,0.000000,0.000000,259,0.968812,0.914083,0.000132,0.000221
-4100,66374744.000000,0.037398,89017.000000,227.000000,0.110988,0.002765,0.003412,0.000000,0.000000,0.000000,259,0.951684,0.865858,0.000128,0.000205
-4050,69804459.000000,0.038306,89548.500000,227.500000,0.105152,0.002466,0.003863,0.000000,0.000000,0.000000,264,0.961534,0.888602,0.000126,0.000202
-4000,74147848.000000,0.040391,92989.500000,227.500000,0.099900,0.002565,0.003787,0.000000,0.000000,0.000000,264,0.961547,0.887564,0.000134,0.000220
-3950,79993086.000000,0.042529,90510.000000,227.000000,0.095147,0.000000,0.000000,0.000000,0.000000,0.000000,275,0.962056,0.882014,0.000146,0.000229
-3900,86582077.000000,0.044368,89065.000000,227.000000,0.090827,0.002868,0.003474,0.000000,0.000000,0.000000,279,0.961806,0.878976,0.000145,0.000225
-3850,93852021.000000,0.046603,113103.000000,227.000000,0.086881,0.003271,0.002702,0.000000,0.000000,0.000000,283,0.962181,0.877732,0.000138,0.000211
-3800,101681953.000000,0.049625,103225.500000,227.000000,0.083264,0.002987,0.003283,0.000000,0.000000,0.000000,287,0.957194,0.873308,0.000158,0.000252
-3750,111387052.000000,0.051545,107904.000000,226.000000,0.079936,0.003009,0.003065,0.000000,0.000000,0.000000,291,0.965027,0.885953,0.000134,0.000220
