year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,10713595.000000,0.024835,78890.000000,228.000000,0.000000,0.014427,0.001414,0.000000,0.000000,0.000000,3,0.999349,1.000000,0.003072,0.003120
-4950,14249405.000000,0.027899,97332.000000,228.000000,0.000000,0.026330,0.001774,0.000000,0.000000,0.000000,37,0.977435,0.892028,0.000105,0.000163
-4900,16260573.000000,0.027330,99039.000000,213.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,58,0.976020,0.886931,0.000145,0.000228
-4850,18211332.000000,0.028523,96288.000000,213.000000,0.000000,0.014509,0.002096,0.000000,0.000000,0.000000,72,0.976874,0.887217,0.000167,0.000279
-4800,20188215.000000,0.030198,69153.500000,197.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106,0.971251,0.899603,0.000172,0.000258
-4750,22196766.000000,0.031248,66931.500000,197.000000,0.000000,0.010537,0.002968,0.000000,0.000000,0.000000,133,0.973348,0.911035,0.000169,0.000288
-4700,24615098.000000,0.031712,65749.500000,197.500000,0.000000,0.013906,0.003270,0.000000,0.000000,0.000000,133,0.979299,0.924389,0.000172,0.000280
-4650,26968853.000000,0.032220,69449.500000,203.000000,0.000000,0.011262,0.003028,0.000000,0.000000,0.000000,133,0.975858,0.912061,0.000179,0.000264
-4600,29616990.000000,0.032601,67618.500000,204.000000,0.000000,0.011952,0.003112,0.000000,0.000000,0.000000,142,0.975558,0.920948,0.000167,0.000271
-4550,32222978.000000,0.033868,60782.000000,197.000000,0.000000,0.011886,0.002653,0.000000,0.000000,0.000000,164,0.973303,0.911739,0.000167,0.000252
-4500,35083290.000000,0.034936,47147.500000,200.000000,0.199601,0.012768,0.002764,0.000000,0.000000,0.000000,164,0.971128,0.903307,0.000170,0.000253
-4450,38236190.000000,0.035266,67846.000000,204.000000,0.362976,0.012284,0.002653,0.000000,0.000000,0.000000,164,0.974561,0.920792,0.000160,0.000249
-4400,41400889.000000,0.035830,60635.500000,203.000000,0.332779,0.012484,0.002898,0.000000,0.000000,0.000000,173,0.971282,0.909928,0.000176,0.000258
