year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,tradeActivePairShare,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,6763187.000000,0.025610,41909.500000,114.500000,0.000000,0.001947,0.001010,0.000000,0.000000,0.000000,0,0.998815,1.000000,0.000150,0.000153
-4950,8609415.000000,0.028170,44840.000000,130.500000,0.000000,0.009507,0.001111,0.000000,0.000000,0.000000,0,0.969528,0.862044,0.000085,0.000162
-4900,9699820.000000,0.026886,50583.000000,144.000000,0.990099,0.000000,0.000000,0.000000,0.000000,0.000000,17,0.968699,0.860663,0.000112,0.000194
-4850,11068903.000000,0.027193,46318.000000,149.000000,0.662252,0.000000,0.000000,0.000000,0.000000,0.000000,48,0.974600,0.884127,0.000115,0.000205
-4800,12282164.000000,0.027293,46491.000000,150.000000,0.497512,0.005809,0.001678,0.000000,0.000000,0.000000,75,0.971101,0.887658,0.000124,0.000209
-4750,13655954.000000,0.028459,42255.000000,149.000000,0.398406,0.007975,0.001304,0.000000,0.000000,0.000000,92,0.970323,0.887669,0.000112,0.000189
-4700,15135676.000000,0.029171,39527.000000,150.000000,0.664452,0.006326,0.001751,0.000000,0.000000,0.000000,104,0.967689,0.881540,0.000114,0.000178
-4650,16915120.000000,0.029690,34959.000000,151.000000,0.569801,0.005639,0.001681,0.000000,0.000000,0.000000,104,0.974477,0.919886,0.000120,0.000191
-4600,18903724.000000,0.030272,36205.500000,162.500000,0.498753,0.003815,0.002032,0.000000,0.000000,0.000000,124,0.977031,0.926437,0.000140,0.000230
-4550,21066639.000000,0.031261,31307.000000,154.000000,0.443459,0.004104,0.001937,0.000000,0.000000,0.000000,144,0.976743,0.920262,0.000128,0.000217
-4500,23568025.000000,0.031965,29889.000000,155.000000,0.399202,0.004677,0.002000,0.000000,0.000000,0.000000,144,0.978843,0.928160,0.000131,0.000215
-4450,25984706.000000,0.032366,27074.000000,162.000000,0.362976,0.004923,0.001937,0.000000,0.000000,0.000000,144,0.976096,0.919472,0.000138,0.000244
-4400,28811859.000000,0.033124,27120.000000,170.000000,0.332779,0.004719,0.001875,0.000000,0.000000,0.000000,144,0.975061,0.923146,0.000128,0.000193
-4350,31841608.000000,0.034659,31160.000000,173.000000,0.307220,0.004325,0.001756,0.000000,0.000000,0.000000,148,0.977630,0.928508,0.000124,0.000202
-4300,35728972.000000,0.035687,27057.000000,179.000000,0.285307,0.004189,0.001756,0.000000,0.000000,0.000000,148,0.973281,0.919539,0.000118,0.000176
-4250,39869514.000000,0.037122,25745.000000,180.000000,0.266312,0.003146,0.002120,0.000000,0.000000,0.000000,148,0.977443,0.924931,0.000118,0.000183
-4200,44841100.000000,0.038314,24262.000000,180.000000,0.249688,0.003248,0.001817,0.000000,0.000000,0.000000,148,0.978018,0.930950,0.000123,0.000177
-4150,49954121.000000,0.038628,25378.000000,180.000000,0.235018,0.002711,0.002180,0.000000,0.000000,0.000000,148,0.979150,0.929924,0.000125,0.000196
-4100,56119138.000000,0.039481,24867.000000,180.000000,0.221976,0.002617,0.002180,0.000000,0.000000,0.000000,148,0.972995,0.924606,0.000122,0.000195
-4050,62355804.000000,0.038739,26026.000000,180.000000,0.210305,0.002986,0.002120,0.000000,0.000000,0.000000,148,0.977343,0.926100,0.000119,0.000193
-4000,69737381.000000,0.039182,25324.000000,187.000000,0.199800,0.002963,0.002422,0.000000,0.000000,0.000000,148,0.977591,0.926364,0.000143,0.000245
-3950,78318121.000000,0.040691,25638.000000,192.000000,0.190295,0.003474,0.002180,0.000000,0.000000,0.000000,148,0.968837,0.914758,0.000129,0.000180
-3900,87740384.000000,0.043773,26014.000000,192.000000,0.181653,0.002593,0.002624,0.000000,0.000000,0.000000,156,0.978079,0.923836,0.000128,0.000194
-3850,98778302.000000,0.044883,27703.500000,192.000000,0.173762,0.002385,0.002445,0.000000,0.000000,0.000000,156,0.978814,0.931651,0.000115,0.000171
-3800,111575260.000000,0.045630,28722.000000,192.000000,0.166528,0.002401,0.002683,0.000000,0.000000,0.000000,156,0.976471,0.929071,0.000134,0.000213
-3750,122921141.000000,0.045520,30064.500000,194.500000,0.159872,0.002089,0.003160,0.000000,0.000000,0.000000,156,0.968998,0.916008,0.000120,0.000177
-3700,135174806.000000,0.049737,38824.000000,191.000000,0.153728,0.002137,0.002995,0.000000,0.000000,0.000000,159,0.975316,0.927158,0.000132,0.000196
-3650,149803424.000000,0.051772,31312.000000,193.000000,0.148038,0.002223,0.002877,0.000000,0.000000,0.000000,159,0.974229,0.923947,0.000121,0.000188
-3600,163206979.000000,0.054235,35802.000000,193.000000,0.142755,0.001725,0.003523,0.000000,0.000000,0.000000,159,0.978029,0.926530,0.000128,0.000188
-3550,177921740.000000,0.056712,37564.000000,193.000000,0.137836,0.001836,0.003171,0.000000,0.000000,0.000000,159,0.976542,0.931601,0.000129,0.000194
-3500,194784404.000000,0.057745,42863.000000,193.000000,0.133245,0.002347,0.003053,0.000000,0.000000,0.000000,159,0.976199,0.927038,0.000130,0.000208
-3450,208280948.000000,0.056195,65352.000000,190.000000,0.128949,0.000000,0.000000,0.000000,0.000000,0.000000,175,0.970652,0.914025,0.000135,0.000244
-3400,217363526.000000,0.056705,54853.000000,191.000000,0.124922,0.002264,0.002974,0.000000,0.000000,0.000000,178,0.969928,0.915643,0.000132,0.000192
-3350,232865282.000000,0.057106,52802.500000,190.500000,0.121139,0.000000,0.000000,0.000000,0.000000,0.000000,179,0.967620,0.893342,0.000124,0.000192
-3300,246952403.000000,0.058343,59567.000000,184.000000,0.117578,0.000000,0.000000,0.000000,0.000000,0.000000,185,0.974031,0.927309,0.000133,0.000225
-3250,262549734.000000,0.060794,48166.000000,184.000000,0.114220,0.001616,0.003704,0.000000,0.000000,0.000000,189,0.971906,0.921594,0.000141,0.000218
-3200,283051856.000000,0.061756,47567.000000,183.000000,0.111049,0.001865,0.003328,0.000000,0.000000,0.000000,193,0.977080,0.925779,0.000120,0.000177
-3150,303636051.000000,0.062477,49121.500000,187.000000,0.108050,0.001966,0.003757,0.000000,0.000000,0.000000,193,0.970761,0.912029,0.000131,0.000191
-3100,321841379.000000,0.063322,60788.500000,187.500000,0.105208,0.001954,0.004025,0.000000,0.000000,0.000000,193,0.971788,0.917018,0.000137,0.000201
-3050,343520465.000000,0.065554,68535.000000,184.000000,0.102512,0.001981,0.003544,0.000000,0.000000,0.000000,196,0.970911,0.904757,0.000147,0.000250
-3000,369800527.000000,0.067227,61456.000000,182.000000,0.099950,0.002295,0.003289,0.000000,0.000000,0.000000,203,0.968929,0.909607,0.000134,0.000197
-2950,393853776.000000,0.069057,77351.500000,183.000000,0.097513,0.001674,0.003957,0.000000,0.000000,0.000000,209,0.963619,0.878760,0.000132,0.000190
-2900,418974976.000000,0.071848,82235.000000,183.000000,0.095193,0.002196,0.003803,0.000000,0.000000,0.000000,209,0.968131,0.910240,0.000141,0.000196
-2850,448836112.000000,0.074224,75904.500000,183.000000,0.092980,0.002368,0.003649,0.014706,0.000000,0.000000,209,0.973070,0.912367,0.000132,0.000205
-2800,470441947.000000,0.074685,80144.000000,182.000000,0.090868,0.002033,0.003495,0.021898,0.000000,0.000000,215,0.972569,0.924455,0.000127,0.000183
-2750,488602479.000000,0.076460,91170.000000,182.000000,0.088849,0.002376,0.003850,0.021898,0.000000,0.000000,215,0.964960,0.897179,0.000150,0.000266
-2700,506638258.000000,0.078045,83586.000000,181.500000,0.086919,0.002004,0.003246,0.028986,0.000000,0.000000,218,0.969987,0.916968,0.000138,0.000190
-2650,521425628.000000,0.080244,74297.000000,181.500000,0.085070,0.002428,0.003596,0.028986,0.000000,0.000000,218,0.971520,0.921584,0.000130,0.000186
-2600,528113529.000000,0.081590,80128.000000,181.500000,0.083299,0.002672,0.003746,0.043478,0.000000,0.000000,218,0.968673,0.909076,0.000127,0.000183
-2550,533710471.000000,0.079866,78151.000000,181.000000,0.081599,0.002785,0.003792,0.050360,0.000000,0.000000,226,0.968956,0.909124,0.000138,0.000183
-2500,542983346.000000,0.079302,74042.500000,181.500000,0.079968,0.002623,0.003642,0.057143,0.000000,0.000000,228,0.972388,0.910705,0.000136,0.000192
-2450,549731346.000000,0.080729,74382.000000,182.000000,0.078401,0.001904,0.004071,0.070922,0.000000,0.000000,233,0.956612,0.866124,0.000135,0.000201
-2400,571601341.000000,0.083983,60335.000000,182.000000,0.076894,0.001999,0.003927,0.070922,0.000000,0.000000,233,0.970963,0.915309,0.000132,0.000181
-2350,574570898.000000,0.080388,55143.000000,182.000000,0.075443,0.002682,0.003640,0.078014,0.000000,0.000000,233,0.965950,0.894600,0.000137,0.000192
-2300,578765699.000000,0.083420,50143.000000,182.000000,0.074047,0.002517,0.003496,0.092199,0.000000,0.000000,233,0.967732,0.906760,0.000134,0.000201
-2250,592177020.000000,0.083436,45340.000000,182.000000,0.072701,0.001738,0.003975,0.099291,0.000000,0.000000,233,0.969679,0.912663,0.000134,0.000194
-2200,606548894.000000,0.085007,45227.000000,182.000000,0.071403,0.002717,0.003352,0.099291,0.000000,0.000000,233,0.969039,0.910394,0.000130,0.000186
-2150,618832919.000000,0.085936,38513.000000,183.000000,0.070151,0.002717,0.003401,0.098592,0.000000,0.000000,238,0.970331,0.906121,0.000146,0.000201
-2100,633476398.000000,0.087589,36135.000000,182.000000,0.068942,0.002202,0.003215,0.111888,0.000000,0.000000,241,0.969391,0.911804,0.000140,0.000212
-2050,640067991.000000,0.087417,42526.000000,182.000000,0.067774,0.001882,0.003634,0.118881,0.000000,0.000000,241,0.971504,0.905513,0.000145,0.000215
-2000,642929051.000000,0.087259,48739.000000,182.000000,0.066644,0.002326,0.003821,0.125874,0.000000,0.000000,241,0.969519,0.913799,0.000133,0.000184
-1950,655229019.000000,0.088172,42943.000000,182.000000,0.065552,0.002270,0.003681,0.125874,0.000000,0.000000,241,0.970630,0.920361,0.000144,0.000219
-1900,665075466.000000,0.088702,36800.000000,182.000000,0.064495,0.001854,0.003774,0.132867,0.000000,0.000000,241,0.965628,0.910234,0.000153,0.000214
-1850,673897350.000000,0.088461,40794.000000,182.000000,0.063472,0.002847,0.003821,0.139860,0.000000,0.000000,241,0.969374,0.899486,0.000132,0.000188
-1800,680099736.000000,0.089567,46309.000000,182.000000,0.062480,0.003124,0.003774,0.153846,0.000000,0.000000,241,0.968279,0.887154,0.000150,0.000217
-1750,689945870.000000,0.092548,36101.000000,182.000000,0.061520,0.002431,0.003953,0.160839,0.000000,0.000000,245,0.967505,0.898535,0.000141,0.000205
-1700,702006300.000000,0.091023,30082.000000,182.000000,0.060588,0.001677,0.003769,0.160839,0.000000,0.000000,245,0.969298,0.898024,0.000137,0.000187
-1650,711668883.000000,0.093881,30851.000000,182.000000,0.059684,0.001718,0.004036,0.160839,0.000000,0.000000,252,0.967793,0.896530,0.000143,0.000218
-1600,709925839.000000,0.093073,33676.000000,182.000000,0.058806,0.002347,0.003855,0.160839,0.000000,0.000000,252,0.959635,0.858947,0.000140,0.000189
-1550,715121683.000000,0.092980,39928.000000,182.000000,0.057954,0.001878,0.003991,0.167832,0.000000,0.000000,252,0.967746,0.903370,0.000140,0.000191
-1500,726480523.000000,0.094780,35243.000000,182.000000,0.057127,0.002533,0.004217,0.167832,0.000000,0.000000,252,0.965385,0.888768,0.000142,0.000193
-1450,735338345.000000,0.095771,33115.000000,182.000000,0.056322,0.001478,0.003945,0.167832,0.000000,0.000000,252,0.956536,0.862364,0.000153,0.000224
-1400,730044806.000000,0.090452,28503.000000,182.000000,0.055540,0.002323,0.003537,0.167832,0.000000,0.000000,252,0.965688,0.895328,0.000143,0.000194
-1350,740042363.000000,0.092246,27269.000000,182.000000,0.054780,0.002891,0.003718,0.174825,0.000000,0.000000,252,0.971189,0.912162,0.000146,0.000201
-1300,747189724.000000,0.093067,43782.000000,182.000000,0.054039,0.001468,0.004036,0.174825,0.000000,0.000000,252,0.967225,0.893643,0.000147,0.000207
-1250,745806587.000000,0.093503,51995.500000,183.000000,0.053319,0.001371,0.003803,0.180556,0.000000,0.000000,259,0.965023,0.893291,0.000144,0.000197
-1200,754888857.000000,0.095982,44711.000000,183.000000,0.052618,0.001604,0.003982,0.180556,0.000000,0.000000,259,0.971609,0.908510,0.000152,0.000236
-1150,753245289.000000,0.096753,34644.000000,184.000000,0.051935,0.001587,0.004018,0.193103,0.000000,0.000000,264,0.961780,0.870005,0.000147,0.000198
-1100,756046728.000000,0.096452,46908.000000,184.000000,0.051269,0.002414,0.003885,0.186207,0.000000,0.000000,264,0.967875,0.888424,0.000145,0.000195
-1050,766100638.000000,0.100293,57912.000000,185.000000,0.050620,0.002938,0.003878,0.191781,0.000000,0.000000,267,0.975326,0.922597,0.000141,0.000193
