year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,6761564.000000,0.025609,41900.000000,114.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.998815,1.000000,0.003012,0.003052
-4950,8606262.000000,0.028191,44838.000000,130.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.968352,0.853366,0.000000,0.000000
-4900,9770977.000000,0.026724,51074.000000,144.000000,0.990099,0.000000,0.000000,0.000000,0.000000,12,0.968706,0.858773,0.000000,0.000000
-4850,11127079.000000,0.026939,47861.000000,147.000000,0.662252,0.000000,0.000000,0.000000,0.000000,42,0.977986,0.889026,0.000000,0.000000
-4800,12261145.000000,0.027625,50950.000000,150.500000,0.497512,0.000000,0.000000,0.000000,0.000000,66,0.969437,0.881515,0.000000,0.000000
-4750,13653559.000000,0.028085,46347.000000,148.000000,0.398406,0.000000,0.000000,0.000000,0.000000,83,0.970170,0.894683,0.000000,0.000000
-4700,15170317.000000,0.029096,48280.000000,152.500000,0.664452,0.000000,0.000000,0.000000,0.000000,96,0.970217,0.888453,0.000000,0.000000
-4650,16859665.000000,0.030987,43588.500000,152.500000,0.569801,0.000000,0.000000,0.000000,0.000000,96,0.970736,0.881792,0.000000,0.000000
-4600,18700860.000000,0.031752,40608.000000,162.000000,0.498753,0.000000,0.000000,0.000000,0.000000,102,0.971360,0.913568,0.000000,0.000000
-4550,20618535.000000,0.032592,40768.500000,157.000000,0.443459,0.000000,0.000000,0.000000,0.000000,119,0.969461,0.874189,0.000000,0.000000
-4500,23014437.000000,0.033511,37465.500000,162.500000,0.598802,0.000000,0.000000,0.000000,0.000000,131,0.976368,0.923941,0.000000,0.000000
-4450,25668106.000000,0.034065,37082.500000,165.500000,0.544465,0.000000,0.000000,0.000000,0.000000,131,0.974897,0.920099,0.000000,0.000000
-4400,28546220.000000,0.034982,33725.000000,167.000000,0.499168,0.000000,0.000000,0.000000,0.000000,131,0.971042,0.912874,0.000000,0.000000
-4350,31919566.000000,0.036296,33172.000000,172.000000,0.460829,0.000000,0.000000,0.000000,0.000000,135,0.975062,0.923472,0.000000,0.000000
-4300,35850654.000000,0.037676,32014.000000,172.000000,0.427960,0.000000,0.000000,0.000000,0.000000,140,0.970749,0.912621,0.000000,0.000000
-4250,40116227.000000,0.039419,27178.000000,172.000000,0.399467,0.000000,0.000000,0.000000,0.000000,144,0.973692,0.912509,0.000000,0.000000
-4200,45079221.000000,0.040888,26129.500000,170.500000,0.499376,0.000000,0.000000,0.000000,0.000000,146,0.974156,0.913050,0.000000,0.000000
-4150,50341861.000000,0.042423,25342.500000,170.500000,0.470035,0.000000,0.000000,0.000000,0.000000,146,0.980581,0.928951,0.000000,0.000000
-4100,56835935.000000,0.043229,26155.500000,173.000000,0.443951,0.000000,0.000000,0.000000,0.000000,146,0.974959,0.922133,0.000000,0.000000
-4050,63598444.000000,0.044906,26925.000000,173.000000,0.420610,0.000000,0.000000,0.000000,0.000000,146,0.977175,0.924041,0.000000,0.000000
-4000,71707778.000000,0.046664,26478.500000,173.500000,0.399600,0.000000,0.000000,0.000000,0.000000,146,0.976941,0.919914,0.000000,0.000000
-3950,80732992.000000,0.047006,27146.000000,173.500000,0.380590,0.000000,0.000000,0.000000,0.000000,146,0.968954,0.916275,0.000000,0.000000
-3900,90886154.000000,0.048350,28270.500000,173.500000,0.363306,0.000000,0.000000,0.000000,0.000000,146,0.977526,0.929091,0.000000,0.000000
-3850,102614062.000000,0.050894,29555.000000,173.500000,0.347524,0.000000,0.000000,0.000000,0.000000,146,0.978704,0.932870,0.000000,0.000000
-3800,115977605.000000,0.052940,30280.500000,174.000000,0.333056,0.000000,0.000000,0.000000,0.000000,146,0.977121,0.927655,0.000000,0.000000
-3750,128121480.000000,0.051358,40965.500000,174.000000,0.319744,0.000000,0.000000,0.000000,0.000000,146,0.970616,0.921294,0.000000,0.000000
-3700,141491218.000000,0.053712,37901.000000,174.000000,0.307456,0.000000,0.000000,0.000000,0.000000,146,0.972189,0.922402,0.000000,0.000000
-3650,155353306.000000,0.054187,38997.000000,174.000000,0.296077,0.000000,0.000000,0.000000,0.000000,146,0.970021,0.918659,0.000000,0.000000
-3600,166156597.000000,0.055067,40107.000000,174.000000,0.285510,0.000000,0.000000,0.000000,0.000000,146,0.975525,0.923900,0.000000,0.000000
-3550,178785517.000000,0.056749,40571.000000,176.500000,0.275672,0.000000,0.000000,0.000000,0.000000,146,0.976359,0.929375,0.000000,0.000000
-3500,191782118.000000,0.055243,40004.000000,176.500000,0.266489,0.000000,0.000000,0.000000,0.000000,146,0.975320,0.925274,0.000000,0.000000
-3450,205046729.000000,0.056329,47750.000000,176.500000,0.257898,0.000000,0.000000,0.000000,0.000000,158,0.968427,0.901847,0.000000,0.000000
-3400,213254176.000000,0.056551,46393.500000,176.500000,0.249844,0.000000,0.000000,0.000000,0.000000,158,0.968658,0.915648,0.000000,0.000000
-3350,227027197.000000,0.057242,37272.000000,176.500000,0.242277,0.000000,0.000000,0.000000,0.000000,158,0.967636,0.890882,0.000000,0.000000
-3300,240100545.000000,0.059558,41683.500000,177.500000,0.235156,0.000000,0.000000,0.000000,0.000000,158,0.971572,0.912487,0.000000,0.000000
-3250,254768993.000000,0.061242,39784.000000,178.000000,0.228441,0.000000,0.000000,0.000000,0.000000,158,0.970629,0.915740,0.000000,0.000000
-3200,272581536.000000,0.062659,56017.000000,180.000000,0.222099,0.000000,0.000000,0.000000,0.000000,165,0.976473,0.921490,0.000000,0.000000
-3150,290756947.000000,0.062627,65619.500000,180.000000,0.216099,0.000000,0.000000,0.000000,0.000000,165,0.969593,0.909283,0.000000,0.000000
-3100,306336477.000000,0.064175,68415.000000,180.000000,0.210416,0.000000,0.000000,0.000000,0.000000,165,0.971539,0.908659,0.000000,0.000000
-3050,324583316.000000,0.064757,58258.500000,180.000000,0.205023,0.000000,0.000000,0.000000,0.000000,165,0.969772,0.909100,0.000000,0.000000
-3000,348862054.000000,0.067017,71685.500000,180.000000,0.199900,0.000000,0.000000,0.000000,0.000000,174,0.968899,0.905729,0.000000,0.000000
-2950,371700376.000000,0.067969,104619.000000,180.000000,0.195027,0.000000,0.000000,0.000000,0.000000,174,0.962134,0.882087,0.000000,0.000000
-2900,392760451.000000,0.070304,104133.000000,180.000000,0.190386,0.000000,0.007634,0.000000,0.000000,177,0.963658,0.897410,0.000000,0.000000
-2850,419099885.000000,0.072291,89716.000000,180.000000,0.185960,0.000000,0.022901,0.000000,0.000000,177,0.969974,0.909279,0.000000,0.000000
-2800,438647384.000000,0.073288,53931.500000,180.000000,0.181736,0.000000,0.030303,0.000000,0.000000,180,0.968379,0.921216,0.000000,0.000000
-2750,453857506.000000,0.074119,53084.500000,180.000000,0.177699,0.000000,0.030303,0.000000,0.000000,180,0.965728,0.908391,0.000000,0.000000
-2700,470934539.000000,0.076343,46390.000000,180.000000,0.173837,0.000000,0.030075,0.000000,0.000000,183,0.971053,0.918222,0.000000,0.000000
-2650,484179352.000000,0.078859,49163.000000,180.000000,0.170140,0.000000,0.037313,0.000000,0.000000,184,0.968501,0.907263,0.000000,0.000000
-2600,490982794.000000,0.078996,64912.000000,180.000000,0.166597,0.000000,0.052239,0.000000,0.000000,188,0.961841,0.901294,0.000000,0.000000
-2550,495978769.000000,0.077391,46324.000000,180.000000,0.163199,0.000000,0.052632,0.000000,0.000000,197,0.969315,0.913386,0.000000,0.000000
-2500,506924014.000000,0.077942,54435.000000,180.000000,0.159936,0.000000,0.068182,0.000000,0.000000,202,0.970135,0.907957,0.000000,0.000000
-2450,510692879.000000,0.079655,55829.000000,180.000000,0.156801,0.000000,0.075188,0.000000,0.000000,206,0.956768,0.880731,0.000000,0.000000
-2400,531853512.000000,0.082543,46767.500000,180.000000,0.153787,0.000000,0.074627,0.000000,0.000000,211,0.964677,0.908494,0.000000,0.000000
-2350,535930058.000000,0.079750,43461.500000,180.000000,0.150886,0.000000,0.074627,0.000000,0.000000,211,0.961282,0.894467,0.000000,0.000000
-2300,538411978.000000,0.082846,42721.500000,180.000000,0.148093,0.000000,0.089552,0.000000,0.000000,211,0.960601,0.888213,0.000000,0.000000
