year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-5000,14627128.000000,0.026539,114472.000000,273.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,0.997050,1.000000,0.003033,0.003077
-4950,18717952.000000,0.027517,148023.500000,268.500000,0.000000,0.000001,0.000000,0.000000,0.000000,45,0.970040,0.834952,0.000000,0.000000
-4900,21119825.000000,0.026302,132913.000000,268.500000,0.000000,0.000000,0.000000,0.000000,0.000000,61,0.968336,0.864085,0.000000,0.000000
-4850,23127120.000000,0.026836,100878.500000,273.000000,0.000000,0.000000,0.000000,0.000000,0.000000,77,0.966364,0.867465,0.000000,0.000000
-4800,25238950.000000,0.028881,92711.000000,239.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124,0.976241,0.898559,0.000000,0.000000
-4750,27833687.000000,0.030644,89706.000000,237.000000,0.000000,0.000000,0.000000,0.000000,0.000000,135,0.973467,0.899833,0.000000,0.000000
-4700,30677322.000000,0.032415,83946.000000,227.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.977201,0.916277,0.000000,0.000000
-4650,34042409.000000,0.033667,76382.000000,229.000000,0.000000,0.000000,0.000000,0.000000,0.000000,153,0.974025,0.908709,0.000000,0.000000
-4600,37294231.000000,0.034675,66455.000000,224.000000,0.000000,0.000000,0.000000,0.000000,0.000000,167,0.969912,0.914901,0.000000,0.000000
-4550,41078145.000000,0.035796,61173.500000,223.500000,0.000000,0.000000,0.000000,0.000000,0.000000,182,0.968181,0.890881,0.000000,0.000000
-4500,44979896.000000,0.035991,61077.000000,224.000000,0.000000,0.000000,0.000000,0.000000,0.000000,188,0.967556,0.901561,0.000000,0.000000
-4450,49738237.000000,0.036940,67438.000000,224.000000,0.000000,0.000000,0.000000,0.000000,0.000000,188,0.969287,0.898509,0.000000,0.000000
-4400,55263174.000000,0.038160,73495.500000,223.500000,0.000000,0.000000,0.000000,0.000000,0.000000,195,0.970532,0.898396,0.000000,0.000000
-4350,61147764.000000,0.038934,89448.000000,217.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203,0.970049,0.914103,0.000000,0.000000
-4300,67746238.000000,0.039842,87005.000000,223.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203,0.973491,0.915814,0.000000,0.000000
-4250,74248114.000000,0.040682,92370.000000,223.000000,0.000000,0.000000,0.000000,0.000000,0.000000,203,0.967623,0.895601,0.000000,0.000000
